Name,Date,PoslednaCena,Max,Min,ProsecnaCena,%Prom,Kolicina,Promet,Vkupno
KMB,08.11.2024,24900.0,24999.0,24900.0,24975.96,0.1,232.0,5794422.0,5794422.0
KMB,07.11.2024,24998.0,24999.0,24900.0,24951.77,-0.13,109.0,2719743.0,2719743.0
KMB,06.11.2024,24900.0,25000.0,24900.0,24983.63,0.08,412.0,10293255.0,10293255.0
KMB,05.11.2024,24977.0,25000.0,24899.0,24962.5,0.32,763.0,19046384.0,19046384.0
KMB,04.11.2024,24897.0,24900.0,24600.0,24882.6,1.89,417.0,10376043.0,10376043.0
KMB,01.11.2024,24400.0,24900.0,24300.0,24419.95,1.5,1.224,29890022.0,29890022.0
KMB,31.10.2024,24070.0,24070.0,24000.0,24058.49,0.39,314.0,7554365.0,7554365.0
KMB,30.10.2024,23969.0,23976.0,23950.0,23964.34,-0.01,962.0,23053698.0,23053698.0
KMB,29.10.2024,23960.0,23970.0,23960.0,23967.76,-0.01,380.0,9107747.0,15100247.0
KMB,28.10.2024,23960.0,23976.0,23960.0,23969.9,-0.03,1.093,26199098.0,26199098.0
KMB,25.10.2024,23977.0,23979.0,23951.0,23977.61,0.01,852.0,20428924.0,20428924.0
KMB,24.10.2024,23978.0,23978.0,23950.0,23975.33,0.0,556.0,13330284.0,13330284.0
KMB,22.10.2024,23951.0,23999.0,23951.0,23976.12,-0.03,608.0,14577484.0,14577484.0
KMB,21.10.2024,23994.0,24000.0,23950.0,23983.19,0.17,739.0,17723579.0,17723579.0
KMB,18.10.2024,23970.0,23970.0,23900.0,23941.32,-0.07,690.0,16519514.0,19824614.0
KMB,17.10.2024,23960.0,23970.0,23920.0,23957.0,0.12,481.0,11523319.0,11523319.0
KMB,16.10.2024,23920.0,23990.0,23900.0,23927.66,0.0,311.0,7441501.0,7441501.0
KMB,15.10.2024,23989.0,23989.0,23900.0,23928.81,0.12,374.0,8949375.0,8949375.0
KMB,14.10.2024,23900.0,23950.0,23899.0,23901.28,0.04,220.0,5258282.0,5258282.0
KMB,10.10.2024,23804.0,23900.0,23803.0,23892.48,0.02,407.0,9724241.0,22225241.0
KMB,09.10.2024,23900.0,23950.0,23800.0,23886.66,-0.3,280.0,6688266.0,6688266.0
KMB,08.10.2024,23900.0,23989.0,23880.0,23959.16,0.1,275.0,6588768.0,6588768.0
KMB,07.10.2024,23985.0,23995.0,23900.0,23935.27,-0.08,48.0,1148893.0,1148893.0
KMB,04.10.2024,23900.0,23996.0,23900.0,23953.53,-0.15,292.0,6994431.0,24706431.0
KMB,03.10.2024,23996.0,24049.0,23902.0,23989.17,-0.28,263.0,6309152.0,11109152.0
KMB,02.10.2024,24049.0,24089.0,24000.0,24055.53,-0.1,543.0,13062151.0,13062151.0
KMB,01.10.2024,24079.0,24094.0,24050.0,24079.73,-0.01,921.0,22177430.0,22177430.0
KMB,30.9.2024,24096.0,24100.0,24001.0,24082.61,-0.02,779.0,18760352.0,18760352.0
KMB,27.9.2024,24087.0,24089.0,24087.0,24088.6,0.02,35.0,843101.0,843101.0
KMB,26.9.2024,24088.0,24090.0,24050.0,24083.04,-0.01,442.0,10644704.0,10644704.0
KMB,25.9.2024,24089.0,24090.0,24070.0,24084.98,0.21,92.0,2215818.0,2215818.0
KMB,24.9.2024,24050.0,24050.0,24002.0,24033.94,-0.27,439.0,10550901.0,58550901.0
KMB,23.9.2024,24089.0,24100.0,24089.0,24099.4,0.41,90.0,2168946.0,2168946.0
KMB,20.9.2024,24000.0,24000.0,24000.0,24000.0,-0.14,10.0,240000.0,240000.0
KMB,19.9.2024,24000.0,24090.0,23882.0,24033.98,-0.27,290.0,6969855.0,6969855.0
KMB,18.9.2024,24098.0,24099.0,24090.0,24097.9,0.01,187.0,4506308.0,4506308.0
KMB,17.9.2024,24099.0,24099.0,24000.0,24095.52,0.4,377.0,9084011.0,9084011.0
KMB,16.9.2024,24000.0,24000.0,23998.0,23999.29,0.03,338.0,8111760.0,8111760.0
KMB,13.9.2024,23990.0,23999.0,23951.0,23991.1,0.21,1.079,25886400.0,25886400.0
KMB,12.9.2024,23941.0,24000.0,23930.0,23940.46,0.03,499.0,11946291.0,11946291.0
KMB,11.9.2024,23950.0,23950.0,23900.0,23933.03,0.23,289.0,6916645.0,6916645.0
KMB,10.9.2024,23940.0,23940.0,23870.0,23879.18,-0.11,98.0,2340160.0,2340160.0
KMB,06.9.2024,23950.0,23950.0,23870.0,23905.46,-0.1,490.0,11713677.0,11713677.0
KMB,05.9.2024,23949.0,23949.0,23801.0,23929.77,0.16,226.0,5408129.0,5408129.0
