Date,PoslednaCena,Max,Min,SMA_20,EMA_20,WMA_20,HMA_20,TMA_20,RSI,MACD,CCI,ADX,Stoch,Signal,Start Date,End Date
2014-11-10,250.0,250.0,250.0,,250.0,,,,,,,0.0,,Hold,2014-11-10,2014-11-10
2014-11-11,250.0,250.0,250.0,,250.0,,,,,,,0.0,,Hold,2014-11-11,2014-11-11
2014-11-12,250.0,250.0,250.0,,250.0,,,,,,,0.0,,Hold,2014-11-12,2014-11-12
2014-11-13,305.0,305.0,305.0,,255.23809523809524,,,,,,,0.0,,Hold,2014-11-13,2014-11-13
2014-11-14,305.0,305.0,305.0,,259.97732426303855,,,,,,,0.0,,Hold,2014-11-14,2014-11-14
2014-11-15,,,,,259.97732426303855,,,,,,,0.0,,Hold,2014-11-15,2014-11-15
2014-11-16,,,,,259.97732426303855,,,,,,,0.0,,Hold,2014-11-16,2014-11-16
2014-11-17,305.0,305.0,305.0,,265.1071524506112,,,,,,,0.0,,Hold,2014-11-17,2014-11-17
2014-11-18,305.0,305.0,305.0,,268.9064712648387,,,,,,,0.0,,Hold,2014-11-18,2014-11-18
2014-11-19,305.0,305.0,305.0,,272.3439501919969,,,,,,,0.0,,Hold,2014-11-19,2014-11-19
2014-11-20,305.0,305.0,305.0,,275.4540501737115,,,,,,,0.0,,Hold,2014-11-20,2014-11-20
2014-11-21,305.0,305.0,305.0,,278.26795015716755,,,,,,,0.0,,Hold,2014-11-21,2014-11-21
2014-11-22,,,,,278.26795015716755,,,,,,,0.0,,Hold,2014-11-22,2014-11-22
2014-11-23,,,,,278.26795015716755,,,,100.0,,,0.0,,Sell,2014-11-23,2014-11-23
2014-11-24,305.0,305.0,305.0,,281.31376697171066,,,,100.0,,,0.0,,Sell,2014-11-24,2014-11-24
2014-11-25,305.0,305.0,305.0,,283.56959868869063,,,,100.0,,,0.0,,Sell,2014-11-25,2014-11-25
2014-11-26,305.0,305.0,305.0,,285.6105892897677,,,,100.0,,,0.0,,Sell,2014-11-26,2014-11-26
2014-11-27,305.0,305.0,305.0,,287.4571998335993,,,,100.0,,,0.0,,Sell,2014-11-27,2014-11-27
2014-11-28,305.0,305.0,305.0,,289.12794270658986,,,,100.0,,,0.0,,Sell,2014-11-28,2014-11-28
2014-11-29,,,,,289.12794270658986,,,,100.0,,,0.0,,Sell,2014-11-29,2014-11-29
2014-11-30,,,,,289.12794270658986,,,,100.0,,,0.0,,Sell,2014-11-30,2014-11-30
2014-12-01,305.0,305.0,305.0,,290.9363853538948,,,,100.0,,,0.0,,Sell,2014-12-01,2014-12-01
2014-12-02,450.0,450.0,450.0,,306.08530103447623,,,,100.0,,,0.0,,Sell,2014-12-02,2014-12-02
2014-12-03,,,,,306.08530103447623,,,,100.0,,,0.0,,Sell,2014-12-03,2014-12-03
2014-12-04,409.0,409.0,409.0,,316.81090241549856,,,,100.0,,,0.0,,Sell,2014-12-04,2014-12-04
2014-12-05,410.0,410.0,410.0,,325.68605456640347,,,,100.0,,,0.0,,Sell,2014-12-05,2014-12-05
2014-12-06,,,,,325.68605456640347,,,,100.0,,,0.0,,Sell,2014-12-06,2014-12-06
2014-12-07,,,,,325.68605456640347,,,,100.0,,,,,Sell,2014-12-07,2014-12-07
2014-12-08,,,,,325.68605456640347,,,,100.0,,,,,Sell,2014-12-08,2014-12-08
2014-12-09,410.0,410.0,410.0,,336.17806895284474,,,,100.0,,,,,Sell,2014-12-09,2014-12-09
2014-12-10,410.0,410.0,410.0,,343.2087290525738,,,,100.0,,,,,Sell,2014-12-10,2014-12-10
2014-12-11,410.0,410.0,410.0,,349.5698024761382,,,,100.0,,,,,Sell,2014-12-11,2014-12-11
2014-12-12,410.0,410.0,410.0,,355.32505938317263,,,,100.0,,,,,Sell,2014-12-12,2014-12-12
2014-12-13,,,,,355.32505938317263,,,,100.0,,,,,Sell,2014-12-13,2014-12-13
2014-12-14,,,,,355.32505938317263,,,,100.0,,,,,Sell,2014-12-14,2014-12-14
2014-12-15,410.0,410.0,410.0,,361.55465473571644,,,,100.0,,,,,Sell,2014-12-15,2014-12-15
2014-12-16,410.0,410.0,410.0,,366.16849714183866,,,,100.0,,,,,Sell,2014-12-16,2014-12-16
2014-12-17,410.0,410.0,410.0,,370.3429259854731,,,,100.0,37.98505359693087,,,,Buy,2014-12-17,2014-12-17
2014-12-18,410.0,410.0,410.0,,374.1197901773328,,,,100.0,36.462588633599125,,,,Buy,2014-12-18,2014-12-18
2014-12-19,410.0,410.0,410.0,,377.5369530175868,,,,100.0,34.85424612804178,,,,Buy,2014-12-19,2014-12-19
2014-12-20,,,,,377.5369530175868,,,,100.0,34.85424612804178,,,,Buy,2014-12-20,2014-12-20
2014-12-21,,,,,377.5369530175868,,,,100.0,34.85424612804178,,,,Buy,2014-12-21,2014-12-21
2014-12-22,357.0,357.0,357.0,,375.19699790048156,,,,100.0,27.02747241273528,,,,Buy,2014-12-22,2014-12-22
2014-12-23,357.0,357.0,357.0,,373.4639504813881,,,,100.0,22.39101359464712,,,,Buy,2014-12-23,2014-12-23
2014-12-24,357.0,357.0,357.0,,371.89595519744637,,,,100.0,18.503292143499493,,,,Buy,2014-12-24,2014-12-24
2014-12-25,357.0,357.0,357.0,,370.4772927976896,,,,100.0,15.246492805494938,,,,Buy,2014-12-25,2014-12-25
2014-12-26,357.0,357.0,357.0,,369.19374110267154,,,,100.0,12.521120186767803,,,,Buy,2014-12-26,2014-12-26
2014-12-27,,,,,369.19374110267154,,,,100.0,12.521120186767803,,,,Buy,2014-12-27,2014-12-27
2014-12-28,,,,,369.19374110267154,,,,100.0,12.521120186767803,,,,Buy,2014-12-28,2014-12-28
