Date,PoslednaCena,Max,Min,SMA_20,EMA_20,WMA_20,HMA_20,TMA_20,RSI,MACD,CCI,ADX,Stoch,Signal,Start Date,End Date
2014-11-10,368.0,368.0,368.0,,368.0,,,,,,,0.0,,Hold,2014-11-10,2014-11-16
2014-11-17,368.0,368.0,368.0,,368.0,,,,,,,0.0,,Hold,2014-11-17,2014-11-23
2014-11-24,368.0,368.0,368.0,,368.0,,,,,,,0.0,,Hold,2014-11-24,2014-11-30
2014-12-01,368.0,368.0,368.0,,368.0,,,,,,,0.0,,Hold,2014-12-01,2014-12-07
2014-12-08,368.0,368.0,368.0,,368.0,,,,,,,0.0,,Hold,2014-12-08,2014-12-14
2014-12-15,368.0,368.0,368.0,,368.0,,,,,,,0.0,,Hold,2014-12-15,2014-12-21
2014-12-22,360.0,360.0,360.0,,367.23809523809524,,,,,,,0.0,,Hold,2014-12-22,2014-12-28
2014-12-29,360.0,360.0,360.0,,366.5487528344671,,,,,,,0.0,,Hold,2014-12-29,2015-01-04
2015-01-05,360.0,360.0,360.0,,365.92506208832737,,,,,,,0.0,,Hold,2015-01-05,2015-01-11
2015-01-12,360.0,360.0,360.0,,365.3607704608676,,,,,,,0.0,,Hold,2015-01-12,2015-01-18
2015-01-19,360.0,360.0,360.0,,364.85022089316595,,,,,,,0.0,,Hold,2015-01-19,2015-01-25
2015-01-26,360.0,360.0,360.0,,364.3882950938168,,,,,,,0.0,,Hold,2015-01-26,2015-02-01
2015-02-02,360.0,360.0,360.0,,363.970362227739,,,,,,,0.0,,Hold,2015-02-02,2015-02-08
2015-02-09,360.0,360.0,360.0,,363.5922324917638,,,,0.0,,,0.0,0.0,Buy,2015-02-09,2015-02-15
2015-02-16,360.0,360.0,360.0,,363.25011511159585,,,,0.0,,,0.0,0.0,Buy,2015-02-16,2015-02-22
2015-02-23,370.0,370.0,370.0,,363.89296129144384,,,,70.89139660094926,,,0.0,100.0,Sell,2015-02-23,2015-03-01
2015-03-02,370.0,370.0,370.0,,364.47458402559204,,,,70.89139660094926,,,0.0,100.0,Sell,2015-03-02,2015-03-08
2015-03-09,360.0,360.0,360.0,,364.0484331660118,,,,38.90487870460702,,,0.0,0.0,Hold,2015-03-09,2015-03-15
2015-03-16,360.0,360.0,360.0,,363.66286810258214,,,,38.90487870460702,,,0.0,0.0,Hold,2015-03-16,2015-03-22
2015-03-23,350.0,350.0,350.0,362.9,362.36164256900287,361.4190476190476,359.1,,25.54002685962338,,-191.96428571428558,0.0,0.0,Buy,2015-03-23,2015-03-29
2015-03-30,350.0,350.0,350.0,362.0,361.18434327671685,360.1904761904762,358.0,,25.54002685962338,,-173.9130434782609,0.0,0.0,Buy,2015-03-30,2015-04-05
2015-04-06,350.0,350.0,350.0,361.1,360.1191677265533,359.04761904761904,356.9,,25.54002685962338,,-162.9955947136564,0.0,0.0,Buy,2015-04-06,2015-04-12
2015-04-13,350.0,350.0,350.0,360.2,359.15543746688155,357.9904761904762,355.8,,25.540026859623367,,-158.13953488372096,0.0,0.0,Buy,2015-04-13,2015-04-19
2015-04-20,350.0,350.0,350.0,359.3,358.28349104146423,357.0190476190476,354.7,,25.54002685962338,,-133.33333333333368,0.0,0.0,Buy,2015-04-20,2015-04-26
2015-04-27,350.0,350.0,350.0,358.4,357.49458713275334,356.1333333333333,353.6,,25.540026859623367,,-111.11111111111063,0.0,0.0,Buy,2015-04-27,2015-05-03
2015-05-04,350.0,350.0,350.0,357.5,356.78081692963394,355.3333333333333,350.5,,25.540026859623367,-4.244626257093557,-95.23809523809524,0.0,0.0,Buy,2015-05-04,2015-05-10
2015-05-11,350.0,350.0,350.0,357.0,356.13502484109733,354.6190476190476,347.0,,25.54002685962338,-4.250919138663676,-83.33333333333334,0.0,0.0,Buy,2015-05-11,2015-05-17
2015-05-18,350.0,350.0,350.0,356.5,355.55073676099283,353.95238095238096,345.5,,25.54002685962338,-4.207405936034434,-74.07407407407408,47.71000655405544,0.0,Buy,2015-05-18,2015-05-24
2015-05-25,350.0,350.0,350.0,356.0,355.02209516470776,353.3333333333333,344.0,,25.54002685962338,-4.125366749518207,-66.66666666666667,48.08181883806524,0.0,Buy,2015-05-25,2015-05-31
2015-06-01,350.0,350.0,350.0,355.5,354.5438003871165,352.76190476190476,344.5,,25.540026859623367,-4.014078307096497,-60.60606060606061,48.42707310178862,0.0,Buy,2015-06-01,2015-06-07
2015-06-08,350.0,350.0,350.0,355.0,354.1110574931054,352.23809523809524,345.0,,25.54002685962338,-3.8811420253462074,-55.55555555555556,48.74766634667462,0.0,Buy,2015-06-08,2015-06-14
2015-06-15,350.0,350.0,350.0,354.5,353.71952820804773,351.76190476190476,345.5,,25.54002685962338,-3.7327601290991197,-51.282051282051285,49.04536007406877,0.0,Buy,2015-06-15,2015-06-21
2015-06-22,350.0,350.0,350.0,354.0,353.3652874263289,351.3333333333333,346.0,,25.54002685962338,-3.57396792971349,-47.61904761904763,49.32178996379191,,Buy,2015-06-22,2015-06-28
2015-06-29,350.0,350.0,350.0,353.5,353.0447838619166,350.95238095238096,346.5,,25.54002685962338,-3.4088291076340056,-44.44444444444444,49.57847486139196,,Buy,2015-06-29,2015-07-05
2015-07-06,350.0,350.0,350.0,353.0,352.75480444649594,350.6190476190476,347.0,,25.54002685962338,-3.2405997842653846,-41.66666666666667,49.816825123449156,,Buy,2015-07-06,2015-07-12
2015-07-13,350.0,350.0,350.0,352.0,352.4924421182582,350.3333333333333,348.0,,25.54002685962338,-3.0718662712641276,-39.21568627450981,50.03815036678798,,Sell,2015-07-13,2015-07-19
2015-07-20,350.0,350.0,350.0,351.0,352.2550666784241,350.14285714285717,349.0,,25.54002685962338,-2.9046606269325252,-37.03703703703704,50.243666664174036,,Sell,2015-07-20,2015-07-26
2015-07-27,350.0,350.0,350.0,350.5,352.0402984233361,350.04761904761904,349.5,,25.54002685962338,-2.740557508132156,-35.08771929824562,50.434503226032504,,Sell,2015-07-27,2015-08-02
2015-08-03,350.0,350.0,350.0,350.0,351.84598428778025,350.0,350.0,355.995,25.54002685962338,-2.580755263965159,,50.61170860490108,,Sell,2015-08-03,2015-08-09
2015-08-10,350.0,350.0,350.0,350.0,351.6701762603726,350.0,350.0,355.35,25.54002685962338,-2.4261437591167123,,50.77625645670762,,Sell,2015-08-10,2015-08-16
2015-08-17,350.0,350.0,350.0,350.0,351.5111118546228,350.0,350.0,354.75,25.54002685962338,-2.2773610272939777,,50.92905089052798,,Sell,2015-08-17,2015-08-23
2015-08-24,350.0,350.0,350.0,350.0,351.3671964398968,350.0,350.0,354.195,25.54002685962338,-2.1348405276916083,,51.07093143621831,,Sell,2015-08-24,2015-08-30
2015-08-31,350.0,350.0,350.0,350.0,351.2369872551447,350.0,350.0,353.685,25.540026859623367,-1.9988505006220976,,51.202677657216476,,Sell,2015-08-31,2015-09-06
2015-09-07,350.0,350.0,350.0,350.0,351.1191789451309,350.0,350.0,353.21999999999997,25.540026859623367,-1.8695266845348328,,51.32501343385763,,Sell,2015-09-07,2015-09-13
2015-09-14,350.0,350.0,350.0,350.0,351.012590474166,350.0,350.0,352.8,25.540026859623367,-1.7468994590017246,,51.43861094073869,,Sell,2015-09-14,2015-09-20
2015-09-21,350.0,350.0,350.0,350.0,350.9161532861502,350.0,350.0,352.425,25.540026859623367,-1.6309163112591705,,51.544094339985406,,Sell,2015-09-21,2015-09-27
2015-09-28,350.0,350.0,350.0,350.0,350.8289005922311,350.0,350.0,352.075,25.540026859623367,-1.5214603828425766,,51.64204321071448,,Sell,2015-09-28,2015-10-04
