Date,PoslednaCena,Max,Min,SMA_20,EMA_20,WMA_20,HMA_20,TMA_20,RSI,MACD,CCI,ADX,Stoch,Signal,Start Date,End Date
2016-10-10,3.0,3.0,3.0,,3.0,,,,,,,0.0,,Hold,2016-10-10,2016-10-10
2016-10-11,,,,,3.0,,,,,,,0.0,,Hold,2016-10-11,2016-10-11
2016-10-12,3.0,3.0,3.0,,3.0,,,,,,,0.0,,Hold,2016-10-12,2016-10-12
2016-10-13,3.0,3.0,3.0,,3.0,,,,,,,0.0,,Hold,2016-10-13,2016-10-13
2016-10-14,3.0,3.0,3.0,,3.0,,,,,,,0.0,,Hold,2016-10-14,2016-10-14
2016-10-15,,,,,3.0,,,,,,,0.0,,Hold,2016-10-15,2016-10-15
2016-10-16,,,,,3.0,,,,,,,0.0,,Hold,2016-10-16,2016-10-16
2016-10-17,3.0,3.0,3.0,,3.0,,,,,,,0.0,,Hold,2016-10-17,2016-10-17
2016-10-18,3.0,3.0,3.0,,3.0,,,,,,,0.0,,Hold,2016-10-18,2016-10-18
2016-10-19,3.0,3.0,3.0,,3.0,,,,,,,0.0,,Hold,2016-10-19,2016-10-19
2016-10-20,3.0,3.0,3.0,,3.0,,,,,,,0.0,,Hold,2016-10-20,2016-10-20
2016-10-21,3.0,3.0,3.0,,3.0,,,,,,,0.0,,Hold,2016-10-21,2016-10-21
2016-10-22,,,,,3.0,,,,,,,0.0,,Hold,2016-10-22,2016-10-22
2016-10-23,,,,,3.0,,,,100.0,,,0.0,,Sell,2016-10-23,2016-10-23
2016-10-24,,,,,3.0,,,,100.0,,,0.0,,Sell,2016-10-24,2016-10-24
2016-10-25,3.0,3.0,3.0,,3.0,,,,100.0,,,0.0,,Sell,2016-10-25,2016-10-25
2016-10-26,3.0,3.0,3.0,,3.0,,,,100.0,,,0.0,,Sell,2016-10-26,2016-10-26
2016-10-27,3.0,3.0,3.0,,3.0,,,,100.0,,,0.0,,Sell,2016-10-27,2016-10-27
2016-10-28,3.0,3.0,3.0,,3.0,,,,100.0,,,0.0,,Sell,2016-10-28,2016-10-28
2016-10-29,,,,,3.0,,,,100.0,,,0.0,,Sell,2016-10-29,2016-10-29
2016-10-30,,,,,3.0,,,,100.0,,,0.0,,Sell,2016-10-30,2016-10-30
2016-10-31,3.0,3.0,3.0,,3.0,,,,100.0,,,0.0,,Sell,2016-10-31,2016-10-31
2016-11-01,3.0,3.0,3.0,,3.0,,,,100.0,,,0.0,,Sell,2016-11-01,2016-11-01
2016-11-02,3.0,3.0,3.0,,3.0,,,,100.0,,,0.0,,Sell,2016-11-02,2016-11-02
2016-11-03,3.0,3.0,3.0,,3.0,,,,100.0,,,0.0,,Sell,2016-11-03,2016-11-03
2016-11-04,3.0,3.0,3.0,,3.0,,,,100.0,,,0.0,,Sell,2016-11-04,2016-11-04
2016-11-05,,,,,3.0,,,,100.0,,,0.0,,Sell,2016-11-05,2016-11-05
2016-11-06,,,,,3.0,,,,100.0,,,,,Sell,2016-11-06,2016-11-06
2016-11-07,3.0,3.0,3.0,,3.0,,,,100.0,,,,,Sell,2016-11-07,2016-11-07
2016-11-08,3.0,3.0,3.0,,3.0,,,,100.0,,,,,Sell,2016-11-08,2016-11-08
2016-11-09,3.0,3.0,3.0,,3.0,,,,100.0,,,,,Sell,2016-11-09,2016-11-09
