Date,PoslednaCena,Max,Min,SMA_20,EMA_20,WMA_20,HMA_20,TMA_20,RSI,MACD,CCI,ADX,Stoch,Signal,Start Date,End Date
2014-11-10,565.0,565.0,565.0,,565.0,,,,,,,0.0,,Hold,2014-11-10,2014-11-10
2014-11-11,565.0,565.0,565.0,,565.0,,,,,,,0.0,,Hold,2014-11-11,2014-11-11
2014-11-12,565.0,565.0,565.0,,565.0,,,,,,,0.0,,Hold,2014-11-12,2014-11-12
2014-11-13,565.0,565.0,565.0,,565.0,,,,,,,0.0,,Hold,2014-11-13,2014-11-13
2014-11-14,565.0,565.0,565.0,,565.0,,,,,,,0.0,,Hold,2014-11-14,2014-11-14
2014-11-15,,,,,565.0,,,,,,,0.0,,Hold,2014-11-15,2014-11-15
2014-11-16,,,,,565.0,,,,,,,0.0,,Hold,2014-11-16,2014-11-16
2014-11-17,565.0,565.0,565.0,,565.0,,,,,,,0.0,,Hold,2014-11-17,2014-11-17
2014-11-18,565.0,565.0,565.0,,565.0,,,,,,,0.0,,Hold,2014-11-18,2014-11-18
2014-11-19,565.0,565.0,565.0,,565.0,,,,,,,0.0,,Hold,2014-11-19,2014-11-19
2014-11-20,565.0,565.0,565.0,,565.0,,,,,,,0.0,,Hold,2014-11-20,2014-11-20
2014-11-21,565.0,565.0,565.0,,565.0,,,,,,,0.0,,Hold,2014-11-21,2014-11-21
2014-11-22,,,,,565.0,,,,,,,0.0,,Hold,2014-11-22,2014-11-22
2014-11-23,,,,,565.0,,,,100.0,,,0.0,,Sell,2014-11-23,2014-11-23
2014-11-24,600.0,600.0,600.0,,568.987856866038,,,,100.0,,,0.0,,Sell,2014-11-24,2014-11-24
2014-11-25,600.0,600.0,600.0,,571.9413943073677,,,,100.0,,,0.0,,Sell,2014-11-25,2014-11-25
2014-11-26,600.0,600.0,600.0,,574.6136424685707,,,,100.0,,,0.0,,Sell,2014-11-26,2014-11-26
2014-11-27,600.0,600.0,600.0,,577.0313908048972,,,,100.0,,,0.0,,Sell,2014-11-27,2014-11-27
2014-11-28,600.0,600.0,600.0,,579.2188773949069,,,,100.0,,,0.0,,Sell,2014-11-28,2014-11-28
2014-11-29,,,,,579.2188773949069,,,,100.0,,,0.0,,Sell,2014-11-29,2014-11-29
2014-11-30,,,,,579.2188773949069,,,,100.0,,,0.0,,Sell,2014-11-30,2014-11-30
2014-12-01,600.0,600.0,600.0,,581.5866528938983,,,,100.0,,,0.0,,Sell,2014-12-01,2014-12-01
2014-12-02,600.0,600.0,600.0,,583.3403049992413,,,,100.0,,,0.0,,Sell,2014-12-02,2014-12-02
2014-12-03,,,,,583.3403049992413,,,,100.0,,,0.0,,Sell,2014-12-03,2014-12-03
2014-12-04,600.0,600.0,600.0,,585.0765511283527,,,,100.0,,,0.0,,Sell,2014-12-04,2014-12-04
2014-12-05,600.0,600.0,600.0,,586.4978319732714,,,,100.0,,,0.0,,Sell,2014-12-05,2014-12-05
2014-12-06,,,,,586.4978319732714,,,,100.0,,,0.0,,Sell,2014-12-06,2014-12-06
2014-12-07,,,,,586.4978319732714,,,,100.0,,,,,Sell,2014-12-07,2014-12-07
2014-12-08,,,,,586.4978319732714,,,,100.0,,,,,Sell,2014-12-08,2014-12-08
2014-12-09,600.0,600.0,600.0,,588.1780396833489,,,,100.0,,,,,Sell,2014-12-09,2014-12-09
2014-12-10,600.0,600.0,600.0,,589.303940665887,,,,100.0,,,,,Sell,2014-12-10,2014-12-10
2014-12-11,600.0,600.0,600.0,,590.3226129834215,,,,100.0,,,,,Sell,2014-12-11,2014-12-11
2014-12-12,600.0,600.0,600.0,,591.2442688897623,,,,100.0,,,,,Sell,2014-12-12,2014-12-12
2014-12-13,,,,,591.2442688897623,,,,100.0,,,,,Sell,2014-12-13,2014-12-13
2014-12-14,,,,,591.2442688897623,,,,100.0,,,,,Sell,2014-12-14,2014-12-14
2014-12-15,600.0,600.0,600.0,,592.2418861019092,,,,100.0,,,,,Sell,2014-12-15,2014-12-15
2014-12-16,600.0,600.0,600.0,,592.9807540922036,,,,100.0,,,,,Sell,2014-12-16,2014-12-16
2014-12-17,600.0,600.0,600.0,,593.6492537024699,,,,100.0,7.815521297118266,,,,Buy,2014-12-17,2014-12-17
2014-12-18,600.0,600.0,600.0,,594.254086683187,,,,100.0,7.379322941195483,,,,Buy,2014-12-18,2014-12-18
2014-12-19,600.0,600.0,600.0,,594.8013165228834,,,,100.0,6.95347724420526,,,,Buy,2014-12-19,2014-12-19
2014-12-20,,,,,594.8013165228834,,,,100.0,6.95347724420526,,,,Buy,2014-12-20,2014-12-20
2014-12-21,,,,,594.8013165228834,,,,100.0,6.95347724420526,,,,Buy,2014-12-21,2014-12-21
2014-12-22,600.0,600.0,600.0,,595.3936481114142,,,,100.0,6.510108534368328,,,,Buy,2014-12-22,2014-12-22
2014-12-23,600.0,600.0,600.0,,595.8323482912795,,,,100.0,6.109373665208409,,,,Buy,2014-12-23,2014-12-23
2014-12-24,600.0,600.0,600.0,,596.2292675016338,,,,100.0,5.7257851077159785,,,,Buy,2014-12-24,2014-12-24
2014-12-25,600.0,600.0,600.0,,596.5883848824305,,,,100.0,5.360001649763717,,,,Buy,2014-12-25,2014-12-25
2014-12-26,600.0,600.0,600.0,,596.9133006079134,,,,100.0,5.012336528578771,,,,Buy,2014-12-26,2014-12-26
2014-12-27,,,,,596.9133006079134,,,,100.0,5.012336528578771,,,,Buy,2014-12-27,2014-12-27
2014-12-28,,,,,596.9133006079134,,,,100.0,5.012336528578771,,,,Buy,2014-12-28,2014-12-28
2014-12-29,600.0,600.0,600.0,,597.2649953326027,,,,100.0,4.645904286200903,,,,Buy,2014-12-29,2014-12-29
2014-12-30,600.0,600.0,600.0,,597.5254719675928,,,,100.0,4.335079170683457,,,,Buy,2014-12-30,2014-12-30
2014-12-31,,,,,597.5254719675928,,,,100.0,4.335079170683457,,,,Buy,2014-12-31,2014-12-31
2015-01-01,,,,,597.5254719675928,,,,100.0,4.335079170683457,,,,Buy,2015-01-01,2015-01-01
2015-01-02,600.0,600.0,600.0,,597.8074166419996,,,,100.0,4.006494614109329,,,,Buy,2015-01-02,2015-01-02
2015-01-03,,,,,597.8074166419996,,,,100.0,4.006494614109329,,,,Buy,2015-01-03,2015-01-03
2015-01-04,,,,,597.8074166419996,,,,100.0,4.006494614109329,,,,Buy,2015-01-04,2015-01-04
2015-01-05,600.0,600.0,600.0,,598.0572368876728,,,,100.0,3.6975687357511333,,,,Buy,2015-01-05,2015-01-05
2015-01-06,,,,,598.0572368876728,,,,100.0,3.6975687357511333,,,,Buy,2015-01-06,2015-01-06
2015-01-07,,,,,598.0572368876728,,,,100.0,3.6975687357511333,,,,Buy,2015-01-07,2015-01-07
2015-01-08,600.0,600.0,600.0,,598.2785929224323,,,,100.0,3.4083218799183896,,,,Buy,2015-01-08,2015-01-08
2015-01-09,600.0,600.0,600.0,,598.4425364536291,,,,100.0,3.1701513062018876,,,,Buy,2015-01-09,2015-01-09
2015-01-10,,,,,598.4425364536291,,,,100.0,3.1701513062018876,,,,Buy,2015-01-10,2015-01-10
2015-01-11,,,,,598.4425364536291,,,,100.0,3.1701513062018876,,,,Buy,2015-01-11,2015-01-11
2015-01-12,600.0,600.0,600.0,,598.6199919306863,,,,100.0,2.917354734135756,,,,Buy,2015-01-12,2015-01-12
2015-01-13,600.0,600.0,600.0,,598.7514212706209,,,,100.0,2.7109023912969406,,,,Buy,2015-01-13,2015-01-13
2015-01-14,600.0,600.0,600.0,,598.8703335305618,,,,100.0,2.5182585056962807,,,,Buy,2015-01-14,2015-01-14
2015-01-15,600.0,600.0,600.0,,598.9779208133654,,,,100.0,2.338628583864306,,,,Buy,2015-01-15,2015-01-15
2015-01-16,600.0,600.0,600.0,,599.0752616882829,,,,100.0,2.1712418521286736,,,,Buy,2015-01-16,2015-01-16
2015-01-17,,,,,599.0752616882829,,,,100.0,2.1712418521286736,,,,Buy,2015-01-17,2015-01-17
2015-01-18,,,,,599.0752616882829,,,,100.0,2.1712418521286736,,,,Buy,2015-01-18,2015-01-18
2015-01-19,,,,,599.0752616882829,,,,100.0,2.1712418521286736,,,,Buy,2015-01-19,2015-01-19
2015-01-20,600.0,600.0,600.0,,599.1903359813947,,,,100.0,1.981098678110584,,,,Buy,2015-01-20,2015-01-20
2015-01-21,600.0,600.0,600.0,,599.2674468403095,,,,100.0,1.8381547358826538,,,,Buy,2015-01-21,2015-01-21
2015-01-22,600.0,600.0,600.0,,599.337213807899,,,,100.0,1.7052139864347282,,,,Buy,2015-01-22,2015-01-22
2015-01-23,600.0,600.0,600.0,,599.4003363023849,,,,100.0,1.5816254905830647,,,,Buy,2015-01-23,2015-01-23
2015-01-24,,,,,599.4003363023849,,,,100.0,1.5816254905830647,,,,Buy,2015-01-24,2015-01-24
2015-01-25,,,,,599.4003363023849,,,,100.0,1.5816254905830647,,,,Buy,2015-01-25,2015-01-25
2015-01-26,600.0,600.0,600.0,,599.4686612450663,,,,100.0,1.4500219231283609,,,,Buy,2015-01-26,2015-01-26
2015-01-27,600.0,600.0,600.0,,599.5192649360123,,,,100.0,1.3444507946551312,,,,Buy,2015-01-27,2015-01-27
2015-01-28,600.0,600.0,600.0,,599.5650492278206,,,,100.0,1.2464169954848785,,,,Buy,2015-01-28,2015-01-28
2015-01-29,600.0,600.0,600.0,,599.6064731108853,,,,100.0,1.155405705588123,,,,Buy,2015-01-29,2015-01-29
2015-01-30,600.0,600.0,600.0,,599.6439518622295,,,,100.0,1.070933547343202,,,,Buy,2015-01-30,2015-01-30
2015-01-31,,,,,599.6439518622295,,,,100.0,1.070933547343202,,,,Buy,2015-01-31,2015-01-31
2015-02-01,,,,,599.6439518622295,,,,100.0,1.070933547343202,,,,Buy,2015-02-01,2015-02-01
2015-02-02,600.0,600.0,600.0,,599.6845195482537,,,,100.0,0.98091532408273,,,,Buy,2015-02-02,2015-02-02
2015-02-03,600.0,600.0,600.0,,599.7145653055628,,,,100.0,0.9090062785217015,,,,Buy,2015-02-03,2015-02-03
2015-02-04,600.0,600.0,600.0,,599.7417495621759,,,,100.0,0.8423082368026371,,,,Buy,2015-02-04,2015-02-04
2015-02-05,600.0,600.0,600.0,,599.7663448419686,,,,100.0,0.7804529820449488,,,,Buy,2015-02-05,2015-02-05
2015-02-06,600.0,600.0,600.0,,599.788597714162,,,,100.0,0.7230968367841797,,,,Buy,2015-02-06,2015-02-06
2015-02-07,,,,,599.788597714162,,,,100.0,0.7230968367841797,,,,Buy,2015-02-07,2015-02-07
2015-02-08,,,,,599.788597714162,,,,100.0,0.7230968367841797,,,,Buy,2015-02-08,2015-02-08
2015-02-09,600.0,600.0,600.0,,599.8126846300785,,,,100.0,0.6619476794651291,,,,Buy,2015-02-09,2015-02-09
2015-02-10,600.0,600.0,600.0,,599.8305241891186,,,,100.0,0.6132216751923352,,,,Buy,2015-02-10,2015-02-10
2015-02-11,600.0,600.0,600.0,,599.8466647425358,,,,100.0,0.5680577496202659,,,,Buy,2015-02-11,2015-02-11
2015-02-12,600.0,600.0,600.0,,599.8612681003896,,,,100.0,0.5261993150595572,,,,Buy,2015-02-12,2015-02-12
2015-02-13,600.0,600.0,600.0,,599.8744806622572,,,,100.0,0.48740767185609,,,,Buy,2015-02-13,2015-02-13
2015-02-14,,,,,599.8744806622572,,,,100.0,0.48740767185609,,,,Buy,2015-02-14,2015-02-14
2015-02-15,,,,,599.8744806622572,,,,100.0,0.48740767185609,,,,Buy,2015-02-15,2015-02-15
2015-02-16,600.0,600.0,600.0,,599.8887821809097,,,,100.0,0.44603966778709037,,,,Buy,2015-02-16,2015-02-16
2015-02-17,600.0,600.0,600.0,,599.8993743541564,,,,100.0,0.41312526060630717,,,,Buy,2015-02-17,2015-02-17
2015-02-18,600.0,600.0,600.0,,599.9089577489987,,,,100.0,0.38262963947488515,,,,Buy,2015-02-18,2015-02-18
2015-02-19,600.0,600.0,600.0,,599.9176284395702,,,,100.0,0.35437660708441854,,,,Buy,2015-02-19,2015-02-19
2015-02-20,600.0,600.0,600.0,,599.9254733500873,,,,100.0,0.3282025605439003,,,,Buy,2015-02-20,2015-02-20
2015-02-21,,,,,599.9254733500873,,,,100.0,0.3282025605439003,,,,Buy,2015-02-21,2015-02-21
2015-02-22,,,,,599.9254733500873,,,,100.0,0.3282025605439003,,,,Buy,2015-02-22,2015-02-22
2015-02-23,600.0,600.0,600.0,,599.9339648247318,,,,100.0,0.3002856708114905,,,,Buy,2015-02-23,2015-02-23
2015-02-24,600.0,600.0,600.0,,599.940253889043,,,,100.0,0.2780936210378968,,,,Buy,2015-02-24,2015-02-24
2015-02-25,600.0,600.0,600.0,,599.9459439948484,,,,100.0,0.257537529379988,,,,Buy,2015-02-25,2015-02-25
2015-02-26,600.0,600.0,600.0,,599.9510921858152,,,,100.0,0.23849742874347157,,,,Buy,2015-02-26,2015-02-26
2015-02-27,600.0,600.0,600.0,,599.9557500728804,,,,100.0,0.2208620515639268,,,,Buy,2015-02-27,2015-02-27
2015-02-28,,,,,599.9557500728804,,,,100.0,0.2208620515639268,,,,Buy,2015-02-28,2015-02-28
2015-03-01,,,,,599.9557500728804,,,,100.0,0.2208620515639268,,,,Buy,2015-03-01,2015-03-01
2015-03-02,600.0,600.0,600.0,,599.9607918550429,,,,100.0,0.20205056625991347,,,,Buy,2015-03-02,2015-03-02
2015-03-03,600.0,600.0,600.0,,599.9645259640864,,,,100.0,0.18710484307496245,,,,Buy,2015-03-03,2015-03-03
2015-03-04,600.0,600.0,600.0,,599.9679044436972,,,,100.0,0.1732629819689464,,,,Buy,2015-03-04,2015-03-04
2015-03-05,600.0,600.0,600.0,,599.970961163345,,,,100.0,0.16044371207715358,,,,Buy,2015-03-05,2015-03-05
2015-03-06,600.0,600.0,600.0,,599.973726766836,,,,100.0,0.14857170618381588,,,,Buy,2015-03-06,2015-03-06
2015-03-07,,,,,599.973726766836,,,,100.0,0.14857170618381588,,,,Buy,2015-03-07,2015-03-07
2015-03-08,,,,,599.973726766836,,,,100.0,0.14857170618381588,,,,Buy,2015-03-08,2015-03-08
