Date,PoslednaCena,Max,Min,SMA_20,EMA_20,WMA_20,HMA_20,TMA_20,RSI,MACD,CCI,ADX,Stoch,Signal,Start Date,End Date
2014-11-10,84.0,84.0,84.0,,84.0,,,,,,,0.0,,Hold,2014-11-10,2014-11-10
2014-11-11,84.0,84.0,84.0,,84.0,,,,,,,0.0,,Hold,2014-11-11,2014-11-11
2014-11-12,84.0,84.0,84.0,,84.0,,,,,,,0.0,,Hold,2014-11-12,2014-11-12
2014-11-13,84.0,84.0,84.0,,84.0,,,,,,,0.0,,Hold,2014-11-13,2014-11-13
2014-11-14,84.0,84.0,84.0,,84.0,,,,,,,0.0,,Hold,2014-11-14,2014-11-14
2014-11-15,,,,,84.0,,,,,,,0.0,,Hold,2014-11-15,2014-11-15
2014-11-16,,,,,84.0,,,,,,,0.0,,Hold,2014-11-16,2014-11-16
2014-11-17,84.0,84.0,84.0,,84.0,,,,,,,0.0,,Hold,2014-11-17,2014-11-17
2014-11-18,84.0,84.0,84.0,,84.0,,,,,,,0.0,,Hold,2014-11-18,2014-11-18
2014-11-19,84.0,84.0,84.0,,84.0,,,,,,,0.0,,Hold,2014-11-19,2014-11-19
2014-11-20,84.0,84.0,84.0,,84.0,,,,,,,0.0,,Hold,2014-11-20,2014-11-20
2014-11-21,84.0,84.0,84.0,,84.0,,,,,,,0.0,,Hold,2014-11-21,2014-11-21
2014-11-22,,,,,84.0,,,,,,,0.0,,Hold,2014-11-22,2014-11-22
2014-11-23,,,,,84.0,,,,100.0,,,0.0,,Sell,2014-11-23,2014-11-23
2014-11-24,84.0,84.0,84.0,,84.0,,,,100.0,,,0.0,,Sell,2014-11-24,2014-11-24
2014-11-25,84.0,84.0,84.0,,84.0,,,,100.0,,,0.0,,Sell,2014-11-25,2014-11-25
2014-11-26,84.0,84.0,84.0,,84.0,,,,100.0,,,0.0,,Sell,2014-11-26,2014-11-26
2014-11-27,84.0,84.0,84.0,,84.0,,,,100.0,,,0.0,,Sell,2014-11-27,2014-11-27
2014-11-28,84.0,84.0,84.0,,84.0,,,,100.0,,,0.0,,Sell,2014-11-28,2014-11-28
2014-11-29,,,,,84.0,,,,100.0,,,0.0,,Sell,2014-11-29,2014-11-29
2014-11-30,,,,,84.0,,,,100.0,,,0.0,,Sell,2014-11-30,2014-11-30
2014-12-01,84.0,84.0,84.0,,84.0,,,,100.0,,,0.0,,Sell,2014-12-01,2014-12-01
2014-12-02,84.0,84.0,84.0,,84.0,,,,100.0,,,0.0,,Sell,2014-12-02,2014-12-02
2014-12-03,,,,,84.0,,,,100.0,,,0.0,,Sell,2014-12-03,2014-12-03
2014-12-04,84.0,84.0,84.0,,84.0,,,,100.0,,,0.0,,Sell,2014-12-04,2014-12-04
2014-12-05,84.0,84.0,84.0,,84.0,,,,100.0,,,0.0,,Sell,2014-12-05,2014-12-05
2014-12-06,,,,,84.0,,,,100.0,,,0.0,,Sell,2014-12-06,2014-12-06
2014-12-07,,,,,84.0,,,,100.0,,,,,Sell,2014-12-07,2014-12-07
2014-12-08,,,,,84.0,,,,100.0,,,,,Sell,2014-12-08,2014-12-08
2014-12-09,84.0,84.0,84.0,,84.0,,,,100.0,,,,,Sell,2014-12-09,2014-12-09
2014-12-10,84.0,84.0,84.0,,84.0,,,,100.0,,,,,Sell,2014-12-10,2014-12-10
2014-12-11,86.0,86.0,86.0,,84.19047619047619,,,,100.0,,,,,Sell,2014-12-11,2014-12-11
2014-12-12,86.0,86.0,86.0,,84.36281179138322,,,,100.0,,,,,Sell,2014-12-12,2014-12-12
2014-12-13,,,,,84.36281179138322,,,,100.0,,,,,Sell,2014-12-13,2014-12-13
2014-12-14,,,,,84.36281179138322,,,,100.0,,,,,Sell,2014-12-14,2014-12-14
2014-12-15,86.0,86.0,86.0,,84.54935099820405,,,,100.0,,,,,Sell,2014-12-15,2014-12-15
2014-12-16,86.0,86.0,86.0,,84.68750804599414,,,,100.0,,,,,Sell,2014-12-16,2014-12-16
2014-12-17,86.0,86.0,86.0,,84.81250727970898,,,,100.0,0.5269776719620296,,,,Buy,2014-12-17,2014-12-17
2014-12-18,86.0,86.0,86.0,,84.9256018244986,,,,100.0,0.5531651672043694,,,,Buy,2014-12-18,2014-12-18
2014-12-19,86.0,86.0,86.0,,85.02792546026063,,,,100.0,0.5673785590073095,,,,Buy,2014-12-19,2014-12-19
2014-12-20,,,,,85.02792546026063,,,,100.0,0.5673785590073095,,,,Buy,2014-12-20,2014-12-20
2014-12-21,,,,,85.02792546026063,,,,100.0,0.5673785590073095,,,,Buy,2014-12-21,2014-12-21
2014-12-22,86.0,86.0,86.0,,85.13868243533493,,,,100.0,0.5875435616183466,,,,Buy,2014-12-22,2014-12-22
2014-12-23,86.0,86.0,86.0,,85.22071267958874,,,,100.0,0.581262731509824,,,,Buy,2014-12-23,2014-12-23
2014-12-24,86.0,86.0,86.0,,85.29493051962791,,,,100.0,0.5697177765073036,,,,Buy,2014-12-24,2014-12-24
2014-12-25,86.0,86.0,86.0,,85.36207999394907,,,,100.0,0.5541800735679203,,,,Buy,2014-12-25,2014-12-25
2014-12-26,86.0,86.0,86.0,,85.42283428023963,,,,100.0,0.5356912171502586,,,,Buy,2014-12-26,2014-12-26
2014-12-27,,,,,85.42283428023963,,,,100.0,0.5356912171502586,,,,Buy,2014-12-27,2014-12-27
2014-12-28,,,,,85.42283428023963,,,,100.0,0.5356912171502586,,,,Buy,2014-12-28,2014-12-28
2014-12-29,86.0,86.0,86.0,,85.48859583105072,,,,100.0,0.5180110079968046,,,,Buy,2014-12-29,2014-12-29
2014-12-30,99.0,99.0,99.0,,86.77539622809351,,,,100.0,1.531901231545902,,,,Buy,2014-12-30,2014-12-30
2014-12-31,,,,,86.77539622809351,,,,100.0,1.531901231545902,,,,Buy,2014-12-31,2014-12-31
2015-01-01,,,,,86.77539622809351,,,,100.0,1.531901231545902,,,,Buy,2015-01-01,2015-01-01
2015-01-02,99.0,99.0,99.0,,88.16825251627611,,,,100.0,2.7089308818870848,,,,Buy,2015-01-02,2015-01-02
2015-01-03,,,,,88.16825251627611,,,,100.0,2.7089308818870848,,,,Buy,2015-01-03,2015-01-03
2015-01-04,,,,,88.16825251627611,,,,100.0,2.7089308818870848,,,,Buy,2015-01-04,2015-01-04
2015-01-05,99.0,99.0,99.0,,89.40240847553777,,,,100.0,3.5206575402004745,,,,Buy,2015-01-05,2015-01-05
2015-01-06,,,,,89.40240847553777,,,,100.0,3.5206575402004745,,,,Buy,2015-01-06,2015-01-06
2015-01-07,,,,,89.40240847553777,,,,100.0,3.5206575402004745,,,,Buy,2015-01-07,2015-01-07
2015-01-08,99.0,99.0,99.0,,90.49594622577362,,,,100.0,4.051894738708668,,,,Buy,2015-01-08,2015-01-08
2015-01-09,99.0,99.0,99.0,,91.30585610903329,,,,100.0,4.203337957720052,,,,Buy,2015-01-09,2015-01-09
2015-01-10,,,,,91.30585610903329,,,,100.0,4.203337957720052,,,,Buy,2015-01-10,2015-01-10
2015-01-11,,,,,91.30585610903329,,,,100.0,4.203337957720052,,,,Buy,2015-01-11,2015-01-11
2015-01-12,99.0,99.0,99.0,,92.18251738171546,,,,100.0,4.40582975345724,,,,Buy,2015-01-12,2015-01-12
2015-01-13,99.0,99.0,99.0,,92.8318014405997,,,,100.0,4.384197764728782,,,,Buy,2015-01-13,2015-01-13
