Date,PoslednaCena,Max,Min,SMA_20,EMA_20,WMA_20,HMA_20,TMA_20,RSI,MACD,CCI,ADX,Stoch,Signal,Start Date,End Date
2014-11-10,3800.0,3800.0,3800.0,,3800.0,,,,,,,0.0,,Hold,2014-11-10,2014-11-10
2014-11-11,3800.0,3800.0,3800.0,,3800.0,,,,,,,0.0,,Hold,2014-11-11,2014-11-11
2014-11-12,3800.0,3800.0,3800.0,,3800.0,,,,,,,0.0,,Hold,2014-11-12,2014-11-12
2014-11-13,3800.0,3800.0,3800.0,,3800.0,,,,,,,0.0,,Hold,2014-11-13,2014-11-13
2014-11-14,3800.0,3800.0,3800.0,,3800.0,,,,,,,0.0,,Hold,2014-11-14,2014-11-14
2014-11-15,,,,,3800.0,,,,,,,0.0,,Hold,2014-11-15,2014-11-15
2014-11-16,,,,,3800.0,,,,,,,0.0,,Hold,2014-11-16,2014-11-16
2014-11-17,3800.0,3800.0,3800.0,,3800.0,,,,,,,0.0,,Hold,2014-11-17,2014-11-17
2014-11-18,3800.0,3800.0,3800.0,,3800.0,,,,,,,0.0,,Hold,2014-11-18,2014-11-18
2014-11-19,3800.0,3800.0,3800.0,,3800.0,,,,,,,0.0,,Hold,2014-11-19,2014-11-19
2014-11-20,3800.0,3800.0,3800.0,,3800.0,,,,,,,0.0,,Hold,2014-11-20,2014-11-20
2014-11-21,3710.0,3710.0,3710.0,,3791.4285714285716,,,,,,,0.0,,Hold,2014-11-21,2014-11-21
2014-11-22,,,,,3791.4285714285716,,,,,,,0.0,,Hold,2014-11-22,2014-11-22
2014-11-23,,,,,3791.4285714285716,,,,0.0,,,0.0,,Buy,2014-11-23,2014-11-23
2014-11-24,3700.0,3700.0,3700.0,,3781.0113126764727,,,,0.0,,,0.0,,Buy,2014-11-24,2014-11-24
2014-11-25,3700.0,3700.0,3700.0,,3773.2959495644277,,,,0.0,,,0.0,,Buy,2014-11-25,2014-11-25
2014-11-26,3700.0,3700.0,3700.0,,3766.315382939244,,,,0.0,,,0.0,,Buy,2014-11-26,2014-11-26
2014-11-27,3700.0,3700.0,3700.0,,3759.9996321831254,,,,0.0,,,0.0,,Buy,2014-11-27,2014-11-27
2014-11-28,3700.0,3700.0,3700.0,,3754.285381499018,,,,0.0,,,0.0,,Buy,2014-11-28,2014-11-28
2014-11-29,,,,,3754.285381499018,,,,0.0,,,0.0,,Buy,2014-11-29,2014-11-29
2014-11-30,,,,,3754.285381499018,,,,0.0,,,0.0,,Buy,2014-11-30,2014-11-30
2014-12-01,3700.0,3700.0,3700.0,,3748.100172032265,,,,0.0,,,0.0,,Buy,2014-12-01,2014-12-01
2014-12-02,3700.0,3700.0,3700.0,,3743.5192032672876,,,,0.0,,,0.0,,Buy,2014-12-02,2014-12-02
2014-12-03,,,,,3743.5192032672876,,,,0.0,,,0.0,,Buy,2014-12-03,2014-12-03
2014-12-04,3700.0,3700.0,3700.0,,3738.9837031749153,,,,0.0,,,0.0,,Buy,2014-12-04,2014-12-04
2014-12-05,3700.0,3700.0,3700.0,,3735.270969539209,,,,0.0,,,0.0,,Buy,2014-12-05,2014-12-05
2014-12-06,,,,,3735.270969539209,,,,0.0,,,0.0,,Buy,2014-12-06,2014-12-06
2014-12-07,,,,,3735.270969539209,,,,0.0,,,,,Buy,2014-12-07,2014-12-07
2014-12-08,,,,,3735.270969539209,,,,0.0,,,,,Buy,2014-12-08,2014-12-08
2014-12-09,3700.0,3700.0,3700.0,,3730.8818555210473,,,,0.0,,,,,Buy,2014-12-09,2014-12-09
2014-12-10,3700.0,3700.0,3700.0,,3727.940726423805,,,,0.0,,,,,Buy,2014-12-10,2014-12-10
2014-12-11,3700.0,3700.0,3700.0,,3725.279704859633,,,,0.0,,,,,Buy,2014-12-11,2014-12-11
2014-12-12,3700.0,3700.0,3700.0,,3722.8721139206204,,,,0.0,,,,,Buy,2014-12-12,2014-12-12
2014-12-13,,,,,3722.8721139206204,,,,0.0,,,,,Buy,2014-12-13,2014-12-13
2014-12-14,,,,,3722.8721139206204,,,,0.0,,,,,Buy,2014-12-14,2014-12-14
2014-12-15,3700.0,3700.0,3700.0,,3720.266093448073,,,,0.0,,,,,Buy,2014-12-15,2014-12-15
2014-12-16,3701.0,3701.0,3701.0,,3718.4312274053996,,,,6.61673340112452,,,,,Buy,2014-12-16,2014-12-16
2014-12-17,3701.0,3701.0,3701.0,,3716.7711105096473,,,,6.61673340112452,-21.06704544473814,,,,Sell,2014-12-17,2014-12-17
2014-12-18,3701.0,3701.0,3701.0,,3715.2690999849187,,,,6.61673340112452,-19.80074192524262,,,,Sell,2014-12-18,2014-12-18
2014-12-19,3800.0,3801.0,3800.0,,3723.338709510165,,,,89.82919165295544,-10.68553840512186,,,,Sell,2014-12-19,2014-12-19
2014-12-20,,,,,3723.338709510165,,,,89.82919165295544,-10.68553840512186,,,,Sell,2014-12-20,2014-12-20
2014-12-21,,,,,3723.338709510165,,,,89.82919165295544,-10.68553840512186,,,,Sell,2014-12-21,2014-12-21
2014-12-22,3800.0,3800.0,3800.0,,3732.0734024712856,,,,89.82919165295544,-0.2678420710572027,,,,Sell,2014-12-22,2014-12-22
2014-12-23,3800.0,3800.0,3800.0,,3738.542602235925,,,,89.82919165295543,4.913145864985836,,,,Buy,2014-12-23,2014-12-23
2014-12-24,3800.0,3800.0,3800.0,,3744.3956877372657,,,,89.82919165295543,8.916334181088587,,,,Buy,2014-12-24,2014-12-24
2014-12-25,3800.0,3800.0,3800.0,,3749.6913365241926,,,,89.82919165295543,11.951124637509565,,,,Buy,2014-12-25,2014-12-25
2014-12-26,3900.0,3900.0,3900.0,,3764.0064473314123,,,,95.95125210985994,22.16982229268251,,,,Buy,2014-12-26,2014-12-26
2014-12-27,,,,,3764.0064473314123,,,,95.95125210985994,22.16982229268251,,,,Buy,2014-12-27,2014-12-27
2014-12-28,,,,,3764.0064473314123,,,,95.95125210985994,22.16982229268251,,,,Buy,2014-12-28,2014-12-28
2014-12-29,3900.0,3900.0,3900.0,,3779.5013851241647,,,,95.95125210985994,34.0779333491796,,,,Buy,2014-12-29,2014-12-29
2014-12-30,3900.0,3900.0,3900.0,,3790.9774436837683,,,,95.95125210985994,39.046528949279036,,,,Buy,2014-12-30,2014-12-30
2014-12-31,,,,,3790.9774436837683,,,,95.95125210985994,39.046528949279036,,,,Buy,2014-12-31,2014-12-31
2015-01-01,,,,,3790.9774436837683,,,,95.95125210985994,39.046528949279036,,,,Buy,2015-01-01,2015-01-01
2015-01-02,3900.0,3900.0,3900.0,,3803.3993393911596,,,,95.95125210985994,45.02631554152822,,,,Buy,2015-01-02,2015-01-02
2015-01-03,,,,,3803.3993393911596,,,,95.95125210985994,45.02631554152822,,,,Buy,2015-01-03,2015-01-03
2015-01-04,,,,,3803.3993393911596,,,,95.95125210985994,45.02631554152822,,,,Buy,2015-01-04,2015-01-04
2015-01-05,3900.0,3900.0,3900.0,,3814.4058996103813,,,,95.95125210985994,48.60983900140991,,,,Buy,2015-01-05,2015-01-05
2015-01-06,,,,,3814.4058996103813,,,,95.95125210985994,48.60983900140991,,,,Buy,2015-01-06,2015-01-06
2015-01-07,,,,,3814.4058996103813,,,,95.95125210985994,48.60983900140991,,,,Buy,2015-01-07,2015-01-07
2015-01-08,3900.0,3900.0,3900.0,,3824.158385922698,,,,95.95125210985994,50.38354148867029,,,,Buy,2015-01-08,2015-01-08
2015-01-09,3900.0,3900.0,3900.0,,3831.381396787203,,,,95.95125210985994,49.86703952092466,,,,Buy,2015-01-09,2015-01-09
2015-01-10,,,,,3831.381396787203,,,,95.95125210985994,49.86703952092466,,,,Buy,2015-01-10,2015-01-10
2015-01-11,,,,,3831.381396787203,,,,95.95125210985994,49.86703952092466,,,,Buy,2015-01-11,2015-01-11
2015-01-12,3900.0,3900.0,3900.0,,3839.199715871777,,,,95.95125210985994,49.607422954156846,,,,Buy,2015-01-12,2015-01-12
2015-01-13,3900.0,3900.0,3900.0,,3844.990219122084,,,,95.95125210985994,48.10267405873856,,,,Buy,2015-01-13,2015-01-13
2015-01-14,3900.0,3900.0,3900.0,,3850.229245872362,,,,95.95125210985994,46.3755611172146,,,,Buy,2015-01-14,2015-01-14
2015-01-15,3900.0,3900.0,3900.0,,3854.969317694042,,,,95.95125210985994,44.49391352921475,,,,Buy,2015-01-15,2015-01-15
2015-01-16,3900.0,3900.0,3900.0,,3859.257954104133,,,,95.95125210985994,42.51263506534906,,,,Buy,2015-01-16,2015-01-16
2015-01-17,,,,,3859.257954104133,,,,95.95125210985994,42.51263506534906,,,,Buy,2015-01-17,2015-01-17
2015-01-18,,,,,3859.257954104133,,,,95.95125210985994,42.51263506534906,,,,Buy,2015-01-18,2015-01-18
2015-01-19,,,,,3859.257954104133,,,,95.95125210985994,42.51263506534906,,,,Buy,2015-01-19,2015-01-19
2015-01-20,3900.0,3900.0,3900.0,,3864.3278880216385,,,,95.95125210985994,40.56276380118106,,,,Buy,2015-01-20,2015-01-20
2015-01-21,3900.0,3900.0,3900.0,,3867.725232019578,,,,95.95125210985994,38.41367352885709,,,,Buy,2015-01-21,2015-01-21
2015-01-22,3900.0,3900.0,3900.0,,3870.799019446285,,,,95.95125210985994,36.29215068269059,,,,Buy,2015-01-22,2015-01-22
2015-01-23,3900.0,3900.0,3900.0,,3873.5800652133057,,,,95.95125210985994,34.21640314586284,,,,Buy,2015-01-23,2015-01-23
2015-01-24,,,,,3873.5800652133057,,,,95.95125210985994,34.21640314586284,,,,Buy,2015-01-24,2015-01-24
2015-01-25,,,,,3873.5800652133057,,,,95.95125210985994,34.21640314586284,,,,Buy,2015-01-25,2015-01-25
2015-01-26,3800.0,3800.0,3800.0,,3865.1964432628947,,,,95.95125210985994,20.340557699453257,,,,Buy,2015-01-26,2015-01-26
2015-01-27,3800.0,3800.0,3800.0,,3858.987258190238,,,,95.95125210985994,12.885509406276924,,,,Buy,2015-01-27,2015-01-27
2015-01-28,3800.0,3800.0,3800.0,,3853.3694240768823,,,,95.95125210985994,6.897816191893526,,,,Buy,2015-01-28,2015-01-28
2015-01-29,3800.0,3800.0,3800.0,,3848.286621783846,,,,95.95125210985995,2.127995967611241,,,,Buy,2015-01-29,2015-01-29
2015-01-30,3800.0,3800.0,3800.0,,3843.6878958996704,,,,95.95125210985995,-1.6332933359440176,,,,Sell,2015-01-30,2015-01-30
2015-01-31,,,,,3843.6878958996704,,,,95.95125210985995,-1.6332933359440176,,,,Sell,2015-01-31,2015-01-31
2015-02-01,,,,,3843.6878958996704,,,,95.95125210985995,-1.6332933359440176,,,,Sell,2015-02-01,2015-02-01
2015-02-02,3800.0,3800.0,3800.0,,3838.7101508817777,,,,95.95125210985995,-5.972605426410155,,,,Sell,2015-02-02,2015-02-02
2015-02-03,3800.0,3800.0,3800.0,,3835.023469845418,,,,95.95125210985994,-7.961917437327429,,,,Sell,2015-02-03,2015-02-03
2015-02-04,3800.0,3800.0,3800.0,,3831.6879012887116,,,,95.95125210985995,-9.429761121808497,,,,Sell,2015-02-04,2015-02-04
2015-02-05,3800.0,3800.0,3800.0,,3828.670005927882,,,,95.95125210985995,-10.472319437321403,,,,Sell,2015-02-05,2015-02-05
2015-02-06,3686.0,3686.0,3686.0,,3815.082386315703,,,,5.8420522529181085,-20.263813052754358,,,,Sell,2015-02-06,2015-02-06
2015-02-07,,,,,3815.082386315703,,,,5.842052252918094,-20.263813052754358,,,,Sell,2015-02-07,2015-02-07
2015-02-08,,,,,3815.082386315703,,,,5.842052252918094,-20.263813052754358,,,,Sell,2015-02-08,2015-02-08
2015-02-09,3686.0,3686.0,3686.0,,3800.374898299884,,,,5.842052252918094,-31.667519122163867,,,,Sell,2015-02-09,2015-02-09
2015-02-10,3686.0,3686.0,3686.0,,3789.482050842752,,,,5.8420522529181085,-36.452471640965996,,,,Sell,2015-02-10,2015-02-10
2015-02-11,3686.0,3686.0,3686.0,,3779.626617429157,,,,5.842052252918094,-39.78595328229585,,,,Sell,2015-02-11,2015-02-11
2015-02-12,3640.0,3640.0,3600.0,,3766.3288443406655,,,,3.671648080002697,-45.6137699154483,,,,Sell,2015-02-12,2015-02-12
2015-02-13,3600.0,3600.0,3600.0,,3750.488002022507,,,,2.723964323375654,-52.8507912671721,,,,Sell,2015-02-13,2015-02-13
2015-02-14,,,,,3750.488002022507,,,,2.723964323375654,-52.8507912671721,,,,Sell,2015-02-14,2015-02-14
2015-02-15,,,,,3750.488002022507,,,,2.723964323375654,-52.8507912671721,,,,Sell,2015-02-15,2015-02-15
2015-02-16,3600.0,3600.0,3600.0,,3733.3415845333125,,,,2.723964323375654,-61.53366257286871,,,,Sell,2015-02-16,2015-02-16
2015-02-17,3600.0,3600.0,3600.0,,3720.64238600633,,,,2.723964323375654,-64.13910189194712,,,,Sell,2015-02-17,2015-02-17
2015-02-18,3600.0,3600.0,3600.0,,3709.152634958108,,,,2.723964323375654,-65.44947056766978,,,,Sell,2015-02-18,2015-02-18
2015-02-19,3600.0,3600.0,3600.0,,3698.7571459144788,,,,2.723964323375654,-65.73024978007152,,,,Sell,2015-02-19,2015-02-19
2015-02-20,3600.0,3600.0,3600.0,,3689.351703446433,,,,2.723964323375654,-65.20117081793569,,,,Sell,2015-02-20,2015-02-20
2015-02-21,,,,,3689.351703446433,,,,2.723964323375654,-65.20117081793569,,,,Sell,2015-02-21,2015-02-21
2015-02-22,,,,,3689.351703446433,,,,2.723964323375654,-65.20117081793569,,,,Sell,2015-02-22,2015-02-22
