Date,PoslednaCena,Max,Min,SMA_20,EMA_20,WMA_20,HMA_20,TMA_20,RSI,MACD,CCI,ADX,Stoch,Signal,Start Date,End Date
2014-11-10,6800.0,6800.0,6800.0,,6800.0,,,,,,,0.0,,Hold,2014-11-10,2014-11-16
2014-11-17,6800.0,6800.0,6800.0,,6800.0,,,,,,,0.0,,Hold,2014-11-17,2014-11-23
2014-11-24,6800.0,6800.0,6800.0,,6800.0,,,,,,,0.0,,Hold,2014-11-24,2014-11-30
2014-12-01,6800.0,6800.0,6800.0,,6800.0,,,,,,,0.0,,Hold,2014-12-01,2014-12-07
2014-12-08,6800.0,6800.0,6800.0,,6800.0,,,,,,,0.0,,Hold,2014-12-08,2014-12-14
2014-12-15,6800.0,6800.0,6800.0,,6800.0,,,,,,,0.0,,Hold,2014-12-15,2014-12-21
2014-12-22,6600.0,6600.0,6600.0,,6780.952380952381,,,,,,,0.0,,Hold,2014-12-22,2014-12-28
2014-12-29,6600.0,6600.0,6600.0,,6763.718820861678,,,,,,,0.0,,Hold,2014-12-29,2015-01-04
2015-01-05,6600.0,6600.0,6600.0,,6748.126552208185,,,,,,,0.0,,Hold,2015-01-05,2015-01-11
2015-01-12,6600.0,6600.0,6600.0,,6734.019261521691,,,,,,,0.0,,Hold,2015-01-12,2015-01-18
2015-01-19,6600.0,6600.0,6600.0,,6721.255522329149,,,,,,,0.0,,Hold,2015-01-19,2015-01-25
2015-01-26,6600.0,6600.0,6600.0,,6709.70737734542,,,,,,,0.0,,Hold,2015-01-26,2015-02-01
2015-02-02,6600.0,6600.0,6600.0,,6699.259055693476,,,,,,,0.0,,Hold,2015-02-02,2015-02-08
2015-02-09,6600.0,6600.0,6600.0,,6689.8058122940965,,,,0.0,,,0.0,0.0,Buy,2015-02-09,2015-02-15
2015-02-16,6600.0,6600.0,6600.0,,6681.252877789897,,,,0.0,,,0.0,0.0,Buy,2015-02-16,2015-02-22
2015-02-23,6600.0,6600.0,6600.0,,6673.514508476574,,,,0.0,,,0.0,0.0,Buy,2015-02-23,2015-03-01
2015-03-02,6600.0,6600.0,6600.0,,6666.5131267169,,,,0.0,,,0.0,0.0,Buy,2015-03-02,2015-03-08
2015-03-09,6600.0,6600.0,6600.0,,6660.178543220052,,,,0.0,,,0.0,0.0,Buy,2015-03-09,2015-03-15
2015-03-16,6600.0,6600.0,6600.0,,6654.447253389571,,,,0.0,,,0.0,0.0,Buy,2015-03-16,2015-03-22
2015-03-23,6600.0,6600.0,6600.0,6660.0,6649.261800685803,6620.0,6540.0,,0.0,,-47.61904761904762,0.0,,Buy,2015-03-23,2015-03-29
2015-03-30,6600.0,6600.0,6600.0,6650.0,6644.570200620488,6614.285714285715,6550.0,,0.0,,-44.44444444444444,0.0,,Buy,2015-03-30,2015-04-05
2015-04-06,6600.0,6600.0,6600.0,6640.0,6640.325419609013,6609.523809523809,6560.0,,0.0,,-41.66666666666667,0.0,,Sell,2015-04-06,2015-04-12
2015-04-13,6600.0,6600.0,6600.0,6630.0,6636.484903455774,6605.714285714285,6570.0,,0.0,,-39.21568627450981,0.0,,Sell,2015-04-13,2015-04-19
2015-04-20,6600.0,6600.0,6600.0,6620.0,6633.0101507457,6602.857142857143,6580.0,,0.0,,-37.03703703703704,0.0,,Sell,2015-04-20,2015-04-26
2015-04-27,6600.0,6600.0,6600.0,6610.0,6629.866326865157,6600.952380952381,6590.0,,0.0,,-35.08771929824562,0.0,,Sell,2015-04-27,2015-05-03
2015-05-04,6100.0,6100.0,6100.0,6575.0,6579.402867163713,6552.380952380952,6525.0,,0.0,-75.71595206137681,-666.6666666666666,0.0,0.0,Sell,2015-05-04,2015-05-10
2015-05-11,6100.0,6100.0,6100.0,6550.0,6533.74545124336,6507.142857142857,6450.0,,0.0,-104.42185380813316,-333.33333333333337,0.0,0.0,Buy,2015-05-11,2015-05-17
2015-05-18,6100.0,6100.0,6100.0,6525.0,6492.436360648754,6464.285714285715,6375.0,,0.0,-125.72224003356132,-222.22222222222223,100.0,0.0,Buy,2015-05-18,2015-05-24
2015-05-25,6100.0,6100.0,6100.0,6500.0,6455.061469158396,6423.809523809524,6300.0,,0.0,-140.97784473971114,-166.66666666666669,100.0,0.0,Buy,2015-05-25,2015-05-31
2015-06-01,6100.0,6100.0,6100.0,6475.0,6421.246091143311,6385.714285714285,6225.0,,0.0,-151.32365646401922,-133.33333333333334,100.0,0.0,Buy,2015-06-01,2015-06-07
2015-06-08,6100.0,6100.0,6100.0,6450.0,6390.651225320138,6350.0,6150.0,,0.0,-157.70486329686446,-111.11111111111111,100.0,0.0,Buy,2015-06-08,2015-06-14
2015-06-15,6100.0,6100.0,6100.0,6425.0,6362.97015624203,6316.666666666667,6075.0,,0.0,-160.90717790041163,-95.23809523809524,100.0,0.0,Buy,2015-06-15,2015-06-21
2015-06-22,6100.0,6100.0,6100.0,6400.0,6337.925379457074,6285.714285714285,6000.0,,0.0,-161.58241381030894,-83.33333333333334,100.0,0.0,Buy,2015-06-22,2015-06-28
2015-06-29,6100.0,6100.0,6100.0,6375.0,6315.2658195087815,6257.142857142857,5925.0,,0.0,-160.27004976467015,-74.07407407407408,100.0,0.0,Buy,2015-06-29,2015-07-05
2015-07-06,6100.0,6100.0,6100.0,6350.0,6294.764312888898,6230.952380952381,5850.0,,0.0,-157.41540500225074,-66.66666666666667,100.0,0.0,Buy,2015-07-06,2015-07-12
2015-07-13,6100.0,6100.0,6100.0,6325.0,6276.215330709002,6207.142857142857,5875.0,,0.0,-153.3849522111559,-60.60606060606061,100.0,0.0,Buy,2015-07-13,2015-07-19
2015-07-20,6100.0,6100.0,6100.0,6300.0,6259.432918260525,6185.714285714285,5900.0,,0.0,-148.47921338951528,-55.555555555555564,100.0,0.0,Buy,2015-07-20,2015-07-26
2015-07-27,6100.0,6100.0,6100.0,6275.0,6244.2488308071415,6166.666666666667,5925.0,,0.0,-142.943615014844,-51.28205128205128,100.0,0.0,Buy,2015-07-27,2015-08-02
2015-08-03,6100.0,6100.0,6100.0,6250.0,6230.510846920747,6150.0,5950.0,6479.25,0.0,-136.97762067554595,-47.61904761904762,100.0,,Buy,2015-08-03,2015-08-09
2015-08-10,6100.0,6100.0,6100.0,6225.0,6218.081242452105,6135.714285714285,5975.0,6457.5,0.0,-130.74241006013563,-44.44444444444444,100.0,,Buy,2015-08-10,2015-08-16
