Date,PoslednaCena,Max,Min,SMA_20,EMA_20,WMA_20,HMA_20,TMA_20,RSI,MACD,CCI,ADX,Stoch,Signal,Start Date,End Date
2014-11-10,100.0,100.0,100.0,,100.0,,,,,,,0.0,,Hold,2014-11-10,2014-11-16
2014-11-17,100.0,100.0,100.0,,100.0,,,,,,,0.0,,Hold,2014-11-17,2014-11-23
2014-11-24,100.0,100.0,100.0,,100.0,,,,,,,0.0,,Hold,2014-11-24,2014-11-30
2014-12-01,100.0,100.0,100.0,,100.0,,,,,,,0.0,,Hold,2014-12-01,2014-12-07
2014-12-08,100.0,100.0,100.0,,100.0,,,,,,,0.0,,Hold,2014-12-08,2014-12-14
2014-12-15,100.0,100.0,100.0,,100.0,,,,,,,0.0,,Hold,2014-12-15,2014-12-21
2014-12-22,77.0,77.0,77.0,,97.80952380952381,,,,,,,0.0,,Hold,2014-12-22,2014-12-28
2014-12-29,77.0,77.0,77.0,,95.82766439909297,,,,,,,0.0,,Hold,2014-12-29,2015-01-04
2015-01-05,77.0,77.0,77.0,,94.03455350394125,,,,,,,0.0,,Hold,2015-01-05,2015-01-11
2015-01-12,77.0,77.0,77.0,,92.41221507499446,,,,,,,0.0,,Hold,2015-01-12,2015-01-18
2015-01-19,77.0,77.0,77.0,,90.94438506785212,,,,,,,0.0,,Hold,2015-01-19,2015-01-25
2015-01-26,77.0,77.0,77.0,,89.61634839472335,,,,,,,0.0,,Hold,2015-01-26,2015-02-01
2015-02-02,77.0,77.0,77.0,,88.41479140474969,,,,,,,0.0,,Hold,2015-02-02,2015-02-08
2015-02-09,77.0,77.0,77.0,,87.32766841382114,,,,0.0,,,0.0,0.0,Buy,2015-02-09,2015-02-15
2015-02-16,77.0,77.0,77.0,,86.34408094583817,,,,0.0,,,0.0,0.0,Buy,2015-02-16,2015-02-22
2015-02-23,77.0,77.0,77.0,,85.45416847480597,,,,0.0,,,0.0,0.0,Buy,2015-02-23,2015-03-01
2015-03-02,77.0,77.0,77.0,,84.64900957244349,,,,0.0,,,0.0,0.0,Buy,2015-03-02,2015-03-08
2015-03-09,77.0,77.0,77.0,,83.92053247030601,,,,0.0,,,0.0,0.0,Buy,2015-03-09,2015-03-15
2015-03-16,77.0,77.0,77.0,,83.26143413980067,,,,0.0,,,0.0,0.0,Buy,2015-03-16,2015-03-22
2015-03-23,77.0,77.0,77.0,83.9,82.66510707886727,79.3,70.1,,0.0,,-47.61904761904765,0.0,,Buy,2015-03-23,2015-03-29
2015-03-30,77.0,77.0,77.0,82.75,82.12557307135609,78.64285714285714,71.25,,0.0,,-44.44444444444445,0.0,,Buy,2015-03-30,2015-04-05
2015-04-06,77.0,77.0,77.0,81.6,81.63742325503645,78.0952380952381,72.4,,0.0,,-41.666666666666636,0.0,,Sell,2015-04-06,2015-04-12
2015-04-13,77.0,77.0,77.0,80.45,81.19576389741393,77.65714285714286,73.55,,0.0,,-39.21568627450983,0.0,,Sell,2015-04-13,2015-04-19
2015-04-20,77.0,77.0,77.0,79.3,80.79616733575546,77.32857142857142,74.7,,0.0,,-37.03703703703701,0.0,,Sell,2015-04-20,2015-04-26
2015-04-27,77.0,77.0,77.0,78.15,80.43462758949303,77.10952380952381,75.85,,0.0,,-35.08771929824571,0.0,,Sell,2015-04-27,2015-05-03
2015-05-04,77.0,77.0,77.0,77.0,80.1075202000175,77.0,77.0,,0.0,-4.120439900163774,,0.0,,Sell,2015-05-04,2015-05-10
2015-05-11,77.0,77.0,77.0,77.0,79.81156589525393,77.0,77.0,,0.0,-3.880170073837192,,0.0,,Sell,2015-05-11,2015-05-17
2015-05-18,77.0,77.0,77.0,77.0,79.54379771475355,77.0,77.0,,0.0,-3.647706021030473,,100.0,,Sell,2015-05-18,2015-05-24
2015-05-25,77.0,77.0,77.0,77.0,79.3015312657294,77.0,77.0,,0.0,-3.424006765742817,,100.0,,Sell,2015-05-25,2015-05-31
2015-06-01,77.0,77.0,77.0,77.0,79.0823378118504,77.0,77.0,,0.0,-3.209723796320958,,100.0,,Sell,2015-06-01,2015-06-07
2015-06-08,77.0,77.0,77.0,77.0,78.8840199250075,77.0,77.0,,0.0,-3.0052602300067264,,100.0,,Sell,2015-06-08,2015-06-14
2015-06-15,77.0,77.0,77.0,77.0,78.70458945595915,77.0,77.0,,0.0,-2.810819997367304,,100.0,,Sell,2015-06-15,2015-06-21
2015-06-22,77.0,77.0,77.0,77.0,78.54224760301065,77.0,77.0,,0.0,-2.626448647038771,,100.0,,Sell,2015-06-22,2015-06-28
2015-06-29,77.0,77.0,77.0,77.0,78.39536687891439,77.0,77.0,,0.0,-2.4520671201769346,,100.0,,Sell,2015-06-29,2015-07-05
2015-07-06,77.0,77.0,77.0,77.0,78.26247479520825,77.0,77.0,,0.0,-2.287499631949842,,100.0,,Sell,2015-07-06,2015-07-12
2015-07-13,77.0,77.0,77.0,77.0,78.14223910042651,77.0,77.0,,0.0,-2.132496618302426,,100.0,,Sell,2015-07-13,2015-07-19
2015-07-20,77.0,77.0,77.0,77.0,78.03345442419541,77.0,77.0,,0.0,-1.9867535549797708,,100.0,,Sell,2015-07-20,2015-07-26
2015-07-27,77.0,77.0,77.0,77.0,77.93503019331965,77.0,77.0,,0.0,-1.8499263281032654,,100.0,,Sell,2015-07-27,2015-08-02
2015-08-03,77.0,77.0,77.0,77.0,77.84597969871777,77.0,77.0,78.20750000000001,0.0,-1.7216437278085408,,100.0,,Sell,2015-08-03,2015-08-09
2015-08-10,77.0,77.0,77.0,77.0,77.76541020360179,77.0,77.0,77.8625,0.0,-1.601517545494346,,100.0,,Sell,2015-08-10,2015-08-16
2015-08-17,77.0,77.0,77.0,77.0,77.69251399373495,77.0,77.0,77.575,0.0,-1.489150678490418,,100.0,,Sell,2015-08-17,2015-08-23
2015-08-24,77.0,77.0,77.0,77.0,77.62656028004591,77.0,77.0,77.345,0.0,-1.3841435812253167,,100.0,,Sell,2015-08-24,2015-08-30
2015-08-31,77.0,77.0,77.0,77.0,77.56688787242248,77.0,77.0,77.1725,0.0,-1.2860993473996984,,100.0,,Sell,2015-08-31,2015-09-06
2015-09-07,77.0,77.0,77.0,77.0,77.51289855123939,77.0,77.0,77.0575,0.0,-1.1946276616685196,,100.0,,Sell,2015-09-07,2015-09-13
2015-09-14,77.0,77.0,77.0,77.0,77.46405107016896,77.0,77.0,77.0,0.0,-1.1093478205780514,,100.0,,Sell,2015-09-14,2015-09-20
2015-09-21,77.0,77.0,77.0,77.0,77.41985573015286,77.0,77.0,77.0,0.0,-1.029890989859581,,100.0,,Sell,2015-09-21,2015-09-27
2015-09-28,77.0,77.0,77.0,77.0,77.3798694701383,77.0,77.0,77.0,0.0,-0.955901837702811,,100.0,,Sell,2015-09-28,2015-10-04
2015-10-05,77.0,77.0,77.0,77.0,77.34369142536322,77.0,77.0,77.0,0.0,-0.8870396605121442,,100.0,,Sell,2015-10-05,2015-10-11
2015-10-12,77.0,77.0,77.0,77.0,77.31095890866196,77.0,77.0,77.0,0.0,-0.8229790982059342,,100.0,,Sell,2015-10-12,2015-10-18
2015-10-19,77.0,77.0,77.0,77.0,77.28134377450367,77.0,77.0,77.0,0.0,-0.7634105197813597,,100.0,,Sell,2015-10-19,2015-10-25
2015-10-26,77.0,77.0,77.0,77.0,77.25454912931284,77.0,77.0,77.0,0.0,-0.7080401461463453,,100.0,,Sell,2015-10-26,2015-11-01
2015-11-02,77.0,77.0,77.0,77.0,77.23030635509257,77.0,77.0,77.0,0.0,-0.6565899657069849,,100.0,,Sell,2015-11-02,2015-11-08
2015-11-09,77.0,77.0,77.0,77.0,77.20837241651232,77.0,77.0,77.0,0.0,-0.6087974885455907,,100.0,,Sell,2015-11-09,2015-11-15
2015-11-16,77.0,77.0,77.0,77.0,77.18852742446352,77.0,77.0,77.0,0.0,-0.5644153769400049,,100.0,,Sell,2015-11-16,2015-11-22
2015-11-23,77.0,77.0,77.0,77.0,77.17057243165746,77.0,77.0,77.0,0.0,-0.5232109832098217,,100.0,,Sell,2015-11-23,2015-11-29
2015-11-30,77.0,77.0,77.0,77.0,77.15432743816628,77.0,77.0,77.0,0.0,-0.48496582022222867,,100.0,,Sell,2015-11-30,2015-12-06
2015-12-07,77.0,77.0,77.0,77.0,77.13962958691233,77.0,77.0,77.0,0.0,-0.44947498517244355,,100.0,,Sell,2015-12-07,2015-12-13
2015-12-14,77.0,77.0,77.0,77.0,77.12633153101592,77.0,77.0,77.0,0.0,-0.41654655332234825,,100.0,,Sell,2015-12-14,2015-12-20
2015-12-21,77.0,77.0,77.0,77.0,77.11429995663345,77.0,77.0,77.0,0.0,-0.38600095511134214,,100.0,,Sell,2015-12-21,2015-12-27
2015-12-28,77.0,77.0,77.0,77.0,77.10341424647787,77.0,77.0,77.0,0.0,-0.3576703473379297,,100.0,,Sell,2015-12-28,2016-01-03
2016-01-04,77.0,77.0,77.0,77.0,77.09356527062283,77.0,77.0,77.0,0.0,-0.33139798686202937,,100.0,,Sell,2016-01-04,2016-01-10
2016-01-11,77.0,77.0,77.0,77.0,77.08465429246827,77.0,77.0,77.0,0.0,-0.3070376134195243,,100.0,,Sell,2016-01-11,2016-01-17
2016-01-18,77.0,77.0,77.0,77.0,77.07659197889986,77.0,77.0,77.0,0.0,-0.284452846609355,,100.0,,Sell,2016-01-18,2016-01-24
2016-01-25,77.0,77.0,77.0,77.0,77.06929750471892,77.0,77.0,77.0,0.0,-0.2635166008565477,,100.0,,Sell,2016-01-25,2016-01-31
2016-02-01,77.0,77.0,77.0,77.0,77.06269774236473,77.0,77.0,77.0,0.0,-0.2441105211259469,,100.0,,Sell,2016-02-01,2016-02-07
2016-02-08,77.0,77.0,77.0,77.0,77.05672652880618,77.0,77.0,77.0,0.0,-0.22612444132417409,,100.0,,Sell,2016-02-08,2016-02-14
2016-02-15,77.0,77.0,77.0,77.0,77.05132400225321,77.0,77.0,77.0,0.0,-0.20945586664957716,,100.0,,Sell,2016-02-15,2016-02-21
2016-02-22,77.0,77.0,77.0,77.0,77.04643600203862,77.0,77.0,77.0,0.0,-0.1940094806036825,,100.0,,Sell,2016-02-22,2016-02-28
2016-02-29,77.0,77.0,77.0,77.0,77.04201352565399,77.0,77.0,77.0,0.0,-0.17969667694259783,,100.0,,Sell,2016-02-29,2016-03-06
2016-03-07,77.0,77.0,77.0,77.0,77.03801223749646,77.0,77.0,77.0,0.0,-0.1664351165022424,,100.0,,Sell,2016-03-07,2016-03-13
2016-03-14,77.0,77.0,77.0,77.0,77.03439202440155,77.0,77.0,77.0,0.0,-0.15414830856175854,,100.0,,Sell,2016-03-14,2016-03-20
2016-03-21,77.0,77.0,77.0,77.0,77.03111659350617,77.0,77.0,77.0,0.0,-0.14276521620313076,,100.0,,Sell,2016-03-21,2016-03-27
2016-03-28,77.0,77.0,77.0,77.0,77.02815310841034,77.0,77.0,77.0,0.0,-0.1322198849682792,,100.0,,Sell,2016-03-28,2016-04-03
2016-04-04,77.0,77.0,77.0,77.0,77.0254718599903,77.0,77.0,77.0,0.0,-0.12245109400116405,,100.0,,Sell,2016-04-04,2016-04-10
2016-04-11,77.0,77.0,77.0,77.0,77.02304596856266,77.0,77.0,77.0,0.0,-0.11340202878189132,,100.0,,Sell,2016-04-11,2016-04-17
