Date,PoslednaCena,Max,Min,SMA_20,EMA_20,WMA_20,HMA_20,TMA_20,RSI,MACD,CCI,ADX,Stoch,Signal,Start Date,End Date
2015-04-29,8000.0,8000.0,8000.0,,8000.0,,,,,,,0.0,,Hold,2015-04-29,2015-04-29
2015-04-30,8000.0,8000.0,8000.0,,8000.0,,,,,,,0.0,,Hold,2015-04-30,2015-04-30
2015-05-01,,,,,8000.0,,,,,,,0.0,,Hold,2015-05-01,2015-05-01
2015-05-02,,,,,8000.0,,,,,,,0.0,,Hold,2015-05-02,2015-05-02
2015-05-03,,,,,8000.0,,,,,,,0.0,,Hold,2015-05-03,2015-05-03
2015-05-04,8000.0,8000.0,8000.0,,8000.0,,,,,,,0.0,,Hold,2015-05-04,2015-05-04
2015-05-05,8000.0,8000.0,8000.0,,8000.0,,,,,,,0.0,,Hold,2015-05-05,2015-05-05
2015-05-06,8000.0,8000.0,8000.0,,8000.0,,,,,,,0.0,,Hold,2015-05-06,2015-05-06
2015-05-07,8000.0,8000.0,8000.0,,8000.0,,,,,,,0.0,,Hold,2015-05-07,2015-05-07
2015-05-08,8000.0,8000.0,8000.0,,8000.0,,,,,,,0.0,,Hold,2015-05-08,2015-05-08
2015-05-09,,,,,8000.0,,,,,,,0.0,,Hold,2015-05-09,2015-05-09
2015-05-10,,,,,8000.0,,,,,,,0.0,,Hold,2015-05-10,2015-05-10
2015-05-11,8000.0,8000.0,8000.0,,8000.0,,,,,,,0.0,,Hold,2015-05-11,2015-05-11
2015-05-12,8000.0,8000.0,8000.0,,8000.0,,,,100.0,,,0.0,,Sell,2015-05-12,2015-05-12
2015-05-13,8000.0,8000.0,8000.0,,8000.0,,,,100.0,,,0.0,,Sell,2015-05-13,2015-05-13
2015-05-14,8000.0,8000.0,8000.0,,8000.0,,,,100.0,,,0.0,,Sell,2015-05-14,2015-05-14
2015-05-15,8000.0,8000.0,8000.0,,8000.0,,,,100.0,,,0.0,,Sell,2015-05-15,2015-05-15
2015-05-16,,,,,8000.0,,,,100.0,,,0.0,,Sell,2015-05-16,2015-05-16
2015-05-17,,,,,8000.0,,,,100.0,,,0.0,,Sell,2015-05-17,2015-05-17
2015-05-18,8000.0,8000.0,8000.0,,8000.0,,,,100.0,,,0.0,,Sell,2015-05-18,2015-05-18
2015-05-19,8000.0,8000.0,8000.0,,8000.0,,,,100.0,,,0.0,,Sell,2015-05-19,2015-05-19
2015-05-20,8000.0,8000.0,8000.0,,8000.0,,,,100.0,,,0.0,,Sell,2015-05-20,2015-05-20
2015-05-21,8000.0,8000.0,8000.0,,8000.0,,,,100.0,,,0.0,,Sell,2015-05-21,2015-05-21
2015-05-22,8000.0,8000.0,8000.0,,8000.0,,,,100.0,,,0.0,,Sell,2015-05-22,2015-05-22
2015-05-23,,,,,8000.0,,,,100.0,,,0.0,,Sell,2015-05-23,2015-05-23
2015-05-24,,,,,8000.0,,,,100.0,,,0.0,,Sell,2015-05-24,2015-05-24
2015-05-25,,,,,8000.0,,,,100.0,,,0.0,,Sell,2015-05-25,2015-05-25
