Date,PoslednaCena,Max,Min,SMA_20,EMA_20,WMA_20,HMA_20,TMA_20,RSI,MACD,CCI,ADX,Stoch,Signal,Start Date,End Date
2015-05-04,8000.0,8000.0,8000.0,,8000.0,,,,,,,0.0,,Hold,2015-05-04,2015-05-10
2015-05-11,8000.0,8000.0,8000.0,,8000.0,,,,,,,0.0,,Hold,2015-05-11,2015-05-17
2015-05-18,8000.0,8000.0,8000.0,,8000.0,,,,,,,0.0,,Hold,2015-05-18,2015-05-24
2015-05-25,8000.0,8000.0,8000.0,,8000.0,,,,,,,0.0,,Hold,2015-05-25,2015-05-31
2015-06-01,8000.0,8000.0,8000.0,,8000.0,,,,,,,0.0,,Hold,2015-06-01,2015-06-07
2015-06-08,8000.0,8000.0,8000.0,,8000.0,,,,,,,0.0,,Hold,2015-06-08,2015-06-14
2015-06-15,8000.0,8000.0,8000.0,,8000.0,,,,,,,0.0,,Hold,2015-06-15,2015-06-21
2015-06-22,8000.0,8000.0,8000.0,,8000.0,,,,,,,0.0,,Hold,2015-06-22,2015-06-28
2015-06-29,8000.0,8000.0,8000.0,,8000.0,,,,,,,0.0,,Hold,2015-06-29,2015-07-05
2015-07-06,8000.0,8000.0,8000.0,,8000.0,,,,,,,0.0,,Hold,2015-07-06,2015-07-12
2015-07-13,8000.0,8000.0,8000.0,,8000.0,,,,,,,0.0,,Hold,2015-07-13,2015-07-19
2015-07-20,8000.0,8000.0,8000.0,,8000.0,,,,,,,0.0,,Hold,2015-07-20,2015-07-26
2015-07-27,8000.0,8000.0,8000.0,,8000.0,,,,,,,0.0,,Hold,2015-07-27,2015-08-02
2015-08-03,8000.0,8000.0,8000.0,,8000.0,,,,100.0,,,0.0,,Sell,2015-08-03,2015-08-09
2015-08-10,8000.0,8000.0,8000.0,,8000.0,,,,100.0,,,0.0,,Sell,2015-08-10,2015-08-16
2015-08-17,8000.0,8000.0,8000.0,,8000.0,,,,100.0,,,0.0,,Sell,2015-08-17,2015-08-23
2015-08-24,8000.0,8000.0,8000.0,,8000.0,,,,100.0,,,0.0,,Sell,2015-08-24,2015-08-30
2015-08-31,8000.0,8000.0,8000.0,,8000.0,,,,100.0,,,0.0,,Sell,2015-08-31,2015-09-06
2015-09-07,8000.0,8000.0,8000.0,,8000.0,,,,100.0,,,0.0,,Sell,2015-09-07,2015-09-13
2015-09-14,8000.0,8000.0,8000.0,8000.0,8000.0,8000.0,8000.0,,100.0,,,0.0,,Sell,2015-09-14,2015-09-20
2015-09-21,8000.0,8000.0,8000.0,8000.0,8000.0,8000.0,8000.0,,100.0,,,0.0,,Sell,2015-09-21,2015-09-27
2015-09-28,8000.0,8000.0,8000.0,8000.0,8000.0,8000.0,8000.0,,100.0,,,0.0,,Sell,2015-09-28,2015-10-04
2015-10-05,8000.0,8000.0,8000.0,8000.0,8000.0,8000.0,8000.0,,100.0,,,0.0,,Sell,2015-10-05,2015-10-11
2015-10-12,8000.0,8000.0,8000.0,8000.0,8000.0,8000.0,8000.0,,100.0,,,0.0,,Sell,2015-10-12,2015-10-18
2015-10-19,8000.0,8000.0,8000.0,8000.0,8000.0,8000.0,8000.0,,100.0,,,0.0,,Sell,2015-10-19,2015-10-25
2015-10-26,8000.0,8000.0,8000.0,8000.0,8000.0,8000.0,8000.0,,100.0,0.0,,0.0,,Sell,2015-10-26,2015-11-01
2015-11-02,8000.0,8000.0,8000.0,8000.0,8000.0,8000.0,8000.0,,100.0,0.0,,0.0,,Sell,2015-11-02,2015-11-08
2015-11-09,8000.0,8000.0,8000.0,8000.0,8000.0,8000.0,8000.0,,100.0,0.0,,0.0,,Sell,2015-11-09,2015-11-15
2015-11-16,8000.0,8000.0,8000.0,8000.0,8000.0,8000.0,8000.0,,100.0,0.0,,0.0,,Sell,2015-11-16,2015-11-22
2015-11-23,8000.0,8000.0,8000.0,8000.0,8000.0,8000.0,8000.0,,100.0,0.0,,0.0,,Sell,2015-11-23,2015-11-29
2015-11-30,8000.0,8000.0,8000.0,8000.0,8000.0,8000.0,8000.0,,100.0,0.0,,0.0,,Sell,2015-11-30,2015-12-06
2015-12-07,8000.0,8000.0,8000.0,8000.0,8000.0,8000.0,8000.0,,100.0,0.0,,0.0,,Sell,2015-12-07,2015-12-13
2015-12-14,8000.0,8000.0,8000.0,8000.0,8000.0,8000.0,8000.0,,100.0,0.0,,0.0,,Sell,2015-12-14,2015-12-20
2015-12-21,8000.0,8000.0,8000.0,8000.0,8000.0,8000.0,8000.0,,100.0,0.0,,0.0,,Sell,2015-12-21,2015-12-27
2015-12-28,8000.0,8000.0,8000.0,8000.0,8000.0,8000.0,8000.0,,100.0,0.0,,0.0,,Sell,2015-12-28,2016-01-03
2016-01-04,8000.0,8000.0,8000.0,8000.0,8000.0,8000.0,8000.0,,100.0,0.0,,0.0,,Sell,2016-01-04,2016-01-10
2016-01-11,8000.0,8000.0,8000.0,8000.0,8000.0,8000.0,8000.0,,100.0,0.0,,0.0,,Sell,2016-01-11,2016-01-17
2016-01-18,8000.0,8000.0,8000.0,8000.0,8000.0,8000.0,8000.0,,100.0,0.0,,0.0,,Sell,2016-01-18,2016-01-24
2016-01-25,8000.0,8000.0,8000.0,8000.0,8000.0,8000.0,8000.0,8000.0,100.0,0.0,,0.0,,Sell,2016-01-25,2016-01-31
2016-02-01,8000.0,8000.0,8000.0,8000.0,8000.0,8000.0,8000.0,8000.0,100.0,0.0,,0.0,,Sell,2016-02-01,2016-02-07
2016-02-08,8000.0,8000.0,8000.0,8000.0,8000.0,8000.0,8000.0,8000.0,100.0,0.0,,0.0,,Sell,2016-02-08,2016-02-14
