Date,PoslednaCena,Max,Min,SMA_20,EMA_20,WMA_20,HMA_20,TMA_20,RSI,MACD,CCI,ADX,Stoch,Signal,Start Date,End Date
2014-11-10,15.0,15.0,15.0,,15.0,,,,,,,0.0,,Hold,2014-11-10,2014-11-10
2014-11-11,15.0,15.0,15.0,,15.0,,,,,,,0.0,,Hold,2014-11-11,2014-11-11
2014-11-12,15.0,15.0,15.0,,15.0,,,,,,,0.0,,Hold,2014-11-12,2014-11-12
2014-11-13,15.0,15.0,15.0,,15.0,,,,,,,0.0,,Hold,2014-11-13,2014-11-13
2014-11-14,15.0,15.0,15.0,,15.0,,,,,,,0.0,,Hold,2014-11-14,2014-11-14
2014-11-15,,,,,15.0,,,,,,,0.0,,Hold,2014-11-15,2014-11-15
2014-11-16,,,,,15.0,,,,,,,0.0,,Hold,2014-11-16,2014-11-16
2014-11-17,15.0,15.0,15.0,,15.0,,,,,,,0.0,,Hold,2014-11-17,2014-11-17
2014-11-18,15.0,15.0,15.0,,15.0,,,,,,,0.0,,Hold,2014-11-18,2014-11-18
2014-11-19,15.0,15.0,15.0,,15.0,,,,,,,0.0,,Hold,2014-11-19,2014-11-19
2014-11-20,16.0,16.0,16.0,,15.095238095238095,,,,,,,0.0,,Hold,2014-11-20,2014-11-20
2014-11-21,16.0,16.0,16.0,,15.18140589569161,,,,,,,0.0,,Hold,2014-11-21,2014-11-21
2014-11-22,,,,,15.18140589569161,,,,,,,0.0,,Hold,2014-11-22,2014-11-22
2014-11-23,,,,,15.18140589569161,,,,100.0,,,0.0,,Sell,2014-11-23,2014-11-23
2014-11-24,16.0,16.0,16.0,,15.27467549910202,,,,100.0,,,0.0,,Sell,2014-11-24,2014-11-24
2014-11-25,16.0,16.0,16.0,,15.343754022997066,,,,100.0,,,0.0,,Sell,2014-11-25,2014-11-25
2014-11-26,16.0,16.0,16.0,,15.406253639854489,,,,100.0,,,0.0,,Sell,2014-11-26,2014-11-26
2014-11-27,16.0,16.0,16.0,,15.4628009122493,,,,100.0,,,0.0,,Sell,2014-11-27,2014-11-27
2014-11-28,16.0,16.0,16.0,,15.513962730130318,,,,100.0,,,0.0,,Sell,2014-11-28,2014-11-28
2014-11-29,,,,,15.513962730130318,,,,100.0,,,0.0,,Sell,2014-11-29,2014-11-29
2014-11-30,,,,,15.513962730130318,,,,100.0,,,0.0,,Sell,2014-11-30,2014-11-30
2014-12-01,16.0,16.0,16.0,,15.569341217667464,,,,100.0,,,0.0,,Sell,2014-12-01,2014-12-01
2014-12-02,16.0,16.0,16.0,,15.610356339794372,,,,100.0,,,0.0,,Sell,2014-12-02,2014-12-02
2014-12-03,,,,,15.610356339794372,,,,100.0,,,0.0,,Sell,2014-12-03,2014-12-03
2014-12-04,16.0,16.0,16.0,,15.650964363934909,,,,100.0,,,0.0,,Sell,2014-12-04,2014-12-04
2014-12-05,16.0,16.0,16.0,,15.684205853083965,,,,100.0,,,0.0,,Sell,2014-12-05,2014-12-05
2014-12-06,,,,,15.684205853083965,,,,100.0,,,0.0,,Sell,2014-12-06,2014-12-06
2014-12-07,,,,,15.684205853083965,,,,100.0,,,,,Sell,2014-12-07,2014-12-07
2014-12-08,,,,,15.684205853083965,,,,100.0,,,,,Sell,2014-12-08,2014-12-08
2014-12-09,16.0,16.0,16.0,,15.723503228097764,,,,100.0,,,,,Sell,2014-12-09,2014-12-09
2014-12-10,16.0,16.0,16.0,,15.749836253993214,,,,100.0,,,,,Sell,2014-12-10,2014-12-10
2014-12-11,16.0,16.0,16.0,,15.773661372660527,,,,100.0,,,,,Sell,2014-12-11,2014-12-11
2014-12-12,16.0,16.0,16.0,,15.795217432407144,,,,100.0,,,,,Sell,2014-12-12,2014-12-12
2014-12-13,,,,,15.795217432407144,,,,100.0,,,,,Sell,2014-12-13,2014-12-13
2014-12-14,,,,,15.795217432407144,,,,100.0,,,,,Sell,2014-12-14,2014-12-14
2014-12-15,16.0,16.0,16.0,,15.818550105784858,,,,100.0,,,,,Sell,2014-12-15,2014-12-15
2014-12-16,16.0,16.0,16.0,,15.835831048091062,,,,100.0,,,,,Sell,2014-12-16,2014-12-16
2014-12-17,16.0,16.0,16.0,,15.851466186368103,,,,100.0,0.19867077840587832,,,,Buy,2014-12-17,2014-12-17
2014-12-18,16.0,16.0,16.0,,15.865612263856855,,,,100.0,0.18687415849141864,,,,Buy,2014-12-18,2014-12-18
2014-12-19,16.0,16.0,16.0,,15.878411095870488,,,,100.0,0.17550217242178334,,,,Buy,2014-12-19,2014-12-19
2014-12-20,,,,,15.878411095870488,,,,100.0,0.17550217242178334,,,,Buy,2014-12-20,2014-12-20
2014-12-21,,,,,15.878411095870488,,,,100.0,0.17550217242178334,,,,Buy,2014-12-21,2014-12-21
2014-12-22,16.0,16.0,16.0,,15.89226478576097,,,,100.0,0.16359386022046962,,,,Buy,2014-12-22,2014-12-22
2014-12-23,16.0,16.0,16.0,,15.902525282355164,,,,100.0,0.15314290427897426,,,,Buy,2014-12-23,2014-12-23
2014-12-24,16.0,16.0,16.0,,15.911808588797529,,,,100.0,0.1432096151022595,,,,Buy,2014-12-24,2014-12-24
2014-12-25,16.0,16.0,16.0,,15.92020777081681,,,,100.0,0.13379510517631843,,,,Buy,2014-12-25,2014-12-25
2014-12-26,16.0,16.0,16.0,,15.92780703073902,,,,100.0,0.12489433409273154,,,,Buy,2014-12-26,2014-12-26
2014-12-27,,,,,15.92780703073902,,,,100.0,0.12489433409273154,,,,Buy,2014-12-27,2014-12-27
2014-12-28,,,,,15.92780703073902,,,,100.0,0.12489433409273154,,,,Buy,2014-12-28,2014-12-28
2014-12-29,16.0,16.0,16.0,,15.936032608686078,,,,100.0,0.11549007451851878,,,,Buy,2014-12-29,2014-12-29
2014-12-30,16.0,16.0,16.0,,15.942124741192167,,,,100.0,0.10761678065365032,,,,Buy,2014-12-30,2014-12-30
2014-12-31,,,,,15.942124741192167,,,,100.0,0.10761678065365032,,,,Buy,2014-12-31,2014-12-31
2015-01-01,,,,,15.942124741192167,,,,100.0,0.10761678065365032,,,,Buy,2015-01-01,2015-01-01
2015-01-02,16.0,16.0,16.0,,15.948718976855325,,,,100.0,0.09927891949581102,,,,Buy,2015-01-02,2015-01-02
2015-01-03,,,,,15.948718976855325,,,,100.0,0.09927891949581102,,,,Buy,2015-01-03,2015-01-03
2015-01-04,,,,,15.948718976855325,,,,100.0,0.09927891949581102,,,,Buy,2015-01-04,2015-01-04
2015-01-05,16.0,16.0,16.0,,15.954561873433752,,,,100.0,0.09148114335740232,,,,Buy,2015-01-05,2015-01-05
2015-01-06,,,,,15.954561873433752,,,,100.0,0.09148114335740232,,,,Buy,2015-01-06,2015-01-06
2015-01-07,,,,,15.954561873433752,,,,100.0,0.09148114335740232,,,,Buy,2015-01-07,2015-01-07
2015-01-08,16.0,16.0,16.0,,15.959739037576812,,,,100.0,0.08421209568417432,,,,Buy,2015-01-08,2015-01-08
2015-01-09,16.0,16.0,16.0,,15.96357341495045,,,,100.0,0.07826664337313005,,,,Buy,2015-01-09,2015-01-09
2015-01-10,,,,,15.96357341495045,,,,100.0,0.07826664337313005,,,,Buy,2015-01-10,2015-01-10
2015-01-11,,,,,15.96357341495045,,,,100.0,0.07826664337313005,,,,Buy,2015-01-11,2015-01-11
2015-01-12,16.0,16.0,16.0,,15.96772381515891,,,,100.0,0.07195024301989505,,,,Buy,2015-01-12,2015-01-12
2015-01-13,16.0,16.0,16.0,,15.970797737524729,,,,100.0,0.06681795953898373,,,,Buy,2015-01-13,2015-01-13
2015-01-14,16.0,16.0,16.0,,15.973578905379517,,,,100.0,0.0620354814893922,,,,Buy,2015-01-14,2015-01-14
2015-01-15,16.0,16.0,16.0,,15.976095200105277,,,,100.0,0.05758156869852371,,,,Buy,2015-01-15,2015-01-15
2015-01-16,16.0,16.0,16.0,,15.978371847714298,,,,100.0,0.05343583567207766,,,,Buy,2015-01-16,2015-01-16
2015-01-17,,,,,15.978371847714298,,,,100.0,0.05343583567207766,,,,Buy,2015-01-17,2015-01-17
2015-01-18,,,,,15.978371847714298,,,,100.0,0.05343583567207766,,,,Buy,2015-01-18,2015-01-18
2015-01-19,,,,,15.978371847714298,,,,100.0,0.05343583567207766,,,,Buy,2015-01-19,2015-01-19
2015-01-20,16.0,16.0,16.0,,15.98106325165426,,,,100.0,0.04872039961242436,,,,Buy,2015-01-20,2015-01-20
2015-01-21,16.0,16.0,16.0,,15.982866751496712,,,,100.0,0.04518929973094998,,,,Buy,2015-01-21,2015-01-21
2015-01-22,16.0,16.0,16.0,,15.984498489449406,,,,100.0,0.04190779071006823,,,,Buy,2015-01-22,2015-01-22
2015-01-23,16.0,16.0,16.0,,15.985974823787558,,,,100.0,0.0388592261984364,,,,Buy,2015-01-23,2015-01-23
2015-01-24,,,,,15.985974823787558,,,,100.0,0.0388592261984364,,,,Buy,2015-01-24,2015-01-24
2015-01-25,,,,,15.985974823787558,,,,100.0,0.0388592261984364,,,,Buy,2015-01-25,2015-01-25
2015-01-26,16.0,16.0,16.0,,15.987572835080591,,,,100.0,0.03561191415671239,,,,Buy,2015-01-26,2015-01-26
2015-01-27,16.0,16.0,16.0,,15.988756374596726,,,,100.0,0.03301159158823275,,,,Buy,2015-01-27,2015-01-27
