Date,PoslednaCena,Max,Min,SMA_20,EMA_20,WMA_20,HMA_20,TMA_20,RSI,MACD,CCI,ADX,Stoch,Signal,Start Date,End Date
2014-11-10,1350.0,1350.0,1350.0,,1350.0,,,,,,,0.0,,Hold,2014-11-10,2014-11-16
2014-11-17,1350.0,1350.0,1350.0,,1350.0,,,,,,,0.0,,Hold,2014-11-17,2014-11-23
2014-11-24,1350.0,1350.0,1350.0,,1350.0,,,,,,,0.0,,Hold,2014-11-24,2014-11-30
2014-12-01,1350.0,1350.0,1350.0,,1350.0,,,,,,,0.0,,Hold,2014-12-01,2014-12-07
2014-12-08,1350.0,1350.0,1350.0,,1350.0,,,,,,,0.0,,Hold,2014-12-08,2014-12-14
2014-12-15,1350.0,1350.0,1350.0,,1350.0,,,,,,,0.0,,Hold,2014-12-15,2014-12-21
2014-12-22,1350.0,1350.0,1350.0,,1350.0,,,,,,,0.0,,Hold,2014-12-22,2014-12-28
2014-12-29,1350.0,1350.0,1350.0,,1350.0,,,,,,,0.0,,Hold,2014-12-29,2015-01-04
2015-01-05,1350.0,1350.0,1350.0,,1350.0,,,,,,,0.0,,Hold,2015-01-05,2015-01-11
2015-01-12,1350.0,1350.0,1350.0,,1350.0,,,,,,,0.0,,Hold,2015-01-12,2015-01-18
2015-01-19,1350.0,1350.0,1350.0,,1350.0,,,,,,,0.0,,Hold,2015-01-19,2015-01-25
2015-01-26,1350.0,1350.0,1350.0,,1350.0,,,,,,,0.0,,Hold,2015-01-26,2015-02-01
2015-02-02,1350.0,1350.0,1350.0,,1350.0,,,,,,,0.0,,Hold,2015-02-02,2015-02-08
2015-02-09,1350.0,1350.0,1350.0,,1350.0,,,,100.0,,,0.0,,Sell,2015-02-09,2015-02-15
2015-02-16,1350.0,1350.0,1350.0,,1350.0,,,,100.0,,,0.0,,Sell,2015-02-16,2015-02-22
2015-02-23,1350.0,1350.0,1350.0,,1350.0,,,,100.0,,,0.0,,Sell,2015-02-23,2015-03-01
2015-03-02,1300.0,1300.0,1300.0,,1345.2380952380952,,,,0.0,,,0.0,0.0,Buy,2015-03-02,2015-03-08
2015-03-09,1300.0,1300.0,1300.0,,1340.9297052154195,,,,0.0,,,0.0,0.0,Buy,2015-03-09,2015-03-15
2015-03-16,1300.0,1300.0,1300.0,,1337.0316380520462,,,,0.0,,,0.0,0.0,Buy,2015-03-16,2015-03-22
2015-03-23,1300.0,1300.0,1300.0,1340.0,1333.5048153804228,1332.3809523809523,1320.0,,0.0,,-166.66666666666669,0.0,0.0,Buy,2015-03-23,2015-03-29
2015-03-30,1300.0,1300.0,1300.0,1337.5,1330.3138805822873,1328.5714285714287,1312.5,,0.0,,-133.33333333333334,0.0,0.0,Buy,2015-03-30,2015-04-05
2015-04-06,1350.0,1350.0,1350.0,1337.5,1332.18874909826,1329.7619047619048,1312.5,,59.15894213836063,,44.44444444444444,0.0,100.0,Buy,2015-04-06,2015-04-12
2015-04-13,1350.0,1350.0,1350.0,1337.5,1333.8850587079496,1330.952380952381,1312.5,,59.15894213836063,,44.44444444444444,0.0,100.0,Buy,2015-04-13,2015-04-19
2015-04-20,1350.0,1350.0,1350.0,1337.5,1335.4198150214784,1332.142857142857,1312.5,,59.15894213836063,,44.44444444444444,0.0,100.0,Buy,2015-04-20,2015-04-26
2015-04-27,1350.0,1350.0,1350.0,1337.5,1336.808404067052,1333.3333333333333,1312.5,,59.15894213836062,,44.44444444444444,0.0,100.0,Buy,2015-04-27,2015-05-03
2015-05-04,1350.0,1350.0,1350.0,1337.5,1338.0647465368565,1334.5238095238096,1312.5,,59.15894213836062,-1.4111089097982585,44.44444444444444,0.0,100.0,Sell,2015-05-04,2015-05-10
2015-05-11,1350.0,1350.0,1350.0,1337.5,1339.2014373428701,1335.7142857142858,1322.5,,59.15894213836062,-0.32693377117197997,44.44444444444444,0.0,100.0,Sell,2015-05-11,2015-05-17
2015-05-18,1310.0,1310.0,1310.0,1335.5,1336.4203480721208,1333.095238095238,1326.5,,34.03312097876696,-2.664666254912845,-83.74384236453203,45.84579026448528,20.0,Sell,2015-05-18,2015-05-24
