Date,PoslednaCena,Max,Min,SMA_20,EMA_20,WMA_20,HMA_20,TMA_20,RSI,MACD,CCI,ADX,Stoch,Signal,Start Date,End Date
2014-11-10,1400.0,1400.0,1400.0,,1400.0,,,,,,,0.0,,Hold,2014-11-10,2014-11-10
2014-11-11,1400.0,1400.0,1400.0,,1400.0,,,,,,,0.0,,Hold,2014-11-11,2014-11-11
2014-11-12,1440.0,1440.0,1439.0,,1403.8095238095239,,,,,,,0.0,,Hold,2014-11-12,2014-11-12
2014-11-13,1440.0,1440.0,1440.0,,1407.2562358276643,,,,,,,0.0,,Hold,2014-11-13,2014-11-13
2014-11-14,1540.0,1540.0,1501.0,,1419.8984990821725,,,,,,,0.0,,Hold,2014-11-14,2014-11-14
2014-11-15,,,,,1419.8984990821725,,,,,,,0.0,,Hold,2014-11-15,2014-11-15
2014-11-16,,,,,1419.8984990821725,,,,,,,0.0,,Hold,2014-11-16,2014-11-16
2014-11-17,1669.0,1669.0,1563.0,,1448.2808171043305,,,,,,,0.0,,Hold,2014-11-17,2014-11-17
2014-11-18,1599.0,1697.0,1599.0,,1462.635024999156,,,,,,,0.0,,Hold,2014-11-18,2014-11-18
2014-11-19,1610.0,1610.0,1610.0,,1476.6697845230458,,,,,,,0.0,,Hold,2014-11-19,2014-11-19
2014-11-20,1600.0,1600.0,1600.0,,1488.4155193303748,,,,,,,0.0,,Hold,2014-11-20,2014-11-20
2014-11-21,1600.0,1600.0,1600.0,,1499.0426127274818,,,,,,,0.0,,Hold,2014-11-21,2014-11-21
2014-11-22,,,,,1499.0426127274818,,,,,,,0.0,,Hold,2014-11-22,2014-11-22
2014-11-23,,,,,1499.0426127274818,,,,57.8159462391747,,,0.0,,Hold,2014-11-23,2014-11-23
2014-11-24,1600.0,1600.0,1600.0,,1510.545573013538,,,,57.8159462391747,,,0.0,,Hold,2014-11-24,2014-11-24
2014-11-25,1645.0,1645.0,1645.0,,1523.3507565360583,,,,69.66963822674353,,,0.0,,Hold,2014-11-25,2014-11-25
2014-11-26,1600.0,1600.0,1600.0,,1530.650684485005,,,,53.48445602479008,,,0.0,,Hold,2014-11-26,2014-11-26
2014-11-27,1575.0,1575.0,1575.0,,1534.8744288197665,,,,46.957757345337,,,0.0,,Hold,2014-11-27,2014-11-27
2014-11-28,1622.0,1622.0,1622.0,,1543.1721022655029,,,,57.466284179861596,,,0.0,,Hold,2014-11-28,2014-11-28
2014-11-29,,,,,1543.1721022655029,,,,57.466284179861596,,,0.0,,Hold,2014-11-29,2014-11-29
2014-11-30,,,,,1543.1721022655029,,,,57.466284179861596,,,0.0,,Hold,2014-11-30,2014-11-30
2014-12-01,1622.0,1622.0,1622.0,,1552.1536557859558,,,,57.466284179861596,,,0.0,,Hold,2014-12-01,2014-12-01
2014-12-02,1575.0,1575.0,1575.0,,1554.3294980920552,,,,45.37493618988154,,,0.0,,Hold,2014-12-02,2014-12-02
2014-12-03,,,,,1554.3294980920552,,,,45.374936189881545,,,0.0,,Hold,2014-12-03,2014-12-03
2014-12-04,1575.0,1575.0,1575.0,,1556.4837439484663,,,,45.374936189881545,,,0.0,,Hold,2014-12-04,2014-12-04
2014-12-05,1575.0,1575.0,1575.0,,1558.2471969057553,,,,45.374936189881545,,,0.0,,Hold,2014-12-05,2014-12-05
2014-12-06,,,,,1558.2471969057553,,,,45.374936189881545,,,0.0,,Hold,2014-12-06,2014-12-06
2014-12-07,,,,,1558.2471969057553,,,,45.374936189881545,,,,,Hold,2014-12-07,2014-12-07
