Date,PoslednaCena,Max,Min,SMA_20,EMA_20,WMA_20,HMA_20,TMA_20,RSI,MACD,CCI,ADX,Stoch,Signal,Start Date,End Date
2014-11-10,1550.0,1550.0,1550.0,,1550.0,,,,,,,0.0,,Hold,2014-11-10,2014-11-16
2014-11-17,1550.0,1550.0,1550.0,,1550.0,,,,,,,0.0,,Hold,2014-11-17,2014-11-23
2014-11-24,1550.0,1550.0,1550.0,,1550.0,,,,,,,0.0,,Hold,2014-11-24,2014-11-30
2014-12-01,1550.0,1550.0,1550.0,,1550.0,,,,,,,0.0,,Hold,2014-12-01,2014-12-07
2014-12-08,1550.0,1550.0,1550.0,,1550.0,,,,,,,0.0,,Hold,2014-12-08,2014-12-14
2014-12-15,1550.0,1550.0,1550.0,,1550.0,,,,,,,0.0,,Hold,2014-12-15,2014-12-21
2014-12-22,1550.0,1550.0,1550.0,,1550.0,,,,,,,0.0,,Hold,2014-12-22,2014-12-28
2014-12-29,1550.0,1550.0,1550.0,,1550.0,,,,,,,0.0,,Hold,2014-12-29,2015-01-04
2015-01-05,1550.0,1550.0,1550.0,,1550.0,,,,,,,0.0,,Hold,2015-01-05,2015-01-11
2015-01-12,1550.0,1550.0,1550.0,,1550.0,,,,,,,0.0,,Hold,2015-01-12,2015-01-18
2015-01-19,1550.0,1550.0,1550.0,,1550.0,,,,,,,0.0,,Hold,2015-01-19,2015-01-25
2015-01-26,1550.0,1550.0,1550.0,,1550.0,,,,,,,0.0,,Hold,2015-01-26,2015-02-01
2015-02-02,1550.0,1550.0,1550.0,,1550.0,,,,,,,0.0,,Hold,2015-02-02,2015-02-08
2015-02-09,1550.0,1550.0,1550.0,,1550.0,,,,100.0,,,0.0,,Sell,2015-02-09,2015-02-15
2015-02-16,2001.0,2001.0,2001.0,,1592.9523809523807,,,,100.0,,,0.0,100.0,Sell,2015-02-16,2015-02-22
2015-02-23,2001.0,2001.0,2001.0,,1631.8140589569157,,,,100.0,,,0.0,100.0,Sell,2015-02-23,2015-03-01
2015-03-02,2001.0,2001.0,2001.0,,1666.974624770543,,,,100.0,,,0.0,100.0,Sell,2015-03-02,2015-03-08
2015-03-09,2001.0,2001.0,2001.0,,1698.7865652685864,,,,100.0,,,0.0,100.0,Sell,2015-03-09,2015-03-15
2015-03-16,2001.0,2001.0,2001.0,,1727.5687971477687,,,,100.0,,,0.0,100.0,Sell,2015-03-16,2015-03-22
2015-03-23,2001.0,2001.0,2001.0,1685.3,1753.6098640860764,1775.5,1955.8999999999999,,100.0,,111.11111111111117,0.0,100.0,Sell,2015-03-23,2015-03-29
2015-03-30,2001.0,2001.0,2001.0,1707.85,1777.1708294112118,1805.5666666666666,2023.5500000000002,,100.0,,95.23809523809528,0.0,100.0,Sell,2015-03-30,2015-04-05
2015-04-06,2001.0,2001.0,2001.0,1730.4,1798.4878932768106,1833.4857142857143,2091.2,,100.0,,83.3333333333333,0.0,100.0,Sell,2015-04-06,2015-04-12
2015-04-13,2001.0,2001.0,2001.0,1752.95,1817.7747605837812,1859.2571428571428,2158.8500000000004,,100.0,,74.07407407407405,0.0,100.0,Sell,2015-04-13,2015-04-19
2015-04-20,2001.0,2001.0,2001.0,1775.5,1835.2247833853257,1882.8809523809523,2226.5,,100.0,,66.66666666666667,0.0,100.0,Sell,2015-04-20,2015-04-26
2015-04-27,2001.0,2001.0,2001.0,1798.05,1851.01289925339,1904.357142857143,2203.95,,100.0,,60.60606060606062,0.0,100.0,Sell,2015-04-27,2015-05-03
2015-05-04,2001.0,2001.0,2001.0,1820.6,1865.2973850387816,1923.6857142857143,2181.4,,100.0,118.34519215915157,55.55555555555558,0.0,100.0,Sell,2015-05-04,2015-05-10
2015-05-11,2001.0,2001.0,2001.0,1843.15,1878.221443606517,1940.8666666666666,2158.85,,100.0,114.4252838046998,51.282051282051256,0.0,100.0,Sell,2015-05-11,2015-05-17
2015-05-18,2001.0,2001.0,2001.0,1865.7,1889.9146394535155,1955.9,2136.3,,100.0,110.05013869731215,47.619047619047606,100.0,,Sell,2015-05-18,2015-05-24
2015-05-25,2001.0,2001.0,2001.0,1888.25,1900.4941976008,1968.7857142857142,2113.75,,100.0,105.3681858217542,44.44444444444445,100.0,,Sell,2015-05-25,2015-05-31
2015-06-01,2001.0,2001.0,2001.0,1910.8,1910.0661787816762,1979.5238095238096,2091.2,,100.0,100.49921207797797,41.66666666666669,100.0,,Buy,2015-06-01,2015-06-07
2015-06-08,2001.0,2001.0,2001.0,1933.35,1918.7265427072307,1988.1142857142856,2068.65,,100.0,95.53919889321901,39.215686274509835,100.0,,Buy,2015-06-08,2015-06-14
2015-06-15,2001.0,2001.0,2001.0,1955.9,1926.5621100684466,1994.557142857143,2046.1,,100.0,90.56438287788683,37.037037037037,100.0,,Buy,2015-06-15,2015-06-21
2015-06-22,2001.0,2001.0,2001.0,1978.45,1933.6514329190709,1998.852380952381,2023.55,,100.0,85.6346622632775,35.08771929824558,100.0,,Buy,2015-06-22,2015-06-28
2015-06-29,2001.0,2001.0,2001.0,2001.0,1940.0655821648738,2001.0,2001.0,,100.0,80.79645195538387,,100.0,,Buy,2015-06-29,2015-07-05
2015-07-06,2001.0,2001.0,2001.0,2001.0,1945.8688600539335,2001.0,2001.0,,100.0,76.08507405654541,,100.0,,Buy,2015-07-06,2015-07-12
2015-07-13,2001.0,2001.0,2001.0,2001.0,1951.1194448107017,2001.0,2001.0,,100.0,71.5267571949878,,100.0,,Buy,2015-07-13,2015-07-19
2015-07-20,2001.0,2001.0,2001.0,2001.0,1955.869973876349,2001.0,2001.0,,100.0,67.1403065804343,,100.0,,Buy,2015-07-20,2015-07-26
2015-07-27,2001.0,2001.0,2001.0,2001.0,1960.1680716024111,2001.0,2001.0,,100.0,62.93849704959689,,100.0,,Buy,2015-07-27,2015-08-02
