Date,PoslednaCena,Max,Min,SMA_20,EMA_20,WMA_20,HMA_20,TMA_20,RSI,MACD,CCI,ADX,Stoch,Signal,Start Date,End Date
2014-11-10,450.0,450.0,450.0,,450.0,,,,,,,0.0,,Hold,2014-11-10,2014-11-10
2014-11-11,450.0,450.0,450.0,,450.0,,,,,,,0.0,,Hold,2014-11-11,2014-11-11
2014-11-12,441.0,441.0,441.0,,449.14285714285717,,,,,,,0.0,,Hold,2014-11-12,2014-11-12
2014-11-13,440.0,440.0,440.0,,448.27210884353747,,,,,,,0.0,,Hold,2014-11-13,2014-11-13
2014-11-14,440.0,440.0,440.0,,447.48428895367675,,,,,,,0.0,,Hold,2014-11-14,2014-11-14
2014-11-15,,,,,447.48428895367675,,,,,,,0.0,,Hold,2014-11-15,2014-11-15
2014-11-16,,,,,447.48428895367675,,,,,,,0.0,,Hold,2014-11-16,2014-11-16
2014-11-17,440.0,440.0,440.0,,446.63153829392445,,,,,,,0.0,,Hold,2014-11-17,2014-11-17
2014-11-18,440.0,440.0,440.0,,445.99996321831264,,,,,,,0.0,,Hold,2014-11-18,2014-11-18
2014-11-19,390.0,390.0,390.0,,440.6666333879972,,,,,,,0.0,,Hold,2014-11-19,2014-11-19
2014-11-20,390.0,390.0,390.0,,435.84123973199746,,,,,,,0.0,,Hold,2014-11-20,2014-11-20
2014-11-21,390.0,390.0,390.0,,431.47540737656914,,,,,,,0.0,,Hold,2014-11-21,2014-11-21
2014-11-22,,,,,431.47540737656914,,,,,,,0.0,,Hold,2014-11-22,2014-11-22
2014-11-23,,,,,431.47540737656914,,,,0.0,,,0.0,,Buy,2014-11-23,2014-11-23
2014-11-24,390.0,390.0,390.0,,426.7497505743299,,,,0.0,,,0.0,,Buy,2014-11-24,2014-11-24
2014-11-25,379.0,379.0,379.0,,422.20215528153653,,,,0.0,,,0.0,,Buy,2014-11-25,2014-11-25
2014-11-26,379.0,379.0,379.0,,418.08766430234255,,,,0.0,,,0.0,,Buy,2014-11-26,2014-11-26
2014-11-27,379.0,379.0,379.0,,414.3650296068813,,,,0.0,,,0.0,,Buy,2014-11-27,2014-11-27
2014-11-28,379.0,379.0,379.0,,410.99693154908306,,,,0.0,,,0.0,,Buy,2014-11-28,2014-11-28
2014-11-29,,,,,410.99693154908306,,,,0.0,,,0.0,,Buy,2014-11-29,2014-11-29
2014-11-30,,,,,410.99693154908306,,,,0.0,,,0.0,,Buy,2014-11-30,2014-11-30
2014-12-01,390.0,390.0,390.0,,408.60456704497625,,,,0.0,,,0.0,,Buy,2014-12-01,2014-12-01
2014-12-02,390.0,390.0,390.0,,406.83270351688327,,,,0.0,,,0.0,,Buy,2014-12-02,2014-12-02
2014-12-03,,,,,406.83270351688327,,,,0.0,,,0.0,,Buy,2014-12-03,2014-12-03
2014-12-04,390.0,390.0,390.0,,405.0784267235605,,,,0.0,,,0.0,,Buy,2014-12-04,2014-12-04
2014-12-05,390.0,390.0,390.0,,403.64238608322137,,,,0.0,,,0.0,,Buy,2014-12-05,2014-12-05
2014-12-06,,,,,403.64238608322137,,,,0.0,,,0.0,,Buy,2014-12-06,2014-12-06
2014-12-07,,,,,403.64238608322137,,,,0.0,,,,,Buy,2014-12-07,2014-12-07
2014-12-08,,,,,403.64238608322137,,,,0.0,,,,,Buy,2014-12-08,2014-12-08
2014-12-09,390.0,390.0,390.0,,401.94472965978576,,,,0.0,,,,,Buy,2014-12-09,2014-12-09
2014-12-10,390.0,390.0,390.0,,400.80713635885377,,,,0.0,,,,,Buy,2014-12-10,2014-12-10
2014-12-11,379.0,379.0,379.0,,398.7302662294391,,,,0.0,,,,,Buy,2014-12-11,2014-12-11
2014-12-12,379.0,379.0,379.0,,396.8511932552068,,,,0.0,,,,,Buy,2014-12-12,2014-12-12
2014-12-13,,,,,396.8511932552068,,,,0.0,,,,,Buy,2014-12-13,2014-12-13
2014-12-14,,,,,396.8511932552068,,,,0.0,,,,,Buy,2014-12-14,2014-12-14
2014-12-15,379.0,379.0,379.0,,394.8172502954997,,,,0.0,,,,,Buy,2014-12-15,2014-12-15
2014-12-16,379.0,379.0,379.0,,393.3108455054521,,,,0.0,,,,,Buy,2014-12-16,2014-12-16
2014-12-17,379.0,379.0,379.0,,391.9479078382662,,,,0.0,-13.070125936083002,,,,Sell,2014-12-17,2014-12-17
2014-12-18,380.0,380.0,380.0,,390.81001185366944,,,,6.220068645624494,-12.461253726836105,,,,Sell,2014-12-18,2014-12-18
2014-12-19,380.0,380.0,380.0,,389.78048691522474,,,,6.220068645624494,-11.8422085061801,,,,Sell,2014-12-19,2014-12-19
2014-12-20,,,,,389.78048691522474,,,,6.220068645624494,-11.8422085061801,,,,Sell,2014-12-20,2014-12-20
