Date,PoslednaCena,Max,Min,SMA_20,EMA_20,WMA_20,HMA_20,TMA_20,RSI,MACD,CCI,ADX,Stoch,Signal,Start Date,End Date
2014-11-10,450.0,450.0,450.0,,450.0,,,,,,,0.0,,Hold,2014-11-10,2014-11-16
2014-11-17,440.0,440.0,440.0,,449.0476190476191,,,,,,,0.0,,Hold,2014-11-17,2014-11-23
2014-11-24,390.0,390.0,390.0,,443.42403628117916,,,,,,,0.0,,Hold,2014-11-24,2014-11-30
2014-12-01,390.0,390.0,390.0,,438.33603282582874,,,,,,,0.0,,Hold,2014-12-01,2014-12-07
2014-12-08,390.0,390.0,390.0,,433.7326011281308,,,,,,,0.0,,Hold,2014-12-08,2014-12-14
2014-12-15,379.0,379.0,379.0,,428.51997244926116,,,,,,,0.0,,Hold,2014-12-15,2014-12-21
2014-12-22,380.0,380.0,380.0,,423.8990226921887,,,,,,,0.0,,Hold,2014-12-22,2014-12-28
2014-12-29,380.0,380.0,380.0,,419.71816338817075,,,,,,,0.0,,Hold,2014-12-29,2015-01-04
2015-01-05,380.0,380.0,380.0,,415.93548116072594,,,,,,,0.0,,Hold,2015-01-05,2015-01-11
2015-01-12,380.0,380.0,380.0,,412.513054383514,,,,,,,0.0,,Hold,2015-01-12,2015-01-18
2015-01-19,380.0,380.0,380.0,,409.4165730136555,,,,,,,0.0,,Hold,2015-01-19,2015-01-25
2015-01-26,385.0,385.0,385.0,,407.0911851075931,,,,,,,0.0,,Hold,2015-01-26,2015-02-01
2015-02-02,390.0,390.0,390.0,,405.4634531925842,,,,,,,0.0,,Hold,2015-02-02,2015-02-08
2015-02-09,381.0,381.0,381.0,,403.1336005075762,,,,18.773243392839845,,,0.0,2.816901408450704,Buy,2015-02-09,2015-02-15
2015-02-16,380.0,380.0,380.0,,400.9304004592356,,,,18.38402694997957,,,0.0,1.639344262295082,Buy,2015-02-16,2015-02-22
2015-02-23,380.0,380.0,380.0,,398.9370289869275,,,,18.38402694997957,,,0.0,9.090909090909092,Buy,2015-02-23,2015-03-01
2015-03-02,380.0,380.0,380.0,,397.1335024167439,,,,18.38402694997957,,,0.0,9.090909090909092,Buy,2015-03-02,2015-03-08
2015-03-09,390.0,390.0,390.0,,396.4541212341969,,,,35.17108744054494,,,0.0,100.0,Hold,2015-03-09,2015-03-15
2015-03-16,380.0,380.0,380.0,,394.8870620690353,,,,28.793232947929226,,,0.0,9.090909090909092,Buy,2015-03-16,2015-03-22
2015-03-23,380.0,380.0,380.0,389.25,393.4692466338891,383.2761904761905,375.95000000000005,,28.793232947929226,,-53.50686912509038,0.0,0.0,Sell,2015-03-23,2015-03-29
2015-03-30,380.0,380.0,380.0,385.75,392.1864612401854,382.3952380952381,379.45000000000005,,28.793232947929226,,-50.77262693156733,0.0,0.0,Sell,2015-03-30,2015-04-05
2015-04-06,380.0,380.0,380.0,382.75,391.0258458839773,381.84761904761905,381.45000000000005,,28.793232947929226,,-47.61904761904762,0.0,0.0,Sell,2015-04-06,2015-04-12
2015-04-13,380.0,380.0,380.0,382.25,389.9757653235985,381.5857142857143,379.95000000000005,,28.793232947929226,,-44.44444444444445,0.0,0.0,Sell,2015-04-13,2015-04-19
2015-04-20,380.0,380.0,380.0,381.75,389.02569243563676,381.37142857142857,380.25,,28.793232947929226,,-41.66666666666667,0.0,0.0,Sell,2015-04-20,2015-04-26
2015-04-27,380.0,380.0,380.0,381.25,388.16610267986186,381.2047619047619,380.75,,28.793232947929226,,-39.21568627450981,0.0,0.0,Sell,2015-04-27,2015-05-03
2015-05-04,369.0,369.0,369.0,380.75,386.34075956749405,380.03809523809525,379.04999999999995,,21.566351149704886,-10.991900011753955,-340.57971014492756,0.0,0.0,Sell,2015-05-04,2015-05-10
2015-05-11,350.0,350.0,350.0,379.25,382.8797348467803,377.1095238095238,374.54999999999995,,14.702182674300929,-12.597744869998792,-493.6708860759494,0.0,0.0,Sell,2015-05-11,2015-05-17
