Date,PoslednaCena,Max,Min,SMA_20,EMA_20,WMA_20,HMA_20,TMA_20,RSI,MACD,CCI,ADX,Stoch,Signal,Start Date,End Date
2014-11-10,379.0,409.0,379.0,,379.0,,,,,,,0.0,,Hold,2014-11-10,2014-11-10
2014-11-11,409.0,409.0,381.0,,381.8571428571429,,,,,,,0.0,,Hold,2014-11-11,2014-11-11
2014-11-12,415.0,416.0,415.0,,385.0136054421769,,,,,,,0.0,,Hold,2014-11-12,2014-11-12
2014-11-13,415.0,415.0,410.0,,387.869452542922,,,,,,,0.0,,Hold,2014-11-13,2014-11-13
2014-11-14,415.0,415.0,415.0,,390.4533142055008,,,,,,,0.0,,Hold,2014-11-14,2014-11-14
2014-11-15,,,,,390.4533142055008,,,,,,,0.0,,Hold,2014-11-15,2014-11-15
2014-11-16,,,,,390.4533142055008,,,,,,,0.0,,Hold,2014-11-16,2014-11-16
2014-11-17,375.0,400.0,375.0,,388.69258262957374,,,,,,,0.0,,Hold,2014-11-17,2014-11-17
2014-11-18,399.0,399.0,388.0,,389.6742414267572,,,,,,,0.0,,Hold,2014-11-18,2014-11-18
2014-11-19,378.0,378.0,378.0,,388.5624089099232,,,,,,,0.0,,Hold,2014-11-19,2014-11-19
2014-11-20,378.0,378.0,378.0,,387.55646520421624,,,,,,,0.0,,Hold,2014-11-20,2014-11-20
2014-11-21,378.0,378.0,378.0,,386.64632566095753,,,,,,,0.0,,Hold,2014-11-21,2014-11-21
2014-11-22,,,,,386.64632566095753,,,,,,,0.0,,Hold,2014-11-22,2014-11-22
2014-11-23,,,,,386.64632566095753,,,,66.8976167956695,,,0.0,,Hold,2014-11-23,2014-11-23
2014-11-24,341.0,341.0,341.0,,381.44543956963025,,,,66.8976167956695,,,0.0,,Hold,2014-11-24,2014-11-24
2014-11-25,340.0,340.0,335.0,,377.49825484871303,,,,65.29212218494345,,,0.0,,Hold,2014-11-25,2014-11-25
2014-11-26,340.0,340.0,340.0,,373.9269924821689,,,,65.29212218494345,,,0.0,,Hold,2014-11-26,2014-11-26
2014-11-27,340.0,340.0,340.0,,370.69585034101,,,,65.29212218494345,,,0.0,,Hold,2014-11-27,2014-11-27
2014-11-28,369.0,371.0,369.0,,370.5343407847233,,,,81.43230097833616,,,0.0,,Sell,2014-11-28,2014-11-28
2014-11-29,,,,,370.5343407847233,,,,81.43230097833616,,,0.0,,Sell,2014-11-29,2014-11-29
2014-11-30,,,,,370.5343407847233,,,,81.43230097833616,,,0.0,,Sell,2014-11-30,2014-11-30
2014-12-01,360.0,360.0,360.0,,369.3340709782221,,,,81.43230097833616,,,0.0,,Sell,2014-12-01,2014-12-01
2014-12-02,350.0,350.0,350.0,,367.49273088505805,,,,66.98467550527415,,,0.0,,Hold,2014-12-02,2014-12-02
2014-12-03,,,,,367.49273088505805,,,,66.98467550527417,,,0.0,,Hold,2014-12-03,2014-12-03
2014-12-04,345.0,345.0,345.0,,365.1485753089478,,,,66.98467550527417,,,0.0,,Hold,2014-12-04,2014-12-04
2014-12-05,350.0,350.0,345.0,,363.70585385095274,,,,70.27777696594416,,,0.0,,Sell,2014-12-05,2014-12-05
2014-12-06,,,,,363.70585385095274,,,,70.27777696594416,,,0.0,,Sell,2014-12-06,2014-12-06
2014-12-07,,,,,363.70585385095274,,,,70.27777696594416,,,,,Sell,2014-12-07,2014-12-07
2014-12-08,,,,,363.70585385095274,,,,70.27777696594416,,,,,Sell,2014-12-08,2014-12-08
2014-12-09,359.0,359.0,359.0,,363.1202581223841,,,,70.27777696594416,,,,,Sell,2014-12-09,2014-12-09
2014-12-10,350.0,350.0,350.0,,361.8707097297761,,,,55.7730420440582,,,,,Hold,2014-12-10,2014-12-10
2014-12-11,360.0,360.0,360.0,,361.69254689836885,,,,64.53229458115685,,,,,Hold,2014-12-11,2014-12-11
2014-12-12,375.0,375.0,360.0,,362.9599233842385,,,,73.1291155560331,,,,,Sell,2014-12-12,2014-12-12
2014-12-13,,,,,362.9599233842385,,,,73.1291155560331,,,,,Sell,2014-12-13,2014-12-13
2014-12-14,,,,,362.9599233842385,,,,73.1291155560331,,,,,Sell,2014-12-14,2014-12-14
2014-12-15,372.0,372.0,351.0,,363.98993857285774,,,,73.1291155560331,,,,,Sell,2014-12-15,2014-12-15
2014-12-16,360.0,360.0,360.0,,363.60994442306173,,,,58.00143765449009,,,,,Hold,2014-12-16,2014-12-16
2014-12-17,370.0,370.0,370.0,,364.2185211446749,,,,64.5774830438742,-2.799694371281987,,,,Sell,2014-12-17,2014-12-17
2014-12-18,361.0,370.0,361.0,,363.9119953213725,,,,56.06851956257651,-2.7572867456969448,,,,Sell,2014-12-18,2014-12-18
2014-12-19,361.0,361.0,361.0,,363.6346624336228,,,,56.06851956257651,-2.6926393268403785,,,,Sell,2014-12-19,2014-12-19
2014-12-20,,,,,363.6346624336228,,,,56.06851956257651,-2.6926393268403785,,,,Sell,2014-12-20,2014-12-20
2014-12-21,,,,,363.6346624336228,,,,56.06851956257651,-2.6926393268403785,,,,Sell,2014-12-21,2014-12-21
2014-12-22,372.0,372.0,370.0,,364.5877986865029,,,,56.06851956257651,-1.3474678879377393,,,,Sell,2014-12-22,2014-12-22
2014-12-23,370.0,370.0,370.0,,365.10324643064547,,,,53.78720372412139,-0.8016120378413234,,,,Sell,2014-12-23,2014-12-23
2014-12-24,370.0,370.0,370.0,,365.56960391344114,,,,53.78720372412139,-0.36481201810380526,,,,Sell,2014-12-24,2014-12-24
2014-12-25,370.0,370.0,370.0,,365.9915463978753,,,,53.7872037241214,-0.018432378502041047,,,,Sell,2014-12-25,2014-12-25
2014-12-26,369.0,369.0,369.0,,366.2780657885538,,,,52.45438172210907,0.173385656838434,,,,Buy,2014-12-26,2014-12-26
2014-12-27,,,,,366.2780657885538,,,,52.45438172210907,0.173385656838434,,,,Buy,2014-12-27,2014-12-27
2014-12-28,,,,,366.2780657885538,,,,52.45438172210907,0.173385656838434,,,,Buy,2014-12-28,2014-12-28
2014-12-29,375.0,375.0,370.0,,367.2718322237037,,,,52.45438172210907,1.0982972641769493,,,,Buy,2014-12-29,2014-12-29
2014-12-30,394.0,394.0,379.0,,369.81737201192243,,,,70.88922080736381,3.042829216379573,,,,Buy,2014-12-30,2014-12-30
2014-12-31,,,,,369.81737201192243,,,,70.88922080736381,3.042829216379573,,,,Buy,2014-12-31,2014-12-31
2015-01-01,,,,,369.81737201192243,,,,70.88922080736381,3.042829216379573,,,,Buy,2015-01-01,2015-01-01
2015-01-02,394.0,394.0,394.0,,372.5727108422395,,,,70.88922080736381,5.300948540509978,,,,Buy,2015-01-02,2015-01-02
2015-01-03,,,,,372.5727108422395,,,,70.88922080736381,5.300948540509978,,,,Buy,2015-01-03,2015-01-03
2015-01-04,,,,,372.5727108422395,,,,70.88922080736381,5.300948540509978,,,,Buy,2015-01-04,2015-01-04
2015-01-05,380.0,380.0,380.0,,373.41896701549166,,,,70.88922080736381,5.216083519933079,,,,Buy,2015-01-05,2015-01-05
2015-01-06,,,,,373.41896701549166,,,,70.88922080736381,5.216083519933079,,,,Buy,2015-01-06,2015-01-06
2015-01-07,,,,,373.41896701549166,,,,70.88922080736381,5.216083519933079,,,,Buy,2015-01-07,2015-01-07
2015-01-08,380.0,380.0,380.0,,374.16880180328866,,,,70.88922080736381,5.0640245282218075,,,,Buy,2015-01-08,2015-01-08
2015-01-09,391.0,391.0,391.0,,375.77177306011833,,,,80.21012174302066,5.725556541537003,,,,Buy,2015-01-09,2015-01-09
2015-01-10,,,,,375.77177306011833,,,,80.21012174302066,5.725556541537003,,,,Buy,2015-01-10,2015-01-10
2015-01-11,,,,,375.77177306011833,,,,80.21012174302066,5.725556541537003,,,,Buy,2015-01-11,2015-01-11
2015-01-12,380.0,381.0,380.0,,376.25353202678616,,,,80.21012174302066,5.236404397507556,,,,Buy,2015-01-12,2015-01-12
2015-01-13,380.0,382.0,380.0,,376.6103385004256,,,,80.21012174302066,4.8482580065532375,,,,Buy,2015-01-13,2015-01-13
2015-01-14,380.0,380.0,380.0,,376.933163405147,,,,80.21012174302066,4.488903905303573,,,,Buy,2015-01-14,2015-01-14
2015-01-15,380.0,380.0,380.0,,377.2252430808473,,,,80.21012174302066,4.156203069221306,,,,Buy,2015-01-15,2015-01-15
2015-01-16,380.0,380.0,380.0,,377.4895056445761,,,,80.21012174302066,3.848175883467718,,,,Buy,2015-01-16,2015-01-16
2015-01-17,,,,,377.4895056445761,,,,80.21012174302066,3.848175883467718,,,,Buy,2015-01-17,2015-01-17
2015-01-18,,,,,377.4895056445761,,,,80.21012174302066,3.848175883467718,,,,Buy,2015-01-18,2015-01-18
2015-01-19,,,,,377.4895056445761,,,,80.21012174302066,3.848175883467718,,,,Buy,2015-01-19,2015-01-19
2015-01-20,380.0,380.0,380.0,,377.8019111755797,,,,80.21012174302066,3.4956356609062595,,,,Buy,2015-01-20,2015-01-20
2015-01-21,380.0,380.0,380.0,,378.01125296838165,,,,80.21012174302066,3.2365953634421203,,,,Buy,2015-01-21,2015-01-21
2015-01-22,380.0,380.0,380.0,,378.2006574475834,,,,80.21012174302066,2.996759285788528,,,,Buy,2015-01-22,2015-01-22
2015-01-23,379.0,379.0,379.0,,378.2767853097183,,,,74.12121303925021,2.694930344199122,,,,Buy,2015-01-23,2015-01-23
2015-01-24,,,,,378.2767853097183,,,,74.12121303925021,2.694930344199122,,,,Buy,2015-01-24,2015-01-24
2015-01-25,,,,,378.2767853097183,,,,74.12121303925021,2.694930344199122,,,,Buy,2015-01-25,2015-01-25
2015-01-26,380.0,380.0,380.0,,378.4731262678411,,,,74.12121303925021,2.482856499831996,,,,Buy,2015-01-26,2015-01-26
2015-01-27,375.0,375.0,375.0,,378.1423523375705,,,,49.069758566108064,1.9098176209972166,,,,Buy,2015-01-27,2015-01-27
2015-01-28,375.0,375.0,375.0,,377.84308068637336,,,,49.06975856610807,1.4390912330667902,,,,Buy,2015-01-28,2015-01-28
2015-01-29,375.0,375.0,375.0,,377.5723110971949,,,,49.06975856610808,1.0538886073883873,,,,Buy,2015-01-29,2015-01-29
2015-01-30,375.0,375.0,375.0,,377.32732908793827,,,,49.06975856610808,0.7400815518581112,,,,Buy,2015-01-30,2015-01-30
2015-01-31,,,,,377.32732908793827,,,,49.06975856610808,0.7400815518581112,,,,Buy,2015-01-31,2015-01-31
2015-02-01,,,,,377.32732908793827,,,,49.06975856610808,0.7400815518581112,,,,Buy,2015-02-01,2015-02-01
2015-02-02,380.0,380.0,380.0,,377.63184991786187,,,,49.06975856610807,0.9697748615825503,,,,Buy,2015-02-02,2015-02-02
2015-02-03,380.0,380.0,380.0,,377.85738802092266,,,,49.06975856610808,1.0569475721937351,,,,Buy,2015-02-03,2015-02-03
2015-02-04,378.0,378.0,378.0,,377.87097011416813,,,,39.42663738290076,0.9536561338156844,,,,Buy,2015-02-04,2015-02-04
2015-02-05,378.0,378.0,378.0,,377.88325867472355,,,,39.42663738290076,0.8618619170372313,,,,Buy,2015-02-05,2015-02-05
2015-02-06,370.0,370.0,370.0,,377.1324721342737,,,,20.624290093503703,0.1419449447232637,,,,Buy,2015-02-06,2015-02-06
2015-02-07,,,,,377.1324721342737,,,,20.624290093503703,0.1419449447232637,,,,Buy,2015-02-07,2015-02-07
2015-02-08,,,,,377.1324721342737,,,,20.624290093503703,0.1419449447232637,,,,Buy,2015-02-08,2015-02-08
2015-02-09,378.0,378.0,378.0,,377.2313171901542,,,,20.624290093503703,0.2517926505631749,,,,Buy,2015-02-09,2015-02-09
2015-02-10,370.0,370.0,367.0,,376.5426203149014,,,,12.564697351394315,-0.3388154864183548,,,,Sell,2015-02-10,2015-02-10
2015-02-11,378.0,378.0,371.0,,376.6814183801489,,,,38.46231968037634,-0.1595048759461406,,,,Sell,2015-02-11,2015-02-11
2015-02-12,360.0,378.0,360.0,,375.09271186775374,,,,22.391813734743593,-1.4530990714343375,,,,Sell,2015-02-12,2015-02-12
2015-02-13,371.0,371.0,371.0,,374.7029297851105,,,,39.129813953541436,-1.5725463861737126,,,,Sell,2015-02-13,2015-02-13
2015-02-14,,,,,374.7029297851105,,,,39.129813953541436,-1.5725463861737126,,,,Sell,2015-02-14,2015-02-14
2015-02-15,,,,,374.7029297851105,,,,39.129813953541436,-1.5725463861737126,,,,Sell,2015-02-15,2015-02-15
