Date,PoslednaCena,Max,Min,SMA_20,EMA_20,WMA_20,HMA_20,TMA_20,RSI,MACD,CCI,ADX,Stoch,Signal,Start Date,End Date
2014-11-10,379.0,409.0,379.0,,379.0,,,,,,,0.0,,Hold,2014-11-10,2014-11-16
2014-11-17,375.0,400.0,375.0,,378.61904761904765,,,,,,,0.0,,Hold,2014-11-17,2014-11-23
2014-11-24,341.0,341.0,341.0,,375.03628117913837,,,,,,,0.0,,Hold,2014-11-24,2014-11-30
2014-12-01,360.0,360.0,360.0,,373.6042544001728,,,,,,,0.0,,Hold,2014-12-01,2014-12-07
2014-12-08,350.0,350.0,345.0,,371.3562301715849,,,,,,,0.0,,Hold,2014-12-08,2014-12-14
2014-12-15,372.0,372.0,351.0,,371.41754158381497,,,,,,,0.0,,Hold,2014-12-15,2014-12-21
2014-12-22,372.0,372.0,370.0,,371.4730138139278,,,,,,,0.0,,Hold,2014-12-22,2014-12-28
2014-12-29,375.0,375.0,370.0,,371.8089172602204,,,,,,,0.0,,Hold,2014-12-29,2015-01-04
2015-01-05,380.0,380.0,380.0,,372.58902037829466,,,,,,,0.0,,Hold,2015-01-05,2015-01-11
2015-01-12,380.0,381.0,380.0,,373.29482796131424,,,,,,,0.0,,Hold,2015-01-12,2015-01-18
2015-01-19,380.0,380.0,380.0,,373.9334157745224,,,,,,,0.0,,Hold,2015-01-19,2015-01-25
2015-01-26,380.0,380.0,380.0,,374.5111857007584,,,,,,,0.0,,Hold,2015-01-26,2015-02-01
2015-02-02,380.0,380.0,380.0,,375.0339299197338,,,,,,,0.0,,Hold,2015-02-02,2015-02-08
2015-02-09,378.0,378.0,378.0,,375.31641278452105,,,,52.74464359079655,,,0.0,54.411764705882355,Hold,2015-02-09,2015-02-15
2015-02-16,378.0,378.0,376.0,,375.57199251932855,,,,52.74464359079655,,,0.0,62.71186440677966,Hold,2015-02-16,2015-02-22
2015-02-23,375.0,375.0,375.0,,375.51751704129725,,,,49.33950665227164,,,0.0,85.0,Hold,2015-02-23,2015-03-01
2015-03-02,373.0,373.0,373.0,,375.27775351355467,,,,47.15392280495968,,,0.0,77.77777777777777,Hold,2015-03-02,2015-03-08
2015-03-09,337.0,347.0,337.0,,371.6322531789304,,,,25.369615811545913,,,0.0,0.0,Buy,2015-03-09,2015-03-15
2015-03-16,337.0,337.0,337.0,,368.33394335236557,,,,25.369615811545913,,,0.0,0.0,Buy,2015-03-16,2015-03-22
2015-03-23,340.0,340.0,340.0,367.1,365.6354725569022,365.0,364.5,,28.55938476813955,,-129.9760756167393,0.0,6.818181818181818,Buy,2015-03-23,2015-03-29
2015-03-30,340.0,340.0,330.0,365.15,363.1939989800544,362.4190476190476,358.45000000000005,,28.55938476813955,,-124.5421245421245,0.0,19.607843137254903,Buy,2015-03-30,2015-04-05
2015-04-06,290.0,290.0,290.0,360.9,356.22314193433493,355.26190476190476,344.70000000000005,,15.639078219059144,,-247.6525821596247,0.0,0.0,Buy,2015-04-06,2015-04-12
2015-04-13,310.0,312.0,309.0,359.35,351.82093794058875,350.4142857142857,332.25,,29.398033068194707,,-154.64794724526712,0.0,21.978021978021978,Buy,2015-04-13,2015-04-19
2015-04-20,350.0,350.0,350.0,358.85,351.64751527958026,349.5238095238095,327.15,,47.751954147797086,,-25.888958203368727,0.0,66.66666666666667,Buy,2015-04-20,2015-04-26
2015-04-27,330.0,330.0,330.0,357.85,349.5858471577155,346.7761904761905,318.54999999999995,,41.88840498358244,,-81.23207752397903,0.0,44.44444444444444,Buy,2015-04-27,2015-05-03
2015-05-04,330.0,332.0,330.0,355.75,347.7205283807902,344.12380952380954,311.65,,41.88840498358243,-12.991927352173093,-70.62146892655353,0.0,44.44444444444444,Buy,2015-05-04,2015-05-10
2015-05-11,300.0,300.0,300.0,352.15,343.17571615404825,338.8142857142857,300.65,,34.51542194520525,-15.15419493871633,-135.6770833333334,0.0,11.363636363636363,Buy,2015-05-11,2015-05-17
2015-05-18,330.0,330.0,330.0,349.9,341.9208860441389,336.7047619047619,301.5,,44.95033379013818,-14.282419458786194,-52.24989078200089,23.234413284589454,45.45454545454545,Buy,2015-05-18,2015-05-24
2015-05-25,335.0,335.0,334.0,347.65,341.2617540399352,335.2857142857143,303.35,,46.48103659168837,-13.037781467857599,-35.42234332425069,22.048333097341896,52.94117647058823,Buy,2015-05-25,2015-05-31
2015-06-01,323.0,323.0,323.0,344.8,339.5225393694652,332.93809523809523,302.8,,43.36453866274306,-12.871323993849671,-61.86152099886493,21.31736243528668,39.75903614457831,Buy,2015-06-01,2015-06-07
2015-06-08,331.0,331.0,331.0,342.35,338.7108689533257,331.62380952380954,303.44999999999993,,45.965624009608966,-11.956050200893628,-34.88818873434264,20.305685464009027,68.33333333333333,Buy,2015-06-08,2015-06-14
2015-06-15,330.0,330.0,330.0,339.85,337.8812623863423,330.44761904761907,313.94999999999993,,45.68318981428853,-11.182476144293958,-33.69825521724264,19.403276708320785,66.66666666666667,Buy,2015-06-15,2015-06-21
2015-06-22,330.0,330.0,329.0,337.35,337.13066596859545,329.5095238095238,320.44999999999993,,45.68318981428853,-10.448963978646987,-29.658284977433752,18.604718784211432,66.66666666666667,Buy,2015-06-22,2015-06-28
