Date,PoslednaCena,Max,Min,SMA_20,EMA_20,WMA_20,HMA_20,TMA_20,RSI,MACD,CCI,ADX,Stoch,Signal,Start Date,End Date
2014-11-10,84.0,84.0,84.0,,84.0,,,,,,,0.0,,Hold,2014-11-10,2014-11-10
2014-11-11,82.0,82.0,82.0,,83.80952380952381,,,,,,,0.0,,Hold,2014-11-11,2014-11-11
2014-11-12,85.0,85.0,84.0,,83.92290249433105,,,,,,,0.0,,Hold,2014-11-12,2014-11-12
2014-11-13,85.0,85.0,85.0,,84.02548320915668,,,,,,,0.0,,Hold,2014-11-13,2014-11-13
2014-11-14,86.0,86.0,86.0,,84.21353242733223,,,,,,,0.0,,Hold,2014-11-14,2014-11-14
2014-11-15,,,,,84.21353242733223,,,,,,,0.0,,Hold,2014-11-15,2014-11-15
2014-11-16,,,,,84.21353242733223,,,,,,,0.0,,Hold,2014-11-16,2014-11-16
2014-11-17,84.0,84.0,84.0,,84.18920280571912,,,,,,,0.0,,Hold,2014-11-17,2014-11-17
2014-11-18,84.0,84.0,84.0,,84.17118349088872,,,,,,,0.0,,Hold,2014-11-18,2014-11-18
2014-11-19,82.0,82.0,82.0,,83.96440411080408,,,,,,,0.0,,Hold,2014-11-19,2014-11-19
2014-11-20,81.0,81.0,81.0,,83.68207990977511,,,,,,,0.0,,Hold,2014-11-20,2014-11-20
2014-11-21,83.0,83.0,83.0,,83.61711991836795,,,,,,,0.0,,Hold,2014-11-21,2014-11-21
2014-11-22,,,,,83.61711991836795,,,,,,,0.0,,Hold,2014-11-22,2014-11-22
2014-11-23,,,,,83.61711991836795,,,,53.41533602768201,,,0.0,,Hold,2014-11-23,2014-11-23
2014-11-24,81.0,81.0,81.0,,83.31892850020485,,,,53.41533602768201,,,0.0,,Hold,2014-11-24,2014-11-24
2014-11-25,79.0,80.0,79.0,,82.90760197637582,,,,39.64032509985279,,,0.0,,Hold,2014-11-25,2014-11-25
2014-11-26,79.0,79.0,79.0,,82.53544940719716,,,,39.64032509985279,,,0.0,,Hold,2014-11-26,2014-11-26
2014-11-27,78.0,78.0,78.0,,82.10350184460695,,,,34.483558922068354,,,0.0,,Hold,2014-11-27,2014-11-27
2014-11-28,78.0,78.0,78.0,,81.71269214512058,,,,34.483558922068354,,,0.0,,Hold,2014-11-28,2014-11-28
2014-11-29,,,,,81.71269214512058,,,,34.483558922068354,,,0.0,,Hold,2014-11-29,2014-11-29
2014-11-30,,,,,81.71269214512058,,,,34.483558922068354,,,0.0,,Hold,2014-11-30,2014-11-30
2014-12-01,78.0,78.0,78.0,,81.2896725776233,,,,34.483558922068354,,,0.0,,Hold,2014-12-01,2014-12-01
2014-12-02,80.0,80.0,78.0,,81.16684661784966,,,,52.41645521038156,,,0.0,,Hold,2014-12-02,2014-12-02
