Date,PoslednaCena,Max,Min,SMA_20,EMA_20,WMA_20,HMA_20,TMA_20,RSI,MACD,CCI,ADX,Stoch,Signal,Start Date,End Date
2016-12-21,179.0,179.0,179.0,,179.0,,,,,,,0.0,,Hold,2016-12-21,2016-12-21
2016-12-22,179.0,179.0,179.0,,179.0,,,,,,,0.0,,Hold,2016-12-22,2016-12-22
2016-12-23,179.0,179.0,179.0,,179.0,,,,,,,0.0,,Hold,2016-12-23,2016-12-23
2016-12-24,,,,,179.0,,,,,,,0.0,,Hold,2016-12-24,2016-12-24
2016-12-25,,,,,179.0,,,,,,,0.0,,Hold,2016-12-25,2016-12-25
2016-12-26,179.0,179.0,179.0,,179.0,,,,,,,0.0,,Hold,2016-12-26,2016-12-26
2016-12-27,179.0,179.0,179.0,,179.0,,,,,,,0.0,,Hold,2016-12-27,2016-12-27
2016-12-28,179.0,179.0,179.0,,179.0,,,,,,,0.0,,Hold,2016-12-28,2016-12-28
2016-12-29,179.0,179.0,179.0,,179.0,,,,,,,0.0,,Hold,2016-12-29,2016-12-29
2016-12-30,,,,,179.0,,,,,,,0.0,,Hold,2016-12-30,2016-12-30
2016-12-31,,,,,179.0,,,,,,,0.0,,Hold,2016-12-31,2016-12-31
2017-01-01,,,,,179.0,,,,,,,0.0,,Hold,2017-01-01,2017-01-01
2017-01-02,,,,,179.0,,,,,,,0.0,,Hold,2017-01-02,2017-01-02
2017-01-03,179.0,179.0,179.0,,179.0,,,,100.0,,,0.0,,Sell,2017-01-03,2017-01-03
2017-01-04,179.0,179.0,179.0,,179.0,,,,100.0,,,0.0,,Sell,2017-01-04,2017-01-04
2017-01-05,179.0,179.0,179.0,,179.0,,,,100.0,,,0.0,,Sell,2017-01-05,2017-01-05
2017-01-06,,,,,179.0,,,,100.0,,,0.0,,Sell,2017-01-06,2017-01-06
2017-01-07,,,,,179.0,,,,100.0,,,0.0,,Sell,2017-01-07,2017-01-07
2017-01-08,,,,,179.0,,,,100.0,,,0.0,,Sell,2017-01-08,2017-01-08
2017-01-09,179.0,179.0,179.0,,179.0,,,,100.0,,,0.0,,Sell,2017-01-09,2017-01-09
2017-01-10,179.0,179.0,179.0,,179.0,,,,100.0,,,0.0,,Sell,2017-01-10,2017-01-10
2017-01-11,179.0,179.0,179.0,,179.0,,,,100.0,,,0.0,,Sell,2017-01-11,2017-01-11
2017-01-12,179.0,179.0,179.0,,179.0,,,,100.0,,,0.0,,Sell,2017-01-12,2017-01-12
2017-01-13,179.0,179.0,179.0,,179.0,,,,100.0,,,0.0,,Sell,2017-01-13,2017-01-13
2017-01-14,,,,,179.0,,,,100.0,,,0.0,,Sell,2017-01-14,2017-01-14
2017-01-15,,,,,179.0,,,,100.0,,,0.0,,Sell,2017-01-15,2017-01-15
2017-01-16,179.0,179.0,179.0,,179.0,,,,100.0,,,0.0,,Sell,2017-01-16,2017-01-16
2017-01-17,179.0,179.0,179.0,,179.0,,,,100.0,,,,,Sell,2017-01-17,2017-01-17
2017-01-18,179.0,179.0,179.0,,179.0,,,,100.0,,,,,Sell,2017-01-18,2017-01-18
2017-01-19,,,,,179.0,,,,100.0,,,,,Sell,2017-01-19,2017-01-19
2017-01-20,179.0,179.0,179.0,,179.0,,,,100.0,,,,,Sell,2017-01-20,2017-01-20
2017-01-21,,,,,179.0,,,,100.0,,,,,Sell,2017-01-21,2017-01-21
2017-01-22,,,,,179.0,,,,100.0,,,,,Sell,2017-01-22,2017-01-22
2017-01-23,179.0,179.0,179.0,,179.0,,,,100.0,,,,,Sell,2017-01-23,2017-01-23
2017-01-24,179.0,179.0,179.0,,179.0,,,,100.0,,,,,Sell,2017-01-24,2017-01-24
2017-01-25,179.0,179.0,179.0,,179.0,,,,100.0,,,,,Sell,2017-01-25,2017-01-25
2017-01-26,179.0,179.0,179.0,,179.0,,,,100.0,,,,,Sell,2017-01-26,2017-01-26
2017-01-27,179.0,179.0,179.0,,179.0,,,,100.0,,,,,Sell,2017-01-27,2017-01-27
