Date,PoslednaCena,Max,Min,SMA_20,EMA_20,WMA_20,HMA_20,TMA_20,RSI,MACD,CCI,ADX,Stoch,Signal,Start Date,End Date
2014-11-10,300.0,301.0,300.0,,300.0,,,,,,,0.0,,Hold,2014-11-10,2014-11-16
2014-11-17,285.0,286.0,285.0,,298.5714285714286,,,,,,,0.0,,Hold,2014-11-17,2014-11-23
2014-11-24,282.0,286.0,282.0,,296.99319727891157,,,,,,,0.0,,Hold,2014-11-24,2014-11-30
2014-12-01,280.0,280.0,280.0,,295.37479753806286,,,,,,,0.0,,Hold,2014-12-01,2014-12-07
2014-12-08,282.0,289.0,282.0,,294.1010072963426,,,,,,,0.0,,Hold,2014-12-08,2014-12-14
2014-12-15,289.0,289.0,289.0,,293.6151970776433,,,,,,,0.0,,Hold,2014-12-15,2014-12-21
2014-12-22,282.0,282.0,282.0,,292.5089878321534,,,,,,,0.0,,Hold,2014-12-22,2014-12-28
2014-12-29,291.0,291.0,290.0,,292.3652747052817,,,,,,,0.0,,Hold,2014-12-29,2015-01-04
2015-01-05,290.0,290.0,290.0,,292.1400104476358,,,,,,,0.0,,Hold,2015-01-05,2015-01-11
2015-01-12,285.0,286.0,285.0,,291.4600094526229,,,,,,,0.0,,Hold,2015-01-12,2015-01-18
2015-01-19,286.0,286.0,286.0,,290.9400085523731,,,,,,,0.0,,Hold,2015-01-19,2015-01-25
2015-01-26,287.0,287.0,287.0,,290.5647696426233,,,,,,,0.0,,Hold,2015-01-26,2015-02-01
2015-02-02,290.0,290.0,290.0,,290.5109820576115,,,,,,,0.0,,Hold,2015-02-02,2015-02-08
2015-02-09,286.0,290.0,286.0,,290.08136471879135,,,,41.82779663516028,,,0.0,28.571428571428573,Hold,2015-02-09,2015-02-15
2015-02-16,281.0,282.0,281.0,,289.2164728408112,,,,36.4029970379165,,,0.0,9.090909090909092,Hold,2015-02-16,2015-02-22
2015-02-23,282.0,282.0,282.0,,288.5291897131149,,,,38.13124001989377,,,0.0,18.181818181818183,Hold,2015-02-23,2015-03-01
2015-03-02,282.0,282.0,282.0,,287.9073621213896,,,,38.13124001989377,,,0.0,18.181818181818183,Hold,2015-03-02,2015-03-08
2015-03-09,288.0,288.0,288.0,,287.91618477649536,,,,47.970042471765204,,,0.0,70.0,Hold,2015-03-09,2015-03-15
2015-03-16,282.0,283.0,282.0,,287.3527386073053,,,,40.95593580637526,,,0.0,10.0,Hold,2015-03-16,2015-03-22
2015-03-23,277.0,277.0,276.0,285.35,286.3667635018477,284.3285714285714,282.85,,36.2050474834213,,-159.7747146880087,0.0,6.666666666666667,Sell,2015-03-23,2015-03-29
2015-03-30,291.0,291.0,291.0,284.9,286.8080241207193,284.8666666666667,284.30000000000007,,52.736938477565815,,118.76807895184588,0.0,100.0,Sell,2015-03-30,2015-04-05
2015-04-06,290.0,290.0,290.0,285.15,287.1120218235079,285.35238095238094,284.65,,51.70623026118022,,87.71929824561467,0.0,93.33333333333333,Sell,2015-04-06,2015-04-12
2015-04-13,285.0,285.0,285.0,285.3,286.9108768879358,285.33809523809526,283.49999999999994,,46.78286223852705,,-9.803921568627443,0.0,60.0,Sell,2015-04-13,2015-04-19
2015-04-20,285.0,290.0,285.0,285.55,286.7288886128943,285.3095238095238,283.05,,46.78286223852705,,17.63668430335057,0.0,60.0,Sell,2015-04-20,2015-04-26
2015-04-27,280.0,280.0,277.0,285.45,286.088042078333,284.7809523809524,282.95,,42.130385364637725,,-127.13778638270502,0.0,26.666666666666668,Sell,2015-04-27,2015-05-03
2015-05-04,270.0,270.0,270.0,284.5,284.55584759468223,283.3095238095238,281.5,,34.69816439383399,-3.393669399778787,-234.24145299145317,0.0,0.0,Sell,2015-05-04,2015-05-10
2015-05-11,250.0,250.0,250.0,282.9,281.2648144904268,280.0238095238095,276.70000000000005,,25.144326497935367,-5.735335691750379,-362.02485380116985,0.0,0.0,Buy,2015-05-11,2015-05-17
2015-05-18,225.0,225.0,225.0,279.6,275.90626072943377,274.5095238095238,267.4,,18.344795716844587,-9.49891656789049,-372.33560090702895,24.03107311537388,0.0,Buy,2015-05-18,2015-05-24
2015-05-25,226.0,226.0,226.0,276.4,271.15328351710673,269.4047619047619,259.4,,19.285033463980113,-12.259569202269347,-249.3011017924682,26.18769054056742,1.5151515151515151,Buy,2015-05-25,2015-05-31
2015-06-01,239.0,239.0,239.0,274.1,268.09106603928706,265.84285714285716,254.10000000000002,,30.490412680535485,-13.24572646051746,-145.74926711501985,26.82448326005553,21.21212121212121,Buy,2015-06-01,2015-06-07
2015-06-08,232.0,232.0,232.0,271.4,264.65382165459306,261.8333333333333,245.0,,28.21872198353016,-14.425812899765845,-140.8040857533109,27.72670676064562,10.606060606060606,Buy,2015-06-08,2015-06-14
2015-06-15,232.0,232.0,232.0,268.65,261.5439338779651,258.0809523809524,236.15000000000003,,28.21872198353016,-15.185985319122608,-117.50292958346661,28.564485725479273,10.606060606060606,Buy,2015-06-15,2015-06-21
2015-06-22,270.0,270.0,261.0,267.65,262.3492735086351,258.20952380952383,234.15000000000003,,51.138399721490615,-12.57716330785945,-2.0320180135651187,26.66339523934575,68.18181818181819,Buy,2015-06-22,2015-06-28
2015-06-29,260.0,260.0,260.0,266.35,262.1255331744794,257.4809523809524,230.45,,46.89490140316034,-11.187605739971076,-20.85940759282436,24.83733479995649,53.03030303030303,Buy,2015-06-29,2015-07-05
2015-07-06,255.0,255.0,255.0,265.05,261.44691096738615,256.4,226.75,,44.88916827665447,-10.37028735213866,-33.034031703802256,23.295271735681904,46.15384615384615,Buy,2015-07-06,2015-07-12
2015-07-13,260.0,260.0,260.0,263.95,261.3091099228732,255.91904761904763,225.85000000000002,,47.315846591833306,-9.212897876177209,-13.071895424836733,21.725673807381725,53.84615384615385,Buy,2015-07-13,2015-07-19
2015-07-20,265.0,265.0,265.0,263.1,261.6606232635519,256.0190476190476,229.7,,49.70101552555498,-7.802260561664127,7.157010617218176,20.588840950127203,61.53846153846154,Buy,2015-07-20,2015-07-26
2015-07-27,260.0,260.0,260.0,261.7,261.5024686670231,255.72380952380954,238.10000000000002,,47.39046843912534,-7.007006135060806,-5.969211435752578,19.180233081048105,63.63636363636363,Buy,2015-07-27,2015-08-02
2015-08-03,265.0,265.0,265.0,260.85,261.83556688921135,256.03809523809525,246.75,274.895,49.898785861467815,-5.905231229487697,16.980508754542328,18.211322656277133,88.88888888888889,Sell,2015-08-03,2015-08-09
