Date,PoslednaCena,Max,Min,SMA_20,EMA_20,WMA_20,HMA_20,TMA_20,RSI,MACD,CCI,ADX,Stoch,Signal,Start Date,End Date
2014-11-10,450.0,450.0,450.0,,450.0,,,,,,,0.0,,Hold,2014-11-10,2014-11-10
2014-11-11,450.0,450.0,450.0,,450.0,,,,,,,0.0,,Hold,2014-11-11,2014-11-11
2014-11-12,450.0,450.0,450.0,,450.0,,,,,,,0.0,,Hold,2014-11-12,2014-11-12
2014-11-13,450.0,450.0,450.0,,450.0,,,,,,,0.0,,Hold,2014-11-13,2014-11-13
2014-11-14,450.0,450.0,450.0,,450.0,,,,,,,0.0,,Hold,2014-11-14,2014-11-14
2014-11-15,,,,,450.0,,,,,,,0.0,,Hold,2014-11-15,2014-11-15
2014-11-16,,,,,450.0,,,,,,,0.0,,Hold,2014-11-16,2014-11-16
2014-11-17,450.0,450.0,450.0,,450.0,,,,,,,0.0,,Hold,2014-11-17,2014-11-17
2014-11-18,450.0,450.0,450.0,,450.0,,,,,,,0.0,,Hold,2014-11-18,2014-11-18
2014-11-19,450.0,450.0,450.0,,450.0,,,,,,,0.0,,Hold,2014-11-19,2014-11-19
2014-11-20,450.0,450.0,450.0,,450.0,,,,,,,0.0,,Hold,2014-11-20,2014-11-20
2014-11-21,450.0,450.0,450.0,,450.0,,,,,,,0.0,,Hold,2014-11-21,2014-11-21
2014-11-22,,,,,450.0,,,,,,,0.0,,Hold,2014-11-22,2014-11-22
2014-11-23,,,,,450.0,,,,100.0,,,0.0,,Sell,2014-11-23,2014-11-23
2014-11-24,450.0,450.0,450.0,,450.0,,,,100.0,,,0.0,,Sell,2014-11-24,2014-11-24
2014-11-25,450.0,450.0,450.0,,450.0,,,,100.0,,,0.0,,Sell,2014-11-25,2014-11-25
2014-11-26,450.0,450.0,450.0,,450.0,,,,100.0,,,0.0,,Sell,2014-11-26,2014-11-26
2014-11-27,450.0,450.0,450.0,,450.0,,,,100.0,,,0.0,,Sell,2014-11-27,2014-11-27
2014-11-28,450.0,450.0,450.0,,450.0,,,,100.0,,,0.0,,Sell,2014-11-28,2014-11-28
2014-11-29,,,,,450.0,,,,100.0,,,0.0,,Sell,2014-11-29,2014-11-29
2014-11-30,,,,,450.0,,,,100.0,,,0.0,,Sell,2014-11-30,2014-11-30
2014-12-01,450.0,450.0,450.0,,450.0,,,,100.0,,,0.0,,Sell,2014-12-01,2014-12-01
2014-12-02,450.0,450.0,450.0,,450.0,,,,100.0,,,0.0,,Sell,2014-12-02,2014-12-02
2014-12-03,,,,,450.0,,,,100.0,,,0.0,,Sell,2014-12-03,2014-12-03
2014-12-04,450.0,450.0,450.0,,450.0,,,,100.0,,,0.0,,Sell,2014-12-04,2014-12-04
2014-12-05,450.0,450.0,450.0,,450.0,,,,100.0,,,0.0,,Sell,2014-12-05,2014-12-05
2014-12-06,,,,,450.0,,,,100.0,,,0.0,,Sell,2014-12-06,2014-12-06
2014-12-07,,,,,450.0,,,,100.0,,,,,Sell,2014-12-07,2014-12-07
2014-12-08,,,,,450.0,,,,100.0,,,,,Sell,2014-12-08,2014-12-08
2014-12-09,450.0,450.0,450.0,,450.0,,,,100.0,,,,,Sell,2014-12-09,2014-12-09
2014-12-10,450.0,450.0,450.0,,450.0,,,,100.0,,,,,Sell,2014-12-10,2014-12-10
2014-12-11,450.0,450.0,450.0,,450.0,,,,100.0,,,,,Sell,2014-12-11,2014-12-11
2014-12-12,450.0,450.0,450.0,,450.0,,,,100.0,,,,,Sell,2014-12-12,2014-12-12
2014-12-13,,,,,450.0,,,,100.0,,,,,Sell,2014-12-13,2014-12-13
2014-12-14,,,,,450.0,,,,100.0,,,,,Sell,2014-12-14,2014-12-14
2014-12-15,450.0,450.0,450.0,,450.0,,,,100.0,,,,,Sell,2014-12-15,2014-12-15
2014-12-16,450.0,450.0,450.0,,450.0,,,,100.0,,,,,Sell,2014-12-16,2014-12-16
2014-12-17,450.0,450.0,450.0,,450.0,,,,100.0,0.0,,,,Sell,2014-12-17,2014-12-17
2014-12-18,450.0,450.0,450.0,,450.0,,,,100.0,0.0,,,,Sell,2014-12-18,2014-12-18
2014-12-19,450.0,450.0,450.0,,450.0,,,,100.0,0.0,,,,Sell,2014-12-19,2014-12-19
2014-12-20,,,,,450.0,,,,100.0,0.0,,,,Sell,2014-12-20,2014-12-20
2014-12-21,,,,,450.0,,,,100.0,0.0,,,,Sell,2014-12-21,2014-12-21
2014-12-22,450.0,450.0,450.0,,450.0,,,,100.0,0.0,,,,Sell,2014-12-22,2014-12-22
2014-12-23,450.0,450.0,450.0,,450.0,,,,100.0,0.0,,,,Sell,2014-12-23,2014-12-23
2014-12-24,450.0,450.0,450.0,,450.0,,,,100.0,0.0,,,,Sell,2014-12-24,2014-12-24
