Date,PoslednaCena,Max,Min,SMA_20,EMA_20,WMA_20,HMA_20,TMA_20,RSI,MACD,CCI,ADX,Stoch,Signal,Start Date,End Date
2014-11-10,5200.0,5200.0,5200.0,,5200.0,,,,,,,0.0,,Hold,2014-11-10,2014-11-16
2014-11-17,5474.0,5474.0,5474.0,,5226.095238095238,,,,,,,0.0,,Hold,2014-11-17,2014-11-23
2014-11-24,5311.0,5311.0,5311.0,,5234.181405895692,,,,,,,0.0,,Hold,2014-11-24,2014-11-30
2014-12-01,5300.0,5300.0,5300.0,,5240.4498434294355,,,,,,,0.0,,Hold,2014-12-01,2014-12-07
2014-12-08,5300.0,5300.0,5300.0,,5246.1212869123465,,,,,,,0.0,,Hold,2014-12-08,2014-12-14
2014-12-15,5152.0,5152.0,5152.0,,5237.157354825456,,,,,,,0.0,,Hold,2014-12-15,2014-12-21
2014-12-22,5120.0,5120.0,5120.0,,5225.999511508747,,,,,,,0.0,,Hold,2014-12-22,2014-12-28
2014-12-29,5150.0,5150.0,5120.0,,5218.761462793628,,,,,,,0.0,,Hold,2014-12-29,2015-01-04
2015-01-05,5400.0,5400.0,5299.0,,5236.022275860902,,,,,,,0.0,,Hold,2015-01-05,2015-01-11
2015-01-12,5350.0,5350.0,5350.0,,5246.877297207482,,,,,,,0.0,,Hold,2015-01-12,2015-01-18
2015-01-19,5350.0,5350.0,5300.0,,5256.698506997245,,,,,,,0.0,,Hold,2015-01-19,2015-01-25
2015-01-26,5400.0,5400.0,5400.0,,5270.346268235602,,,,,,,0.0,,Hold,2015-01-26,2015-02-01
2015-02-02,5450.0,5450.0,5450.0,,5287.456147451259,,,,,,,0.0,,Hold,2015-02-02,2015-02-08
2015-02-09,5450.0,5450.0,5450.0,,5302.936514360664,,,,64.65081808799746,,,0.0,93.22033898305085,Hold,2015-02-09,2015-02-15
2015-02-16,5450.0,5450.0,5450.0,,5316.942560612029,,,,64.65081808799746,,,0.0,93.22033898305085,Hold,2015-02-16,2015-02-22
2015-02-23,5450.0,5450.0,5450.0,,5329.614697696598,,,,64.65081808799746,,,0.0,100.0,Hold,2015-02-23,2015-03-01
2015-03-02,5400.0,5400.0,5400.0,,5336.318059820731,,,,58.641198718716524,,,0.0,84.84848484848484,Hold,2015-03-02,2015-03-08
2015-03-09,5250.0,5250.0,5250.0,,5328.097292218757,,,,45.09764240379449,,,0.0,39.39393939393939,Hold,2015-03-09,2015-03-15
2015-03-16,5300.0,5300.0,5300.0,,5325.4213596264935,,,,49.30096748274625,,,0.0,54.54545454545455,Hold,2015-03-16,2015-03-22
2015-03-23,5400.0,5400.0,5400.0,5332.85,5332.524087281114,5355.157142857143,5447.15,,56.47772471290118,,52.23649109746218,0.0,84.84848484848484,Buy,2015-03-23,2015-03-29
2015-03-30,5450.0,5450.0,5450.0,5345.35,5343.712269444817,5366.314285714286,5454.65,,59.56015163945082,,82.0630081300808,0.0,100.0,Buy,2015-03-30,2015-04-05
2015-04-06,5400.0,5400.0,5350.0,5341.65,5349.0730056881675,5371.519047619047,5458.35,,55.339304915310464,,36.403368510819334,0.0,75.0,Sell,2015-04-06,2015-04-12
2015-04-13,6402.0,6600.0,6150.0,5396.2,5449.351767051199,5472.504761904762,5594.2,,82.34348941055381,,504.7484648537324,0.0,85.33333333333333,Sell,2015-04-13,2015-04-19
2015-04-20,6229.0,6229.0,6229.0,5442.65,5523.60397971299,5551.8190476190475,5703.550000000001,,74.02151074600489,,293.3748678867444,0.0,72.51851851851852,Sell,2015-04-20,2015-04-26
2015-04-27,5907.0,6001.0,5907.0,5473.0,5560.117886406991,5596.042857142857,5764.6,,61.55236914930463,,145.82701101574716,0.0,48.666666666666664,Sell,2015-04-27,2015-05-03
2015-05-04,6100.0,6100.0,6099.0,5520.4,5611.535230558706,5655.757142857143,5847.200000000001,,65.32293919263626,196.6562971950916,150.37995163469583,0.0,62.96296296296296,Sell,2015-05-04,2015-05-10
2015-05-11,6098.0,6098.0,6098.0,5569.3,5657.865208600733,5710.766666666666,5937.900000000001,,65.25152484649672,210.22838138152565,121.5007709439779,0.0,62.81481481481482,Sell,2015-05-11,2015-05-17
2015-05-18,6098.0,6098.0,6098.0,5616.7,5699.782807781616,5761.119047619048,6060.099999999999,,65.25152484649672,218.46601564290268,102.01285699230685,26.900238942164986,62.81481481481482,Sell,2015-05-18,2015-05-24
2015-05-25,5520.0,5520.0,5520.0,5622.7,5682.660635611937,5751.909523809524,6098.099999999999,,47.753407555013965,176.32209928765133,-21.748817379091058,25.213217915072427,20.0,Sell,2015-05-25,2015-05-31
2015-06-01,5336.0,5500.0,5336.0,5622.0,5649.645336982229,5724.604761904762,6086.0,,43.732876932919794,126.61593007156989,-50.04240882103485,23.765150659838927,6.37037037037037,Sell,2015-06-01,2015-06-07
2015-06-08,5400.0,5400.0,5400.0,5624.5,5625.86959060297,5703.461904761904,6073.5,,45.45314280873503,91.33484672482064,-49.07014188305726,22.42051677997925,11.11111111111111,Sell,2015-06-08,2015-06-14
2015-06-15,5300.0,5301.0,5300.0,5619.5,5594.834391497925,5672.557142857143,6058.5,,43.22920410321747,54.67491137651541,-68.86562925861718,21.49635872064875,0.0,Buy,2015-06-15,2015-06-21
2015-06-22,5450.0,5450.0,5450.0,5619.5,5581.040639926694,5656.414285714286,5868.1,,47.38757442662622,37.295475860019906,-36.83012621560102,20.08133717606208,11.538461538461538,Buy,2015-06-22,2015-06-28
2015-06-29,5450.0,5450.0,5450.0,5619.5,5568.560578981294,5640.271428571428,5712.299999999999,,47.38757442662622,23.25408933444578,-36.83012621560106,18.76738859894588,11.538461538461538,Buy,2015-06-29,2015-07-05
