Date,PoslednaCena,Max,Min,SMA_20,EMA_20,WMA_20,HMA_20,TMA_20,RSI,MACD,CCI,ADX,Stoch,Signal,Start Date,End Date
2014-11-10,699.0,699.0,699.0,,699.0,,,,,,,0.0,,Hold,2014-11-10,2014-11-10
2014-11-11,699.0,699.0,699.0,,699.0,,,,,,,0.0,,Hold,2014-11-11,2014-11-11
2014-11-12,719.0,719.0,700.0,,700.9047619047619,,,,,,,0.0,,Hold,2014-11-12,2014-11-12
2014-11-13,750.0,750.0,750.0,,705.5804988662132,,,,,,,0.0,,Hold,2014-11-13,2014-11-13
2014-11-14,772.0,772.0,693.0,,711.9061656408596,,,,,,,0.0,,Hold,2014-11-14,2014-11-14
2014-11-15,,,,,711.9061656408596,,,,,,,0.0,,Hold,2014-11-15,2014-11-15
2014-11-16,,,,,711.9061656408596,,,,,,,0.0,,Hold,2014-11-16,2014-11-16
2014-11-17,768.0,768.0,768.0,,718.2974279977594,,,,,,,0.0,,Hold,2014-11-17,2014-11-17
2014-11-18,768.0,768.0,768.0,,723.031006283687,,,,,,,0.0,,Hold,2014-11-18,2014-11-18
2014-11-19,768.0,768.0,768.0,,727.3137675900025,,,,,,,0.0,,Hold,2014-11-19,2014-11-19
2014-11-20,710.0,730.0,710.0,,725.6648373433355,,,,,,,0.0,,Hold,2014-11-20,2014-11-20
2014-11-21,767.0,767.0,767.0,,729.6015195011131,,,,,,,0.0,,Hold,2014-11-21,2014-11-21
2014-11-22,,,,,729.6015195011131,,,,,,,0.0,,Hold,2014-11-22,2014-11-22
2014-11-23,,,,,729.6015195011131,,,,64.41622585978749,,,0.0,,Hold,2014-11-23,2014-11-23
2014-11-24,840.0,840.0,750.0,,742.1801863141887,,,,64.41622585978749,,,0.0,,Hold,2014-11-24,2014-11-24
2014-11-25,837.0,837.0,837.0,,751.2106447604565,,,,62.74345251509434,,,0.0,,Hold,2014-11-25,2014-11-25
2014-11-26,837.0,837.0,837.0,,759.3810595451748,,,,62.74345251509433,,,0.0,,Hold,2014-11-26,2014-11-26
2014-11-27,837.0,837.0,836.0,,766.7733395884915,,,,62.74345251509433,,,0.0,,Hold,2014-11-27,2014-11-27
2014-11-28,837.0,837.0,837.0,,773.4615929610161,,,,62.743452515094326,,,0.0,,Hold,2014-11-28,2014-11-28
2014-11-29,,,,,773.4615929610161,,,,62.743452515094326,,,0.0,,Hold,2014-11-29,2014-11-29
2014-11-30,,,,,773.4615929610161,,,,62.743452515094326,,,0.0,,Hold,2014-11-30,2014-11-30
2014-12-01,837.0,837.0,837.0,,780.701080754374,,,,62.743452515094326,,,0.0,,Hold,2014-12-01,2014-12-01
