Date,PoslednaCena,Max,Min,SMA_20,EMA_20,WMA_20,HMA_20,TMA_20,RSI,MACD,CCI,ADX,Stoch,Signal,Start Date,End Date
2014-11-10,2360.0,2360.0,2360.0,,2360.0,,,,,,,0.0,,Hold,2014-11-10,2014-11-10
2014-11-11,2360.0,2360.0,2360.0,,2360.0,,,,,,,0.0,,Hold,2014-11-11,2014-11-11
2014-11-12,2360.0,2360.0,2360.0,,2360.0,,,,,,,0.0,,Hold,2014-11-12,2014-11-12
2014-11-13,2360.0,2360.0,2360.0,,2360.0,,,,,,,0.0,,Hold,2014-11-13,2014-11-13
2014-11-14,2360.0,2360.0,2360.0,,2360.0,,,,,,,0.0,,Hold,2014-11-14,2014-11-14
2014-11-15,,,,,2360.0,,,,,,,0.0,,Hold,2014-11-15,2014-11-15
2014-11-16,,,,,2360.0,,,,,,,0.0,,Hold,2014-11-16,2014-11-16
2014-11-17,2360.0,2360.0,2360.0,,2360.0,,,,,,,0.0,,Hold,2014-11-17,2014-11-17
2014-11-18,2360.0,2360.0,2360.0,,2360.0,,,,,,,0.0,,Hold,2014-11-18,2014-11-18
2014-11-19,2360.0,2360.0,2360.0,,2360.0,,,,,,,0.0,,Hold,2014-11-19,2014-11-19
2014-11-20,2360.0,2360.0,2360.0,,2360.0,,,,,,,0.0,,Hold,2014-11-20,2014-11-20
2014-11-21,2360.0,2360.0,2360.0,,2360.0,,,,,,,0.0,,Hold,2014-11-21,2014-11-21
2014-11-22,,,,,2360.0,,,,,,,0.0,,Hold,2014-11-22,2014-11-22
2014-11-23,,,,,2360.0,,,,100.0,,,0.0,,Sell,2014-11-23,2014-11-23
2014-11-24,2360.0,2360.0,2360.0,,2360.0,,,,100.0,,,0.0,,Sell,2014-11-24,2014-11-24
2014-11-25,2360.0,2360.0,2360.0,,2360.0,,,,100.0,,,0.0,,Sell,2014-11-25,2014-11-25
2014-11-26,2360.0,2360.0,2360.0,,2360.0,,,,100.0,,,0.0,,Sell,2014-11-26,2014-11-26
2014-11-27,2290.0,2290.0,2290.0,,2353.3333333333335,,,,0.0,,,0.0,,Buy,2014-11-27,2014-11-27
2014-11-28,2290.0,2290.0,2290.0,,2347.3015873015875,,,,0.0,,,0.0,,Buy,2014-11-28,2014-11-28
2014-11-29,,,,,2347.3015873015875,,,,0.0,,,0.0,,Buy,2014-11-29,2014-11-29
2014-11-30,,,,,2347.3015873015875,,,,0.0,,,0.0,,Buy,2014-11-30,2014-11-30
2014-12-01,2290.0,2290.0,2290.0,,2340.7727150628584,,,,0.0,,,0.0,,Buy,2014-12-01,2014-12-01
2014-12-02,2300.0,2300.0,2300.0,,2336.889599342586,,,,17.145216178521608,,,0.0,,Buy,2014-12-02,2014-12-02
2014-12-03,,,,,2336.889599342586,,,,17.145216178521608,,,0.0,,Buy,2014-12-03,2014-12-03
2014-12-04,2300.0,2300.0,2300.0,,2333.0450257138305,,,,17.145216178521608,,,0.0,,Buy,2014-12-04,2014-12-04
2014-12-05,2300.0,2300.0,2300.0,,2329.8978804077515,,,,17.145216178521608,,,0.0,,Buy,2014-12-05,2014-12-05
2014-12-06,,,,,2329.8978804077515,,,,17.145216178521608,,,0.0,,Buy,2014-12-06,2014-12-06
2014-12-07,,,,,2329.8978804077515,,,,17.145216178521608,,,,,Buy,2014-12-07,2014-12-07
2014-12-08,,,,,2329.8978804077515,,,,17.145216178521608,,,,,Buy,2014-12-08,2014-12-08
2014-12-09,2300.0,2300.0,2300.0,,2326.1773927737186,,,,17.145216178521608,,,,,Buy,2014-12-09,2014-12-09
2014-12-10,2300.0,2300.0,2300.0,,2323.6843077476506,,,,17.145216178521608,,,,,Buy,2014-12-10,2014-12-10
2014-12-11,2300.0,2300.0,2300.0,,2321.428659390732,,,,17.145216178521608,,,,,Buy,2014-12-11,2014-12-11
2014-12-12,2300.0,2300.0,2300.0,,2319.3878346868523,,,,17.145216178521608,,,,,Buy,2014-12-12,2014-12-12
2014-12-13,,,,,2319.3878346868523,,,,17.145216178521608,,,,,Buy,2014-12-13,2014-12-13
2014-12-14,,,,,2319.3878346868523,,,,17.145216178521608,,,,,Buy,2014-12-14,2014-12-14
2014-12-15,2300.0,2300.0,2300.0,,2317.1788086961787,,,,17.145216178521608,,,,,Buy,2014-12-15,2014-12-15
2014-12-16,2300.0,2300.0,2300.0,,2315.542731677495,,,,17.145216178521608,,,,,Buy,2014-12-16,2014-12-16
2014-12-17,2300.0,2300.0,2300.0,,2314.0624715177337,,,,17.145216178521622,-15.334790206861271,,,,Sell,2014-12-17,2014-12-17
2014-12-18,2300.0,2300.0,2300.0,,2312.7231885160445,,,,17.145216178521608,-14.573740278990044,,,,Sell,2014-12-18,2014-12-18
2014-12-19,2300.0,2300.0,2300.0,,2311.511456276421,,,,17.145216178521608,-13.811393580184813,,,,Sell,2014-12-19,2014-12-19
2014-12-20,,,,,2311.511456276421,,,,17.145216178521608,-13.811393580184813,,,,Sell,2014-12-20,2014-12-20
2014-12-21,,,,,2311.511456276421,,,,17.145216178521608,-13.811393580184813,,,,Sell,2014-12-21,2014-12-21
2014-12-22,2300.0,2300.0,2300.0,,2310.199855134992,,,,17.145216178521608,-13.02682912513319,,,,Sell,2014-12-22,2014-12-22
2014-12-23,1840.0,1840.0,1840.0,,2265.4189165507073,,,,0.44658258930090255,-48.97107308671275,,,,Sell,2014-12-23,2014-12-23
2014-12-24,1840.0,1840.0,1840.0,,2224.902829260164,,,,0.44658258930090255,-76.57444287898534,,,,Sell,2014-12-24,2014-12-24
