Date,PoslednaCena,Max,Min,SMA_20,EMA_20,WMA_20,HMA_20,TMA_20,RSI,MACD,CCI,ADX,Stoch,Signal
08.11.2024,150.0,150.0,150.0,,150.0,,,,,,,0.0,,Hold
07.11.2024,150.0,150.0,150.0,,150.0,,,,,,,0.0,,Hold
06.11.2024,150.0,150.0,150.0,,150.0,,,,,,,0.0,,Hold
05.11.2024,150.0,150.0,150.0,,150.0,,,,,,,0.0,,Hold
04.11.2024,150.0,150.0,150.0,,150.0,,,,,,,0.0,,Hold
01.11.2024,150.0,150.0,150.0,,150.0,,,,,,,0.0,,Hold
31.10.2024,150.0,150.0,150.0,,150.0,,,,,,,0.0,,Hold
30.10.2024,150.0,150.0,150.0,,150.0,,,,,,,0.0,,Hold
29.10.2024,150.0,150.0,150.0,,150.0,,,,,,,0.0,,Hold
28.10.2024,150.0,150.0,150.0,,150.0,,,,,,,0.0,,Hold
25.10.2024,150.0,150.0,150.0,,150.0,,,,,,,0.0,,Hold
24.10.2024,150.0,150.0,150.0,,150.0,,,,,,,0.0,,Hold
22.10.2024,150.0,150.0,150.0,,150.0,,,,,,,0.0,,Hold
21.10.2024,150.0,150.0,150.0,,150.0,,,,100.0,,,0.0,,Sell
18.10.2024,150.0,150.0,150.0,,150.0,,,,100.0,,,0.0,,Sell
17.10.2024,150.0,150.0,150.0,,150.0,,,,100.0,,,0.0,,Sell
16.10.2024,150.0,150.0,150.0,,150.0,,,,100.0,,,0.0,,Sell
15.10.2024,150.0,150.0,150.0,,150.0,,,,100.0,,,0.0,,Sell
14.10.2024,150.0,150.0,150.0,,150.0,,,,100.0,,,0.0,,Sell
10.10.2024,150.0,150.0,150.0,150.0,150.0,150.0,150.0,,100.0,,,0.0,,Sell
09.10.2024,150.0,150.0,150.0,150.0,150.0,150.0,150.0,,100.0,,,0.0,,Sell
08.10.2024,150.0,150.0,150.0,150.0,150.0,150.0,150.0,,100.0,,,0.0,,Sell
07.10.2024,150.0,150.0,150.0,150.0,150.0,150.0,150.0,,100.0,,,0.0,,Sell
04.10.2024,150.0,150.0,150.0,150.0,150.0,150.0,150.0,,100.0,,,0.0,,Sell
03.10.2024,150.0,150.0,150.0,150.0,150.0,150.0,150.0,,100.0,,,0.0,,Sell
02.10.2024,150.0,150.0,150.0,150.0,150.0,150.0,150.0,,100.0,0.0,,0.0,,Sell
01.10.2024,150.0,150.0,150.0,150.0,150.0,150.0,150.0,,100.0,0.0,,0.0,,Sell
30.9.2024,150.0,150.0,150.0,150.0,150.0,150.0,150.0,,100.0,0.0,,0.0,,Sell
27.9.2024,150.0,150.0,150.0,150.0,150.0,150.0,150.0,,100.0,0.0,,0.0,,Sell
26.9.2024,150.0,150.0,150.0,150.0,150.0,150.0,150.0,,100.0,0.0,,0.0,,Sell
25.9.2024,150.0,150.0,150.0,150.0,150.0,150.0,150.0,,100.0,0.0,,0.0,,Sell
24.9.2024,180.0,180.0,180.0,151.5,152.85714285714286,152.85714285714286,154.5,,100.0,2.3931623931623847,666.6666666666667,7.142857142857143,100.0,Sell
23.9.2024,180.0,180.0,180.0,153.0,155.4421768707483,155.57142857142858,159.0,,100.0,4.2408746682251035,333.3333333333333,13.775510204081632,100.0,Sell
20.9.2024,180.0,180.0,180.0,154.5,157.78101716877228,158.14285714285714,163.5,,100.0,5.6401834345195425,222.2222222222222,19.934402332361515,100.0,Sell
19.9.2024,180.0,180.0,180.0,156.0,159.89711077174636,160.57142857142858,168.0,,100.0,6.672232371821224,166.66666666666669,25.653373594335694,100.0,Sell
18.9.2024,180.0,180.0,180.0,157.5,161.81167165062766,162.85714285714286,172.5,,100.0,7.40478088541289,133.33333333333334,30.963846909026,100.0,Sell
17.9.2024,180.0,180.0,180.0,159.0,163.54389339818692,165.0,177.0,,100.0,7.89432993867797,111.11111111111111,35.89500070123843,100.0,Sell
16.9.2024,180.0,180.0,180.0,160.5,165.11114164597865,167.0,181.5,,100.0,8.187915892789647,95.23809523809524,40.47392922257854,100.0,Sell
13.9.2024,180.0,180.0,180.0,162.0,166.52912815588545,168.85714285714286,186.0,152.7,100.0,8.324623795380944,83.33333333333333,44.725791420965784,100.0,Sell
