Date,PoslednaCena,Max,Min,SMA_20,EMA_20,WMA_20,HMA_20,TMA_20,RSI,MACD,CCI,ADX,Stoch,Signal
08.11.2024,12360.0,12360.0,12360.0,,12360.0,,,,,,,0.0,,Hold
07.11.2024,12360.0,12360.0,12360.0,,12360.0,,,,,,,0.0,,Hold
06.11.2024,12360.0,12360.0,12360.0,,12360.0,,,,,,,0.0,,Hold
05.11.2024,12360.0,12360.0,12360.0,,12360.0,,,,,,,0.0,,Hold
04.11.2024,12360.0,12360.0,12360.0,,12360.0,,,,,,,0.0,,Hold
01.11.2024,12360.0,12360.0,12360.0,,12360.0,,,,,,,0.0,,Hold
31.10.2024,12360.0,12360.0,12360.0,,12360.0,,,,,,,0.0,,Hold
30.10.2024,12360.0,12360.0,12360.0,,12360.0,,,,,,,0.0,,Hold
29.10.2024,12360.0,12360.0,12360.0,,12360.0,,,,,,,0.0,,Hold
28.10.2024,12360.0,12360.0,12360.0,,12360.0,,,,,,,0.0,,Hold
25.10.2024,12360.0,12360.0,12360.0,,12360.0,,,,,,,0.0,,Hold
02.1.2020,12360.0,12360.0,12360.0,,12360.0,,,,,,,0.0,,Hold
30.12.2019,12360.0,12360.0,12360.0,,12360.0,,,,,,,0.0,,Hold
27.12.2019,12360.0,12360.0,12360.0,,12360.0,,,,100.0,,,0.0,,Sell
26.12.2019,12360.0,12360.0,12360.0,,12360.0,,,,100.0,,,0.0,,Sell
25.12.2019,12360.0,12360.0,12360.0,,12360.0,,,,100.0,,,0.0,,Sell
24.12.2019,12360.0,12360.0,12360.0,,12360.0,,,,100.0,,,0.0,,Sell
23.12.2019,12360.0,12360.0,12360.0,,12360.0,,,,100.0,,,0.0,,Sell
20.12.2019,12360.0,12360.0,12360.0,,12360.0,,,,100.0,,,0.0,,Sell
19.12.2019,12360.0,12360.0,12360.0,12360.0,12360.0,12360.0,12360.0,,100.0,,,0.0,,Sell
18.12.2019,12360.0,12360.0,12360.0,12360.0,12360.0,12360.0,12360.0,,100.0,,,0.0,,Sell
17.12.2019,12360.0,12360.0,12360.0,12360.0,12360.0,12360.0,12360.0,,100.0,,,0.0,,Sell
16.12.2019,12360.0,12360.0,12360.0,12360.0,12360.0,12360.0,12360.0,,100.0,,,0.0,,Sell
13.12.2019,12360.0,12360.0,12360.0,12360.0,12360.0,12360.0,12360.0,,100.0,,,0.0,,Sell
12.12.2019,12360.0,12360.0,12360.0,12360.0,12360.0,12360.0,12360.0,,100.0,,,0.0,,Sell
11.12.2019,12360.0,12360.0,12360.0,12360.0,12360.0,12360.0,12360.0,,100.0,0.0,,0.0,,Sell
10.12.2019,12360.0,12360.0,12360.0,12360.0,12360.0,12360.0,12360.0,,100.0,0.0,,0.0,,Sell
06.12.2019,12360.0,12360.0,12360.0,12360.0,12360.0,12360.0,12360.0,,100.0,0.0,,0.0,,Sell
05.12.2019,12360.0,12360.0,12360.0,12360.0,12360.0,12360.0,12360.0,,100.0,0.0,,0.0,,Sell
04.12.2019,12360.0,12360.0,12360.0,12360.0,12360.0,12360.0,12360.0,,100.0,0.0,,0.0,,Sell
03.12.2019,12360.0,12360.0,12360.0,12360.0,12360.0,12360.0,12360.0,,100.0,0.0,,0.0,,Sell
02.12.2019,12360.0,12360.0,12360.0,12360.0,12360.0,12360.0,12360.0,,100.0,0.0,,0.0,,Sell
29.11.2019,12360.0,12360.0,12360.0,12360.0,12360.0,12360.0,12360.0,,100.0,0.0,,0.0,,Sell
28.11.2019,12360.0,12360.0,12360.0,12360.0,12360.0,12360.0,12360.0,,100.0,0.0,,0.0,,Sell
27.11.2019,12360.0,12360.0,12360.0,12360.0,12360.0,12360.0,12360.0,,100.0,0.0,,0.0,,Sell
26.11.2019,12360.0,12360.0,12360.0,12360.0,12360.0,12360.0,12360.0,,100.0,0.0,,0.0,,Sell
