Date,PoslednaCena,Max,Min,SMA_20,EMA_20,WMA_20,HMA_20,TMA_20,RSI,MACD,CCI,ADX,Stoch,Signal
08.11.2024,650.0,650.0,650.0,,650.0,,,,,,,0.0,,Hold
07.11.2024,650.0,650.0,650.0,,650.0,,,,,,,0.0,,Hold
06.11.2024,650.0,650.0,650.0,,650.0,,,,,,,0.0,,Hold
05.11.2024,650.0,650.0,650.0,,650.0,,,,,,,0.0,,Hold
04.11.2024,650.0,650.0,650.0,,650.0,,,,,,,0.0,,Hold
01.11.2024,650.0,650.0,650.0,,650.0,,,,,,,0.0,,Hold
31.10.2024,760.0,760.0,760.0,,660.4761904761905,,,,,,,0.0,,Hold
30.10.2024,760.0,760.0,760.0,,669.9546485260771,,,,,,,0.0,,Hold
29.10.2024,760.0,760.0,760.0,,678.5303962854983,,,,,,,0.0,,Hold
28.10.2024,760.0,760.0,760.0,,686.28940616307,,,,,,,0.0,,Hold
25.10.2024,760.0,760.0,760.0,,693.3094627189681,,,,,,,0.0,,Hold
24.10.2024,760.0,760.0,760.0,,699.6609424600188,,,,,,,0.0,,Hold
22.10.2024,760.0,760.0,760.0,,705.4075193685884,,,,,,,0.0,,Hold
21.10.2024,760.0,760.0,760.0,,710.6068032382467,,,,100.0,,,0.0,100.0,Sell
18.10.2024,760.0,760.0,760.0,,715.3109172155565,,,,100.0,,,0.0,100.0,Sell
17.10.2024,760.0,760.0,760.0,,719.5670203378845,,,,100.0,,,0.0,100.0,Sell
16.10.2024,760.0,760.0,760.0,,723.417780305705,,,,100.0,,,0.0,100.0,Sell
15.10.2024,760.0,760.0,760.0,,726.9018012289713,,,,100.0,,,0.0,100.0,Sell
14.10.2024,760.0,760.0,760.0,,730.054010635736,,,,100.0,,,0.0,100.0,Sell
10.10.2024,760.0,760.0,760.0,727.0,732.9060096228087,749.0,793.0,,100.0,,47.61904761904761,0.0,,Sell
09.10.2024,760.0,760.0,760.0,732.5,735.4863896587317,752.1428571428571,787.5,,100.0,,44.44444444444444,0.0,,Sell
08.10.2024,760.0,760.0,760.0,738.0,737.821019215043,754.7619047619048,782.0,,100.0,,41.666666666666664,0.0,,Buy
07.10.2024,760.0,760.0,760.0,743.5,739.9333030993246,756.8571428571429,776.5,,100.0,,39.2156862745098,0.0,,Buy
04.10.2024,760.0,760.0,760.0,749.0,741.8444170898651,758.4285714285714,771.0,,100.0,,37.03703703703704,0.0,,Buy
03.10.2024,760.0,760.0,760.0,754.5,743.5735202241638,759.4761904761905,765.5,,100.0,,35.087719298245624,0.0,,Buy
02.10.2024,760.0,760.0,760.0,760.0,745.1379468694815,760.0,760.0,,100.0,19.706451696434783,,0.0,,Buy
01.10.2024,760.0,760.0,760.0,760.0,746.5533805009595,760.0,760.0,,100.0,18.557335135742505,,0.0,,Buy
30.9.2024,760.0,760.0,760.0,760.0,747.8340109294396,760.0,760.0,,100.0,17.4455505353626,,100.0,,Buy
27.9.2024,760.0,760.0,760.0,760.0,748.9926765552073,760.0,760.0,,100.0,16.375684531812908,,100.0,,Buy
26.9.2024,760.0,760.0,760.0,760.0,750.040993073759,760.0,760.0,,100.0,15.350852938925755,,100.0,,Buy
25.9.2024,760.0,760.0,760.0,760.0,750.9894699238772,760.0,760.0,,100.0,14.372983708727133,,100.0,,Buy
24.9.2024,760.0,760.0,760.0,760.0,751.8476156454127,760.0,760.0,,100.0,13.443052161321134,,100.0,,Buy
23.9.2024,761.0,761.0,761.0,760.05,752.7192712982305,760.0952380952381,760.1500000000001,,100.0,12.641048217782895,666.6666666669857,100.0,100.0,Buy
20.9.2024,761.0,761.0,761.0,760.1,753.5079121269705,760.1857142857143,760.3000000000001,,100.0,11.868640020221278,333.3333333332912,100.0,100.0,Buy
19.9.2024,761.0,761.0,761.0,760.15,754.2214443053542,760.2714285714286,760.4499999999999,,100.0,11.128221745547876,222.22222222224207,100.0,100.0,Buy
18.9.2024,761.0,761.0,761.0,760.2,754.8670210381777,760.3523809523809,760.5999999999999,,100.0,10.421304615868735,166.66666666664298,100.0,100.0,Buy
17.9.2024,761.0,761.0,761.0,760.25,755.4511142726369,760.4285714285714,760.75,,100.0,9.748690857677275,133.33333333333334,100.0,100.0,Buy
16.9.2024,761.0,761.0,761.0,760.3,755.9795795800048,760.5,760.9000000000001,,100.0,9.110618074391368,111.11111111112315,100.0,100.0,Buy
13.9.2024,761.0,761.0,761.0,760.35,756.4577148580996,760.5666666666667,761.0500000000001,754.295,100.0,8.50687879319139,95.23809523809048,100.0,100.0,Buy
12.9.2024,755.0,755.0,755.0,760.1,756.3188848716139,760.0571428571428,760.3000000000001,755.95,62.801690694290414,7.45828672053392,-539.6825396825363,96.40531449631514,0.0,Buy
11.9.2024,755.0,755.0,755.0,759.85,756.1932767886032,759.5714285714286,759.5500000000001,757.3175,62.801690694290414,6.551745504400287,-333.33333333334116,93.06739224289349,0.0,Buy
10.9.2024,755.0,755.0,755.0,759.6,756.0796313801648,759.1095238095238,758.8000000000001,758.3975,62.80169069429041,5.766828648404953,-222.2222222222259,89.96789300757338,0.0,Buy
06.9.2024,755.0,755.0,755.0,759.35,755.9768093439586,758.6714285714286,757.85,759.1899999999999,62.801690694290414,5.086146454694585,-166.66666666666885,87.08978657477614,0.0,Buy
05.9.2024,755.0,755.0,755.0,759.1,755.8837798826293,758.2571428571429,756.9,759.6949999999999,62.801690694290414,4.4948866567197,-133.33333333333482,84.41725917289298,0.0,Buy
04.9.2024,755.0,755.0,755.0,758.85,755.7996103699979,757.8666666666667,755.9499999999999,759.9125,62.801690694290414,3.9804251437000175,-111.11111111111221,81.93562658543007,0.0,Buy
03.9.2024,755.0,755.0,755.0,758.6,755.7234570014267,757.5,754.9999999999999,759.8425,62.80169069429041,3.531996036420196,-95.23809523809611,79.6312534685002,0.0,Buy
02.9.2024,755.0,755.0,755.0,758.35,755.6545563346242,757.1571428571428,754.0500000000001,759.76,62.801690694290414,3.1404120231790102,-83.33333333333404,77.49147843135106,0.0,Buy
30.8.2024,755.0,755.0,755.0,758.1,755.5922176360885,756.8380952380952,753.1,759.665,62.801690694290414,2.797827260403892,-74.07407407407469,75.50454446828398,0.0,Buy
29.8.2024,755.0,755.0,755.0,757.85,755.5358159564611,756.5428571428571,752.15,759.5575,62.801690694290414,2.4975363236383146,-66.6666666666672,73.65953435972172,0.0,Buy
27.8.2024,755.0,755.0,755.0,757.6,755.4847858653695,756.2714285714286,752.4,759.4375,62.801690694290414,2.2338036942791177,-60.6060606060611,71.94631068748531,0.0,Buy
26.8.2024,755.0,755.0,755.0,757.35,755.4386157829534,756.0238095238095,752.65,759.3050000000001,62.801690694290414,2.0017191135071926,-55.555555555556005,70.35546013469437,0.0,Buy
23.8.2024,755.0,755.0,755.0,757.1,755.3968428512436,755.8,752.9,759.1600000000001,62.801690694290414,1.7970748509252417,-51.28205128205172,68.87824176424563,0.0,Buy
22.8.2024,755.0,755.0,755.0,756.8,755.3590482939824,755.6,753.2,758.9975000000001,62.801690694290414,1.6162615414843913,-47.61904761904677,67.50653899168609,,Buy
