Code,Company,Avg_Sentiment,News_Count,First_News,Last_News,Recommendation
PPIV,Прилепска пиварница АД Прилеп,0.191875,10,2024-07-31,2024-12-19,HOLD
USJE,Цементарница УСЈЕ АД Скопје,0.027500000000000007,5,2024-07-31,2024-12-12,HOLD
GTC,ГТЦ АД Скопје,0.015625000000000003,10,2024-07-05,2024-11-11,HOLD
BIM,БИМ АД Свети Николе,0.007499999999999995,5,2024-07-25,2024-10-31,HOLD
PELS,Пелистерка АД Скопје,0.0037500000000000033,10,2024-07-30,2024-11-15,HOLD
EVRO,Европа АД Скопје,-0.007499999999999995,10,2024-07-05,2024-10-30,HOLD
FRUK,Фруктал Мак АД Скопје,-0.02265625,8,2024-07-30,2024-12-20,HOLD
SIL,Силекс АД Кратово,-0.024431818181818176,11,2024-07-12,2024-12-25,HOLD
N/A,Македонија осигурување АД Скопје,-0.025681818181818184,10,2024-07-02,2024-11-19,HOLD
CKB,Централна кооперативна банка АД Скопје,-0.027499999999999997,10,2024-10-17,2024-12-25,HOLD
VITA,Витаминка АД Прилеп,-0.028472222222222218,9,2024-07-30,2024-12-24,HOLD
TTK,ТТК Банка АД Скопје,-0.029687499999999995,12,2024-10-08,2024-12-27,HOLD
VABT,Вабтек МЗТ АД Скопје,-0.032499999999999994,10,2024-07-02,2024-12-20,HOLD
SKP,Скопски Пазар АД Скопје,-0.03749999999999999,7,2024-07-29,2024-10-24,HOLD
STPL,Струмичко поле АД с. Василево,-0.03749999999999999,7,2024-07-31,2024-10-18,HOLD
DSSK,ДС Смитх АД Скопје,-0.03854166666666667,6,2024-08-01,2024-10-28,HOLD
STB,Стопанска банка АД Скопје,-0.041666666666666664,9,2024-07-16,2024-10-30,HOLD
TNB,НЛБ Банка АД Скопје,-0.041874999999999996,10,2024-08-22,2024-11-29,HOLD
NOSK,Нова стоковна куќа АД Струмица,-0.04545454545454545,11,2024-10-03,2024-12-26,HOLD
SDOM,Современ дом АД Прилеп,-0.04642857142857142,7,2024-07-29,2024-11-15,HOLD
RAKT,Раде Кончар - Апаратна техника АД Скопје,-0.048749999999999995,10,2024-07-24,2024-12-18,HOLD
TIKV,ВВ Тиквеш АД Кавадарци,-0.05178571428571428,7,2024-07-09,2024-11-15,HOLD
LIBR,Либерти АД Скопје,-0.05249999999999999,5,2024-07-30,2024-10-18,HOLD
RZIT,РЖ Интер-Трансшпед АД Скопје,-0.05249999999999999,5,2024-07-05,2024-11-18,HOLD
TEL,Македонски Телеком АД Скопје,-0.057291666666666664,6,2024-07-31,2024-10-31,HOLD
KARP,Фабрика Карпош АД Скопје,-0.0578125,4,2024-08-01,2024-11-01,HOLD
UNI,УНИ Банка АД Скопје,-0.05874999999999999,10,2024-07-24,2024-12-27,HOLD
PKBE,"Пекабеско АД Кадино, Илинден",-0.05874999999999999,10,2024-08-07,2024-12-20,HOLD
N/A,Макошпед АД Скопје,-0.06041666666666667,6,2024-08-01,2024-10-28,HOLD
GZRD,Грозд АД Струмица,-0.06041666666666667,3,2024-07-31,2024-10-29,HOLD
RZEK,РЖ Економика АД Скопје,-0.06041666666666667,3,2024-07-26,2024-10-29,HOLD
MERM,Мермерен комбинат АД Прилеп,-0.06041666666666667,3,2024-07-31,2024-10-31,HOLD
RZTK,РЖ Техничка контрола АД Скопје,-0.06041666666666667,3,2024-07-30,2024-10-31,HOLD
AGRO,Агромеханика АД Скопје,-0.06041666666666667,3,2024-08-06,2024-11-01,HOLD
MAKO,Макотекс АД Скопје,-0.06041666666666667,3,2024-07-31,2024-10-30,HOLD
RUBN,Рудници Бањани АД Скопје,-0.06041666666666667,3,2024-07-29,2024-10-30,HOLD
HAMZ,Оранжерии Хамзали АД Струмица,-0.06041666666666667,3,2024-07-22,2024-10-16,HOLD
MZPU,МЗТ Пумпи АД Скопје,-0.06041666666666667,3,2024-07-31,2024-10-30,HOLD
LOTO,Лотарија на Македонија АД Скопје,-0.06041666666666667,6,2024-07-31,2024-10-31,HOLD
SIGS,Сигурносно стакло АД Прилеп,-0.06041666666666667,3,2024-07-30,2024-10-28,HOLD
TEAL,ТЕАЛ АД Тетово,-0.06041666666666667,3,2024-07-30,2024-10-31,HOLD
DEBA,Дебарски бањи - Цапа АД Дебар,-0.06041666666666667,3,2024-07-30,2024-10-30,HOLD
SBT,Стопанска банка АД Битола,-0.06187499999999999,10,2024-08-01,2024-10-25,HOLD
DIMI,Димко Митрев АД Велес,-0.0625,5,2024-07-29,2024-11-01,HOLD
GECT,Герас Цунев Трговија АД Струмица,-0.06499999999999999,10,2024-07-25,2024-12-13,HOLD
IHLS,Интернешнел Хотелс АД Скопје,-0.06499999999999999,5,2024-07-01,2024-10-31,HOLD
SNBT,СН Осигурителен Брокер АД Битола,-0.06517857142857143,7,2024-07-02,2024-11-01,HOLD
NEME,Неметали Огражден АД Струмица,-0.06527777777777777,9,2024-07-26,2024-11-15,HOLD
ZILU,Жито Лукс АД Скопје,-0.06562499999999999,4,2024-07-31,2024-10-30,HOLD
UGOT,Уготур АД Скопје,-0.06562499999999999,4,2024-07-31,2024-10-31,HOLD
TRGT,Трготекстил малопродажба АД Скопје,-0.06562499999999999,4,2024-07-31,2024-10-31,HOLD
INPR,Интерпромет АД Тетово,-0.06562499999999999,4,2024-07-26,2024-10-18,HOLD
VTKS,Ветекс АД Велес,-0.06562499999999999,4,2024-07-17,2024-10-30,HOLD
KLAN,Кланица со ладилник АД Струмица,-0.06562499999999999,4,2024-07-24,2024-10-29,HOLD
GDTV,ГД Тиквеш АД Кавадарци,-0.06562499999999999,4,2024-07-26,2024-10-31,HOLD
ANGT,Ангропромет Тиквешанка АД Кавадарци,-0.06562499999999999,4,2024-07-26,2024-10-30,HOLD
POPK,Попова кула АД Демир Капија,-0.06562499999999999,4,2024-07-25,2024-10-31,HOLD
FUBT,Фустеларко Борец АД Битола,-0.06562499999999999,4,2024-07-29,2024-10-29,HOLD
MPOL,Хотели-Метропол АД Охрид,-0.06562499999999999,4,2024-07-31,2024-10-31,HOLD
TRNS,Патнички сообраќај - Транскоп АД Битола,-0.06562499999999999,4,2024-07-31,2024-10-31,HOLD
MPRO,Макпромет АД Штип,-0.06562499999999999,8,2024-07-26,2024-11-15,HOLD
MODA,Мода АД Свети Николе,-0.06562499999999999,4,2024-07-23,2024-12-25,HOLD
ZAS,ЖАС АД Скопје,-0.06562499999999999,4,2024-07-23,2024-10-25,HOLD
TEKO,Технокомерц АД Скопје,-0.065625,6,2024-07-30,2024-11-11,HOLD
ZPEL,ЗК Пелагонија АД Битола,-0.06687499999999999,10,2024-07-30,2024-11-15,HOLD
FAKM,Факом АД Скопје,-0.06736111111111111,9,2024-08-01,2024-12-25,HOLD
ADIN,Адинг АД Скопје,-0.06736111111111111,9,2024-07-24,2024-10-28,HOLD
GRNT,Гранит АД Скопје,-0.06736111111111111,9,2024-07-31,2024-11-15,HOLD
FERS,Фершпед АД Скопје,-0.06736111111111111,9,2024-07-05,2024-11-15,HOLD
AUTM,Аутомакедонија АД Скопје,-0.06875,10,2024-07-31,2024-12-03,HOLD
KRIS,Кристал 1923 АД Велес,-0.06875,5,2024-07-30,2024-10-31,HOLD
OILK,ОИЛКО КДА Скопје,-0.06875,5,2024-07-31,2024-12-20,HOLD
SLAV,Славеј АД Скопје,-0.07083333333333332,6,2024-07-30,2024-10-31,HOLD
MAKP,Макпетрол АД Скопје,-0.07083333333333332,12,2024-07-31,2024-12-27,HOLD
ALK,Алкалоид АД Скопје,-0.07499999999999998,10,2024-10-31,2024-12-18,HOLD
OKTA,ОКТА АД Скопје,-0.07812499999999999,10,2024-10-03,2024-10-31,HOLD
MAKS,Макстил АД Скопје,-0.07812499999999999,10,2024-09-26,2024-11-22,HOLD
KMB,Комерцијална Банка АД Скопје,-0.07812499999999999,10,2024-08-12,2024-10-30,HOLD
MTUR,Македонијатурист АД Скопје,-0.08124999999999999,12,2024-12-04,2024-12-25,HOLD
REPL,Реплек АД Скопје,-0.08124999999999999,10,2024-11-06,2024-12-24,HOLD
