Name,Date,PoslednaCena,Max,Min,ProsecnaCena,%Prom,Kolicina,Promet,Vkupno
OKTA,08.11.2024,5919.0,5919.0,5919.0,5919.0,0.0,0.0,0.0,0.0
OKTA,07.11.2024,5919.0,5919.0,5919.0,5919.0,0.0,0.0,0.0,0.0
OKTA,06.11.2024,5919.0,5919.0,5919.0,5919.0,0.0,0.0,0.0,0.0
OKTA,05.11.2024,5919.0,5919.0,5919.0,5919.0,0.0,0.0,0.0,0.0
OKTA,04.11.2024,5919.0,5919.0,5919.0,5919.0,0.0,0.0,0.0,0.0
OKTA,01.11.2024,5919.0,5919.0,5919.0,5919.0,0.0,0.0,0.0,0.0
OKTA,31.10.2024,5919.0,5919.0,5919.0,5919.0,0.0,0.0,0.0,0.0
OKTA,30.10.2024,5919.0,5919.0,5919.0,5919.0,0.0,0.0,0.0,0.0
OKTA,29.10.2024,5919.0,5919.0,5919.0,5919.0,0.0,0.0,0.0,0.0
OKTA,28.10.2024,5919.0,5919.0,5919.0,5919.0,0.0,0.0,0.0,0.0
OKTA,25.10.2024,5919.0,5919.0,5919.0,5919.0,0.0,0.0,0.0,0.0
OKTA,24.10.2024,5919.0,5919.0,5919.0,5919.0,0.0,133.0,787227.0,787227.0
OKTA,22.10.2024,5919.0,5919.0,5919.0,5919.0,0.0,132.0,781308.0,781308.0
OKTA,21.10.2024,5919.0,5920.0,5919.0,5919.22,0.0,276.0,1633704.0,1633704.0
OKTA,18.10.2024,5919.0,5919.0,5919.0,5919.0,0.0,109.0,645171.0,645171.0
OKTA,17.10.2024,5919.0,5919.0,5919.0,5919.0,0.04,132.0,781308.0,781308.0
OKTA,16.10.2024,5919.0,5919.0,5850.0,5916.49,-0.04,3.208,18980097.0,18980097.0
OKTA,15.10.2024,5919.0,5919.0,5919.0,5919.0,0.0,0.0,0.0,0.0
OKTA,14.10.2024,5919.0,5919.0,5919.0,5919.0,0.0,0.0,0.0,0.0
OKTA,10.10.2024,5919.0,5919.0,5919.0,5919.0,0.0,0.0,0.0,0.0
OKTA,09.10.2024,5919.0,5919.0,5919.0,5919.0,0.0,0.0,0.0,0.0
OKTA,08.10.2024,5919.0,5919.0,5919.0,5919.0,0.0,0.0,0.0,0.0
OKTA,07.10.2024,5919.0,5919.0,5919.0,5919.0,0.0,0.0,0.0,0.0
OKTA,04.10.2024,5919.0,5919.0,5919.0,5919.0,0.0,0.0,0.0,0.0
