Name,Date,PoslednaCena,Max,Min,ProsecnaCena,%Prom,Kolicina,Promet,Vkupno
SIL,08.11.2024,70.0,70.0,70.0,70.0,0.0,0.0,0.0,0.0
SIL,07.11.2024,70.0,70.0,70.0,70.0,0.0,0.0,0.0,0.0
SIL,06.11.2024,70.0,70.0,70.0,70.0,0.0,0.0,0.0,0.0
SIL,05.11.2024,70.0,70.0,70.0,70.0,0.0,0.0,0.0,0.0
SIL,04.11.2024,70.0,70.0,70.0,70.0,0.0,0.0,0.0,0.0
SIL,01.11.2024,70.0,70.0,70.0,70.0,0.0,0.0,0.0,0.0
SIL,31.10.2024,70.0,70.0,70.0,70.0,0.0,0.0,0.0,0.0
SIL,30.10.2024,70.0,70.0,70.0,70.0,0.0,0.0,0.0,0.0
SIL,29.10.2024,70.0,70.0,70.0,70.0,0.0,0.0,0.0,0.0
SIL,28.10.2024,70.0,70.0,70.0,70.0,0.0,0.0,0.0,0.0
SIL,25.10.2024,70.0,70.0,70.0,70.0,0.0,0.0,0.0,0.0
SIL,24.10.2024,70.0,70.0,70.0,70.0,0.0,0.0,0.0,0.0
SIL,22.10.2024,70.0,70.0,70.0,70.0,0.0,0.0,0.0,0.0
SIL,21.10.2024,70.0,70.0,70.0,70.0,0.0,0.0,0.0,0.0
SIL,18.10.2024,70.0,70.0,70.0,70.0,0.0,0.0,0.0,0.0
SIL,17.10.2024,70.0,70.0,70.0,70.0,0.0,0.0,0.0,0.0
SIL,16.10.2024,70.0,70.0,70.0,70.0,0.0,0.0,0.0,0.0
SIL,15.10.2024,70.0,70.0,70.0,70.0,0.0,0.0,0.0,0.0
SIL,14.10.2024,70.0,70.0,70.0,70.0,0.0,0.0,0.0,0.0
SIL,10.10.2024,70.0,70.0,70.0,70.0,0.0,0.0,0.0,0.0
SIL,09.10.2024,70.0,70.0,70.0,70.0,0.0,0.0,0.0,0.0
SIL,08.10.2024,70.0,70.0,70.0,70.0,0.0,0.0,0.0,0.0
SIL,07.10.2024,70.0,70.0,70.0,70.0,0.0,0.0,0.0,0.0
SIL,04.10.2024,70.0,70.0,70.0,70.0,0.0,0.0,0.0,0.0
SIL,03.10.2024,70.0,70.0,70.0,70.0,0.0,0.0,0.0,0.0
SIL,02.10.2024,70.0,70.0,70.0,70.0,0.0,0.0,0.0,0.0
