Name,Date,PoslednaCena,Max,Min,ProsecnaCena,%Prom,Kolicina,Promet,Vkupno
SNBTO,08.11.2024,90.0,90.0,90.0,90.0,0.0,0.0,0.0,0.0
SNBTO,07.11.2024,90.0,90.0,90.0,90.0,0.0,0.0,0.0,0.0
SNBTO,06.11.2024,90.0,90.0,90.0,90.0,0.0,0.0,0.0,0.0
SNBTO,05.11.2024,90.0,90.0,90.0,90.0,0.0,0.0,0.0,0.0
SNBTO,04.11.2024,90.0,90.0,90.0,90.0,0.0,0.0,0.0,0.0
SNBTO,01.11.2024,90.0,90.0,90.0,90.0,0.0,0.0,0.0,0.0
SNBTO,31.10.2024,90.0,90.0,90.0,90.0,0.0,0.0,0.0,0.0
SNBTO,30.10.2024,90.0,90.0,90.0,90.0,0.0,0.0,0.0,0.0
SNBTO,29.10.2024,90.0,90.0,90.0,90.0,0.0,0.0,0.0,0.0
SNBTO,28.10.2024,90.0,90.0,90.0,90.0,0.0,0.0,0.0,0.0
SNBTO,25.10.2024,90.0,90.0,90.0,90.0,0.0,0.0,0.0,0.0
SNBTO,24.10.2024,90.0,90.0,90.0,90.0,0.0,0.0,0.0,0.0
SNBTO,22.10.2024,90.0,90.0,90.0,90.0,0.0,0.0,0.0,0.0
SNBTO,21.10.2024,90.0,90.0,90.0,90.0,0.0,0.0,0.0,0.0
SNBTO,18.10.2024,90.0,90.0,90.0,90.0,0.0,0.0,0.0,0.0
SNBTO,17.10.2024,90.0,90.0,90.0,90.0,0.0,0.0,0.0,0.0
SNBTO,16.10.2024,90.0,90.0,90.0,90.0,0.0,0.0,0.0,0.0
SNBTO,15.10.2024,90.0,90.0,90.0,90.0,0.0,0.0,0.0,0.0
SNBTO,14.10.2024,90.0,90.0,90.0,90.0,0.0,0.0,0.0,0.0
SNBTO,10.10.2024,90.0,90.0,90.0,90.0,0.0,0.0,0.0,0.0
SNBTO,09.10.2024,90.0,90.0,90.0,90.0,0.0,0.0,0.0,0.0
SNBTO,08.10.2024,90.0,90.0,90.0,90.0,0.0,0.0,0.0,0.0
SNBTO,07.10.2024,90.0,90.0,90.0,90.0,0.0,0.0,0.0,0.0
SNBTO,04.10.2024,90.0,90.0,90.0,90.0,0.0,0.0,0.0,0.0
SNBTO,03.10.2024,90.0,90.0,90.0,90.0,0.0,0.0,0.0,0.0
SNBTO,02.10.2024,90.0,90.0,90.0,90.0,0.0,0.0,0.0,0.0
SNBTO,01.10.2024,90.0,90.0,90.0,90.0,0.0,0.0,0.0,0.0
SNBTO,30.9.2024,90.0,90.0,90.0,90.0,0.0,0.0,0.0,0.0
SNBTO,27.9.2024,90.0,90.0,90.0,90.0,0.0,0.0,0.0,0.0
SNBTO,26.9.2024,90.0,90.0,90.0,90.0,0.0,0.0,0.0,0.0
SNBTO,25.9.2024,90.0,90.0,90.0,90.0,0.0,0.0,0.0,0.0
SNBTO,24.9.2024,90.0,90.0,90.0,90.0,0.0,0.0,0.0,0.0
SNBTO,23.9.2024,90.0,90.0,90.0,90.0,0.0,0.0,0.0,0.0
SNBTO,20.9.2024,90.0,90.0,90.0,90.0,0.0,0.0,0.0,0.0
SNBTO,19.9.2024,90.0,90.0,90.0,90.0,0.0,0.0,0.0,0.0
SNBTO,18.9.2024,90.0,90.0,90.0,90.0,0.0,0.0,0.0,0.0
SNBTO,17.9.2024,90.0,90.0,90.0,90.0,0.0,0.0,0.0,0.0
SNBTO,16.9.2024,90.0,90.0,90.0,90.0,0.0,0.0,0.0,0.0
SNBTO,13.9.2024,90.0,90.0,90.0,90.0,0.0,0.0,0.0,0.0
SNBTO,12.9.2024,90.0,90.0,90.0,90.0,0.0,0.0,0.0,0.0
SNBTO,11.9.2024,90.0,90.0,90.0,90.0,0.0,0.0,0.0,0.0
SNBTO,10.9.2024,90.0,90.0,90.0,90.0,0.0,0.0,0.0,0.0
SNBTO,06.9.2024,90.0,90.0,90.0,90.0,0.0,0.0,0.0,0.0
SNBTO,05.9.2024,90.0,90.0,90.0,90.0,0.0,0.0,0.0,0.0
SNBTO,04.9.2024,90.0,90.0,90.0,90.0,0.0,0.0,0.0,0.0
SNBTO,03.9.2024,90.0,90.0,90.0,90.0,0.0,0.0,0.0,0.0
SNBTO,02.9.2024,90.0,90.0,90.0,90.0,0.0,0.0,0.0,0.0
SNBTO,30.8.2024,90.0,90.0,90.0,90.0,0.0,0.0,0.0,0.0
SNBTO,29.8.2024,90.0,90.0,90.0,90.0,0.0,0.0,0.0,0.0
SNBTO,27.8.2024,90.0,90.0,90.0,90.0,0.0,0.0,0.0,0.0
SNBTO,26.8.2024,90.0,90.0,90.0,90.0,0.0,0.0,0.0,0.0
SNBTO,23.8.2024,90.0,90.0,90.0,90.0,0.0,0.0,0.0,0.0
SNBTO,22.8.2024,90.0,90.0,90.0,90.0,0.0,0.0,0.0,0.0
SNBTO,21.8.2024,90.0,90.0,90.0,90.0,0.0,0.0,0.0,0.0
SNBTO,20.8.2024,90.0,90.0,90.0,90.0,0.0,0.0,0.0,0.0
SNBTO,19.8.2024,90.0,90.0,90.0,90.0,0.0,0.0,0.0,0.0
SNBTO,16.8.2024,90.0,90.0,90.0,90.0,0.0,0.0,0.0,0.0
SNBTO,15.8.2024,90.0,90.0,90.0,90.0,0.0,0.0,0.0,0.0
SNBTO,14.8.2024,90.0,90.0,90.0,90.0,0.0,0.0,0.0,0.0
SNBTO,13.8.2024,90.0,90.0,90.0,90.0,0.0,0.0,0.0,0.0
SNBTO,12.8.2024,90.0,90.0,90.0,90.0,0.0,0.0,0.0,0.0
SNBTO,09.8.2024,90.0,90.0,90.0,90.0,0.0,0.0,0.0,0.0
SNBTO,08.8.2024,90.0,90.0,90.0,90.0,0.0,0.0,0.0,0.0
SNBTO,07.8.2024,90.0,90.0,90.0,90.0,0.0,0.0,0.0,0.0
