Name,Date,PoslednaCena,Max,Min,ProsecnaCena,%Prom,Kolicina,Promet,Vkupno
ZILU,08.11.2024,80.0,80.0,80.0,80.0,0.0,0.0,0.0,0.0
ZILU,07.11.2024,80.0,80.0,80.0,80.0,0.0,0.0,0.0,0.0
ZILU,06.11.2024,80.0,80.0,80.0,80.0,0.0,0.0,0.0,0.0
ZILU,05.11.2024,80.0,80.0,80.0,80.0,0.0,0.0,0.0,0.0
ZILU,04.11.2024,80.0,80.0,80.0,80.0,0.0,0.0,0.0,0.0
ZILU,01.11.2024,80.0,80.0,80.0,80.0,0.0,0.0,0.0,0.0
ZILU,31.10.2024,80.0,80.0,80.0,80.0,0.0,0.0,0.0,0.0
ZILU,30.10.2024,80.0,80.0,80.0,80.0,0.0,75.0,6000.0,6000.0
ZILU,29.10.2024,80.0,80.0,80.0,80.0,0.0,0.0,0.0,0.0
ZILU,28.10.2024,80.0,80.0,80.0,80.0,0.0,0.0,0.0,0.0
ZILU,25.10.2024,80.0,80.0,80.0,80.0,0.0,0.0,0.0,0.0
ZILU,24.10.2024,80.0,80.0,80.0,80.0,0.0,0.0,0.0,0.0
ZILU,22.10.2024,80.0,80.0,80.0,80.0,0.0,0.0,0.0,0.0
ZILU,21.10.2024,80.0,80.0,80.0,80.0,0.0,0.0,0.0,0.0
ZILU,18.10.2024,80.0,80.0,80.0,80.0,0.0,0.0,0.0,0.0
ZILU,17.10.2024,80.0,80.0,80.0,80.0,0.0,0.0,0.0,0.0
ZILU,16.10.2024,80.0,80.0,80.0,80.0,0.0,0.0,0.0,0.0
ZILU,15.10.2024,80.0,80.0,80.0,80.0,0.0,0.0,0.0,0.0
ZILU,14.10.2024,80.0,80.0,80.0,80.0,0.0,0.0,0.0,0.0
ZILU,10.10.2024,80.0,80.0,80.0,80.0,0.0,0.0,0.0,0.0
ZILU,09.10.2024,80.0,80.0,80.0,80.0,0.0,0.0,0.0,0.0
ZILU,08.10.2024,80.0,80.0,80.0,80.0,0.0,0.0,0.0,0.0
ZILU,07.10.2024,80.0,80.0,80.0,80.0,0.0,0.0,0.0,0.0
ZILU,04.10.2024,80.0,80.0,80.0,80.0,0.0,0.0,0.0,0.0
ZILU,03.10.2024,80.0,80.0,80.0,80.0,0.0,0.0,0.0,0.0
ZILU,02.10.2024,80.0,80.0,80.0,80.0,0.0,0.0,0.0,0.0
ZILU,01.10.2024,80.0,80.0,80.0,80.0,0.0,0.0,0.0,0.0
ZILU,30.9.2024,80.0,80.0,80.0,80.0,0.0,0.0,0.0,0.0
ZILU,27.9.2024,80.0,80.0,80.0,80.0,0.0,0.0,0.0,0.0
ZILU,26.9.2024,80.0,80.0,80.0,80.0,0.0,0.0,0.0,0.0
ZILU,25.9.2024,80.0,80.0,80.0,80.0,0.0,0.0,0.0,0.0
ZILU,24.9.2024,80.0,80.0,80.0,80.0,0.0,0.0,0.0,0.0
ZILU,23.9.2024,80.0,80.0,80.0,80.0,0.0,0.0,0.0,0.0
ZILU,20.9.2024,80.0,80.0,80.0,80.0,0.0,0.0,0.0,0.0
ZILU,19.9.2024,80.0,80.0,80.0,80.0,0.0,0.0,0.0,0.0
ZILU,18.9.2024,80.0,80.0,80.0,80.0,0.0,0.0,0.0,0.0
ZILU,17.9.2024,80.0,80.0,80.0,80.0,0.0,0.0,0.0,0.0
ZILU,16.9.2024,80.0,80.0,80.0,80.0,0.0,0.0,0.0,0.0
ZILU,13.9.2024,80.0,80.0,80.0,80.0,0.0,0.0,0.0,0.0
ZILU,12.9.2024,80.0,80.0,80.0,80.0,0.0,0.0,0.0,0.0
ZILU,11.9.2024,80.0,80.0,80.0,80.0,0.0,0.0,0.0,0.0
ZILU,10.9.2024,80.0,80.0,80.0,80.0,0.0,0.0,0.0,0.0
ZILU,06.9.2024,80.0,80.0,80.0,80.0,0.0,0.0,0.0,0.0
ZILU,05.9.2024,80.0,80.0,80.0,80.0,0.0,0.0,0.0,0.0
ZILU,04.9.2024,80.0,80.0,80.0,80.0,0.0,0.0,0.0,0.0
ZILU,03.9.2024,80.0,80.0,80.0,80.0,0.0,0.0,0.0,0.0
ZILU,02.9.2024,80.0,80.0,80.0,80.0,0.0,0.0,0.0,0.0
ZILU,30.8.2024,80.0,80.0,80.0,80.0,0.0,0.0,0.0,0.0
ZILU,29.8.2024,80.0,80.0,80.0,80.0,0.0,0.0,0.0,0.0
ZILU,27.8.2024,80.0,80.0,80.0,80.0,0.0,0.0,0.0,0.0
ZILU,26.8.2024,80.0,80.0,80.0,80.0,0.0,0.0,0.0,0.0
ZILU,23.8.2024,80.0,80.0,80.0,80.0,0.0,0.0,0.0,0.0
ZILU,22.8.2024,80.0,80.0,80.0,80.0,0.0,0.0,0.0,0.0
ZILU,21.8.2024,80.0,80.0,80.0,80.0,0.0,0.0,0.0,0.0
ZILU,20.8.2024,80.0,80.0,80.0,80.0,0.0,0.0,0.0,0.0
ZILU,19.8.2024,80.0,80.0,80.0,80.0,0.0,0.0,0.0,0.0
ZILU,16.8.2024,80.0,80.0,80.0,80.0,0.0,0.0,0.0,0.0
ZILU,15.8.2024,80.0,80.0,80.0,80.0,0.0,0.0,0.0,0.0
ZILU,14.8.2024,80.0,80.0,80.0,80.0,0.0,0.0,0.0,0.0
ZILU,13.8.2024,80.0,80.0,80.0,80.0,0.0,0.0,0.0,0.0
ZILU,12.8.2024,80.0,80.0,80.0,80.0,0.0,0.0,0.0,0.0
ZILU,09.8.2024,80.0,80.0,80.0,80.0,0.0,0.0,0.0,0.0
ZILU,08.8.2024,80.0,80.0,80.0,80.0,0.0,0.0,0.0,0.0
ZILU,07.8.2024,80.0,80.0,80.0,80.0,0.0,0.0,0.0,0.0
ZILU,06.8.2024,80.0,80.0,80.0,80.0,0.0,0.0,0.0,0.0
ZILU,05.8.2024,80.0,80.0,80.0,80.0,0.0,0.0,0.0,0.0
ZILU,01.8.2024,80.0,80.0,80.0,80.0,0.0,0.0,0.0,0.0
ZILU,31.7.2024,80.0,80.0,80.0,80.0,0.0,0.0,0.0,0.0
ZILU,30.7.2024,80.0,80.0,80.0,80.0,0.0,0.0,0.0,0.0
ZILU,29.7.2024,80.0,80.0,80.0,80.0,0.0,0.0,0.0,0.0
ZILU,26.7.2024,80.0,80.0,80.0,80.0,0.0,0.0,0.0,0.0
ZILU,25.7.2024,80.0,80.0,80.0,80.0,0.0,0.0,0.0,0.0
ZILU,24.7.2024,80.0,80.0,80.0,80.0,0.0,0.0,0.0,0.0
ZILU,23.7.2024,80.0,80.0,80.0,80.0,0.0,0.0,0.0,0.0
ZILU,22.7.2024,80.0,80.0,80.0,80.0,0.0,0.0,0.0,0.0
ZILU,19.7.2024,80.0,80.0,80.0,80.0,0.0,0.0,0.0,0.0
ZILU,18.7.2024,80.0,80.0,80.0,80.0,0.0,0.0,0.0,0.0
ZILU,17.7.2024,80.0,80.0,80.0,80.0,0.0,0.0,0.0,0.0
ZILU,16.7.2024,80.0,80.0,80.0,80.0,0.0,0.0,0.0,0.0
ZILU,15.7.2024,80.0,80.0,80.0,80.0,0.0,0.0,0.0,0.0
ZILU,12.7.2024,80.0,80.0,80.0,80.0,0.0,0.0,0.0,0.0
ZILU,11.7.2024,80.0,80.0,80.0,80.0,0.0,0.0,0.0,0.0
ZILU,10.7.2024,80.0,80.0,80.0,80.0,0.0,0.0,0.0,0.0
ZILU,09.7.2024,80.0,80.0,80.0,80.0,0.0,0.0,0.0,0.0
ZILU,08.7.2024,80.0,80.0,80.0,80.0,0.0,0.0,0.0,0.0
ZILU,05.7.2024,80.0,80.0,80.0,80.0,0.0,0.0,0.0,0.0
ZILU,04.7.2024,80.0,80.0,80.0,80.0,0.0,0.0,0.0,0.0
ZILU,03.7.2024,80.0,80.0,80.0,80.0,0.0,0.0,0.0,0.0
ZILU,02.7.2024,80.0,80.0,80.0,80.0,0.0,0.0,0.0,0.0
ZILU,01.7.2024,80.0,80.0,80.0,80.0,0.0,0.0,0.0,0.0
ZILU,28.6.2024,80.0,80.0,80.0,80.0,0.0,0.0,0.0,0.0
ZILU,27.6.2024,80.0,80.0,80.0,80.0,0.0,0.0,0.0,0.0
ZILU,26.6.2024,80.0,80.0,80.0,80.0,0.0,0.0,0.0,0.0
ZILU,25.6.2024,80.0,80.0,80.0,80.0,0.0,0.0,0.0,0.0
ZILU,24.6.2024,80.0,80.0,80.0,80.0,0.0,0.0,0.0,0.0
ZILU,20.6.2024,80.0,80.0,80.0,80.0,0.0,0.0,0.0,0.0
ZILU,19.6.2024,80.0,80.0,80.0,80.0,0.0,0.0,0.0,0.0
ZILU,18.6.2024,80.0,80.0,80.0,80.0,0.0,0.0,0.0,0.0
ZILU,17.6.2024,80.0,80.0,80.0,80.0,0.0,0.0,0.0,0.0
ZILU,14.6.2024,80.0,80.0,80.0,80.0,0.0,0.0,0.0,0.0
ZILU,13.6.2024,80.0,80.0,80.0,80.0,0.0,0.0,0.0,0.0
ZILU,12.6.2024,80.0,80.0,80.0,80.0,0.0,0.0,0.0,0.0
ZILU,11.6.2024,80.0,80.0,80.0,80.0,0.0,0.0,0.0,0.0
ZILU,10.6.2024,80.0,80.0,80.0,80.0,0.0,0.0,0.0,0.0
ZILU,07.6.2024,80.0,80.0,80.0,80.0,0.0,0.0,0.0,0.0
ZILU,06.6.2024,80.0,80.0,80.0,80.0,0.0,0.0,0.0,0.0
ZILU,05.6.2024,80.0,80.0,80.0,80.0,0.0,0.0,0.0,0.0
ZILU,04.6.2024,80.0,80.0,80.0,80.0,0.0,0.0,0.0,0.0
ZILU,03.6.2024,80.0,80.0,80.0,80.0,0.0,0.0,0.0,0.0
ZILU,31.5.2024,80.0,80.0,80.0,80.0,0.0,0.0,0.0,0.0
ZILU,30.5.2024,80.0,80.0,80.0,80.0,0.0,0.0,0.0,0.0
ZILU,29.5.2024,80.0,80.0,80.0,80.0,0.0,0.0,0.0,0.0
ZILU,28.5.2024,80.0,80.0,80.0,80.0,0.0,0.0,0.0,0.0
ZILU,27.5.2024,80.0,80.0,80.0,80.0,0.0,0.0,0.0,0.0
ZILU,23.5.2024,80.0,80.0,80.0,80.0,0.0,0.0,0.0,0.0
ZILU,22.5.2024,80.0,80.0,80.0,80.0,0.0,0.0,0.0,0.0
ZILU,21.5.2024,80.0,80.0,80.0,80.0,0.0,0.0,0.0,0.0
ZILU,20.5.2024,80.0,80.0,80.0,80.0,0.0,0.0,0.0,0.0
ZILU,17.5.2024,80.0,80.0,80.0,80.0,0.0,0.0,0.0,0.0
ZILU,16.5.2024,80.0,80.0,80.0,80.0,0.0,0.0,0.0,0.0
ZILU,15.5.2024,80.0,80.0,80.0,80.0,0.0,0.0,0.0,0.0
ZILU,14.5.2024,80.0,80.0,80.0,80.0,0.0,0.0,0.0,0.0
ZILU,13.5.2024,80.0,80.0,80.0,80.0,0.0,0.0,0.0,0.0
ZILU,10.5.2024,80.0,80.0,80.0,80.0,0.0,0.0,0.0,0.0
ZILU,09.5.2024,80.0,80.0,80.0,80.0,0.0,0.0,0.0,0.0
ZILU,07.5.2024,80.0,80.0,80.0,80.0,0.0,0.0,0.0,0.0
