Name,Date,PoslednaCena,Max,Min,ProsecnaCena,%Prom,Kolicina,Promet,Vkupno
ALK,08.11.2024,23299.0,23400.0,23010.0,23193.84,0.85,64.0,1484406.0,1484406.0
ALK,07.11.2024,23000.0,23000.0,22990.0,22997.62,2.28,130.0,2989691.0,2989691.0
ALK,06.11.2024,22500.0,22502.0,22301.0,22484.06,0.83,187.0,4204519.0,4204519.0
ALK,05.11.2024,22300.0,22300.0,22298.0,22299.74,0.03,3.434,76577300.0,76577300.0
ALK,04.11.2024,22300.0,22300.0,22250.0,22293.98,-0.1,408.0,9095944.0,9095944.0
ALK,01.11.2024,22300.0,22351.0,22300.0,22316.35,0.11,712.0,15889243.0,26615543.0
ALK,31.10.2024,22250.0,22310.0,22250.0,22291.33,0.19,218.0,4859510.0,4859510.0
ALK,30.10.2024,22250.0,22250.0,22250.0,22250.0,-0.01,86.0,1913500.0,1913500.0
ALK,29.10.2024,22200.0,22260.0,22200.0,22252.0,-0.07,125.0,2781500.0,2781500.0
ALK,28.10.2024,22300.0,22350.0,22250.0,22266.81,0.18,111.0,2471616.0,2471616.0
ALK,25.10.2024,22200.0,22251.0,22200.0,22225.74,-0.08,339.0,7534525.0,7534525.0
ALK,24.10.2024,22250.0,22251.0,22200.0,22243.51,-0.2,359.0,7985420.0,7985420.0
ALK,22.10.2024,22250.0,22500.0,22200.0,22288.64,0.06,78.0,1738514.0,1738514.0
ALK,21.10.2024,22250.0,22300.0,22200.0,22274.43,0.09,298.0,6637780.0,6637780.0
ALK,18.10.2024,22250.0,22300.0,22249.0,22254.15,0.04,222.0,4940421.0,4940421.0
ALK,17.10.2024,22250.0,22296.0,22160.0,22246.02,0.47,317.0,7051987.0,7051987.0
ALK,16.10.2024,22295.0,22295.0,22100.0,22140.92,-0.45,74.0,1638428.0,1638428.0
ALK,15.10.2024,22101.0,22300.0,22100.0,22240.91,-0.27,92.0,2046164.0,2046164.0
ALK,14.10.2024,22300.0,22350.0,22300.0,22301.63,-0.21,195.0,4348818.0,4348818.0
ALK,10.10.2024,22350.0,22400.0,22300.0,22347.5,0.27,177.0,3955508.0,3955508.0
ALK,09.10.2024,22300.0,22300.0,22250.0,22286.23,0.15,61.0,1359460.0,1359460.0
