Name,Date,PoslednaCena,Max,Min,ProsecnaCena,%Prom,Kolicina,Promet,Vkupno
MPT,08.11.2024,85001.0,85001.0,85001.0,85001.0,-0.84,10.0,850010.0,850010.0
MPT,07.11.2024,85700.0,85750.0,85700.0,85725.0,0.34,4.0,342900.0,342900.0
MPT,06.11.2024,85500.0,85500.0,85000.0,85436.17,-0.07,47.0,4015500.0,4015500.0
MPT,05.11.2024,85499.0,85500.0,85499.0,85499.5,0.0,4.0,341998.0,33661998.0
MPT,04.11.2024,85500.0,85500.0,85499.0,85499.91,0.0,11.0,940499.0,940499.0
MPT,01.11.2024,85500.0,85500.0,85500.0,85500.0,0.59,15.0,1282500.0,1282500.0
MPT,31.10.2024,85000.0,85000.0,85000.0,85000.0,0.57,754.0,64090000.0,64090000.0
MPT,30.10.2024,84401.0,85000.0,84401.0,84521.57,0.03,14.0,1183302.0,1183302.0
MPT,29.10.2024,84500.0,84501.0,84500.0,84500.12,-0.7,8.0,676001.0,676001.0
MPT,28.10.2024,85500.0,85500.0,85000.0,85100.0,-0.25,5.0,425500.0,425500.0
MPT,25.10.2024,85500.0,85500.0,85000.0,85313.88,-0.13,59.0,5033519.0,5033519.0
MPT,24.10.2024,85500.0,85500.0,85000.0,85428.57,0.53,7.0,598000.0,598000.0
MPT,22.10.2024,84500.0,85000.0,84500.0,84979.12,-0.02,24.0,2039499.0,2039499.0
MPT,21.10.2024,85000.0,85000.0,85000.0,85000.0,0.0,0.0,0.0,0.0
MPT,18.10.2024,85000.0,85000.0,85000.0,85000.0,-0.35,2.0,170000.0,170000.0
MPT,17.10.2024,85000.0,85500.0,85000.0,85300.24,-0.24,45.0,3838511.0,3838511.0
MPT,16.10.2024,85500.0,85550.0,85500.0,85503.12,-0.57,16.0,1368050.0,1368050.0
MPT,15.10.2024,85990.0,85990.0,85990.0,85990.0,0.11,1.0,85990.0,85990.0
MPT,14.10.2024,85900.0,85900.0,85899.0,85899.56,0.0,9.0,773096.0,773096.0
MPT,10.10.2024,85900.0,85900.0,85900.0,85900.0,-0.12,3.0,257700.0,257700.0
MPT,09.10.2024,86000.0,86000.0,86000.0,85999.93,0.0,0.0,0.0,0.0
MPT,08.10.2024,86000.0,86000.0,86000.0,85999.93,0.0,0.0,0.0,0.0
MPT,07.10.2024,86000.0,86000.0,85998.0,85999.93,0.0,105.0,9029993.0,9029993.0
MPT,04.10.2024,85999.0,86000.0,85999.0,85999.33,-0.05,3.0,257998.0,257998.0
MPT,03.10.2024,86000.0,86500.0,86000.0,86043.63,-0.53,35.0,3011527.0,3011527.0
MPT,02.10.2024,86500.0,86500.0,86500.0,86500.0,0.0,0.0,0.0,0.0
MPT,01.10.2024,86500.0,86500.0,86500.0,86500.0,-0.46,24.0,2076000.0,2076000.0
MPT,30.9.2024,86898.0,86900.0,86898.0,86899.5,-0.11,14.0,1216593.0,1216593.0
MPT,27.9.2024,86990.0,86990.0,86990.0,86993.44,0.0,0.0,0.0,0.0
MPT,26.9.2024,86990.0,87000.0,86990.0,86993.44,-0.01,32.0,2783790.0,2783790.0
MPT,25.9.2024,87000.0,87000.0,87000.0,87000.0,0.0,53.0,4611000.0,4611000.0
