Name,Date,PoslednaCena,Max,Min,ProsecnaCena,%Prom,Kolicina,Promet,Vkupno
TEL,08.11.2024,410.0,410.0,407.0,408.47,-0.44,1.146,468110.0,468110.0
TEL,07.11.2024,410.0,411.0,410.0,410.29,-1.13,700.0,287200.0,287200.0
TEL,06.11.2024,415.0,415.0,415.0,415.0,-0.72,504.0,209160.0,209160.0
TEL,05.11.2024,418.0,418.0,418.0,418.0,-0.48,13.0,5434.0,5434.0
TEL,04.11.2024,420.0,420.0,420.0,420.0,0.0,0.0,0.0,0.0
TEL,01.11.2024,420.0,420.0,420.0,420.0,2.42,164.0,68880.0,68880.0
TEL,31.10.2024,410.0,420.0,410.0,410.07,-1.43,1.452,595420.0,595420.0
TEL,30.10.2024,417.0,420.0,415.0,416.02,-2.57,5.064,2106748.0,2106748.0
TEL,29.10.2024,427.0,427.0,427.0,427.0,0.0,0.0,0.0,0.0
TEL,28.10.2024,427.0,427.0,427.0,427.0,2.15,15.0,6405.0,6405.0
TEL,25.10.2024,418.0,418.0,418.0,418.0,-2.56,412.0,172216.0,172216.0
TEL,24.10.2024,429.0,429.0,429.0,429.0,-0.23,135.0,57915.0,57915.0
TEL,22.10.2024,430.0,430.0,430.0,430.0,0.0,0.0,0.0,0.0
TEL,21.10.2024,430.0,430.0,430.0,430.0,0.0,0.0,0.0,0.0
TEL,18.10.2024,430.0,430.0,430.0,430.0,2.04,38.0,16340.0,16340.0
TEL,17.10.2024,415.0,415.0,415.0,421.42,0.0,0.0,0.0,0.0
TEL,16.10.2024,415.0,436.0,415.0,421.42,-3.57,288.0,121368.0,121368.0
TEL,15.10.2024,437.0,437.0,437.0,437.0,0.0,0.0,0.0,0.0
TEL,14.10.2024,437.0,437.0,437.0,437.0,0.0,0.0,0.0,0.0
TEL,10.10.2024,437.0,437.0,437.0,437.0,0.0,50.0,21850.0,21850.0
TEL,09.10.2024,437.0,437.0,437.0,437.0,0.0,0.0,0.0,0.0
TEL,08.10.2024,437.0,437.0,437.0,437.0,7.9,100.0,43700.0,43700.0
TEL,07.10.2024,405.0,405.0,405.0,405.0,0.29,200.0,81000.0,81000.0
TEL,04.10.2024,400.0,415.0,400.0,403.83,-1.5,600.0,242300.0,242300.0
TEL,03.10.2024,410.0,410.0,410.0,410.0,-1.2,200.0,82000.0,82000.0
TEL,02.10.2024,415.0,415.0,415.0,415.0,1.11,1.435,595525.0,595525.0
TEL,01.10.2024,410.0,415.0,410.0,410.45,0.14,220.0,90300.0,90300.0
